Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 26193.780 | Acheron: 15630.227 | MortenaxBlade: 5347.263 | Cipher: 4891.251 | HuoHuo: 18.240
Run    2: Team DPAV: 25884.357 | Acheron: 15251.730 | MortenaxBlade: 5468.823 | Cipher: 4799.517 | HuoHuo: 19.477
Run    3: Team DPAV: 24255.999 | Acheron: 15135.823 | MortenaxBlade: 4229.088 | Cipher: 4522.853 | HuoHuo: 19.477
Run    4: Team DPAV: 24681.263 | Acheron: 15351.396 | MortenaxBlade: 4381.827 | Cipher: 4573.350 | HuoHuo: 19.477
Run    5: Team DPAV: 26113.497 | Acheron: 15518.968 | MortenaxBlade: 5377.618 | Cipher: 4885.417 | HuoHuo: 18.240
Run    6: Team DPAV: 24345.335 | Acheron: 15090.569 | MortenaxBlade: 4315.125 | Cipher: 4571.406 | HuoHuo: 19.477
Run    7: Team DPAV: 25793.611 | Acheron: 15181.582 | MortenaxBlade: 5462.572 | Cipher: 4785.170 | HuoHuo: 19.477
Run    8: Team DPAV: 24803.000 | Acheron: 15310.176 | MortenaxBlade: 4471.792 | Cipher: 4668.935 | HuoHuo: 19.477
Run    9: Team DPAV: 24026.690 | Acheron: 14686.602 | MortenaxBlade: 4381.984 | Cipher: 4601.697 | HuoHuo: 20.559
Run   10: Team DPAV: 26113.497 | Acheron: 15518.968 | MortenaxBlade: 5377.618 | Cipher: 4885.417 | HuoHuo: 18.240
Run   11: Team DPAV: 25824.966 | Acheron: 15359.589 | MortenaxBlade: 5309.840 | Cipher: 4830.499 | HuoHuo: 18.240
Run   12: Team DPAV: 24534.535 | Acheron: 15157.197 | MortenaxBlade: 4420.473 | Cipher: 4585.402 | HuoHuo: 19.477
Run   13: Team DPAV: 25371.563 | Acheron: 15116.089 | MortenaxBlade: 5172.422 | Cipher: 4754.786 | HuoHuo: 18.240
Run   14: Team DPAV: 25425.887 | Acheron: 15165.982 | MortenaxBlade: 5169.513 | Cipher: 4765.352 | HuoHuo: 18.240
Run   15: Team DPAV: 25825.731 | Acheron: 15130.280 | MortenaxBlade: 5431.834 | Cipher: 4907.602 | HuoHuo: 20.559
Run   16: Team DPAV: 24304.237 | Acheron: 15157.197 | MortenaxBlade: 4242.217 | Cipher: 4533.360 | HuoHuo: 19.477
Run   17: Team DPAV: 25915.712 | Acheron: 15429.737 | MortenaxBlade: 5316.091 | Cipher: 4844.846 | HuoHuo: 18.240
