Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 21717.842 | Acheron: 17422.840 | MortenaxBlade: 3137.090 | Jiaoqiu: 530.033 | HuoHuo: 17.970
Run    2: Team DPAV: 25798.524 | Acheron: 21139.214 | MortenaxBlade: 3268.440 | Jiaoqiu: 698.368 | HuoHuo: 17.970
Run    3: Team DPAV: 22715.558 | Acheron: 18150.074 | MortenaxBlade: 3252.759 | Jiaoqiu: 620.046 | HuoHuo: 17.970
Run    4: Team DPAV: 25330.895 | Acheron: 20834.549 | MortenaxBlade: 3249.887 | Jiaoqiu: 566.089 | HuoHuo: 17.970
Run    5: Team DPAV: 25754.556 | Acheron: 20899.918 | MortenaxBlade: 3510.900 | Jiaoqiu: 663.398 | HuoHuo: 17.970
Run    6: Team DPAV: 26323.620 | Acheron: 20915.578 | MortenaxBlade: 4046.198 | Jiaoqiu: 675.339 | HuoHuo: 17.970
Run    7: Team DPAV: 25695.225 | Acheron: 20729.052 | MortenaxBlade: 3566.864 | Jiaoqiu: 733.757 | HuoHuo: 17.970
Run    8: Team DPAV: 26087.487 | Acheron: 20733.111 | MortenaxBlade: 3903.917 | Jiaoqiu: 752.434 | HuoHuo: 18.796
Run    9: Team DPAV: 25993.482 | Acheron: 21193.766 | MortenaxBlade: 3329.239 | Jiaoqiu: 765.303 | HuoHuo: 18.796
Run   10: Team DPAV: 25462.666 | Acheron: 20919.983 | MortenaxBlade: 3300.866 | Jiaoqiu: 561.447 | HuoHuo: 17.970
Run   11: Team DPAV: 24988.669 | Acheron: 20142.032 | MortenaxBlade: 3454.490 | Jiaoqiu: 729.092 | HuoHuo: 17.970
Run   12: Team DPAV: 25950.058 | Acheron: 21182.815 | MortenaxBlade: 3353.160 | Jiaoqiu: 745.676 | HuoHuo: 17.970
Run   13: Team DPAV: 25755.878 | Acheron: 21098.638 | MortenaxBlade: 3270.426 | Jiaoqiu: 700.341 | HuoHuo: 18.796
Run   14: Team DPAV: 25771.240 | Acheron: 20902.321 | MortenaxBlade: 3496.040 | Jiaoqiu: 681.428 | HuoHuo: 17.970
Run   15: Team DPAV: 23263.952 | Acheron: 18530.503 | MortenaxBlade: 3419.495 | Jiaoqiu: 616.405 | HuoHuo: 17.970
Run   16: Team DPAV: 25525.420 | Acheron: 20796.560 | MortenaxBlade: 3345.406 | Jiaoqiu: 727.611 | HuoHuo: 17.970
Run   17: Team DPAV: 26064.710 | Acheron: 21196.574 | MortenaxBlade: 3490.807 | Jiaoqiu: 714.535 | HuoHuo: 17.970
Run   18: Team DPAV: 26570.841 | Acheron: 21062.187 | MortenaxBlade: 4175.758 | Jiaoqiu: 618.365 | HuoHuo: 17.970
Run   19: Team DPAV: 26099.919 | Acheron: 20852.590 | MortenaxBlade: 3888.054 | Jiaoqiu: 658.234 | HuoHuo: 21.072
Run   20: Team DPAV: 25962.416 | Acheron: 20706.260 | MortenaxBlade: 3907.524 | Jiaoqiu: 671.526 | HuoHuo: 17.970
Run   21: Team DPAV: 26352.179 | Acheron: 21054.729 | MortenaxBlade: 3936.298 | Jiaoqiu: 669.702 | HuoHuo: 17.970
Run   22: Team DPAV: 25454.523 | Acheron: 20906.003 | MortenaxBlade: 3329.826 | Jiaoqiu: 534.227 | HuoHuo: 17.970
Run   23: Team DPAV: 25358.076 | Acheron: 20654.290 | MortenaxBlade: 3346.056 | Jiaoqiu: 639.497 | HuoHuo: 17.970
Run   24: Team DPAV: 25575.080 | Acheron: 20934.383 | MortenaxBlade: 3202.794 | Jiaoqiu: 745.112 | HuoHuo: 18.814
Run   25: Team DPAV: 26233.512 | Acheron: 20780.548 | MortenaxBlade: 4081.947 | Jiaoqiu: 671.902 | HuoHuo: 19.998
Run   26: Team DPAV: 24768.604 | Acheron: 20178.905 | MortenaxBlade: 3264.327 | Jiaoqiu: 659.578 | HuoHuo: 17.970
Run   27: Team DPAV: 25625.742 | Acheron: 21003.996 | MortenaxBlade: 3126.725 | Jiaoqiu: 821.166 | HuoHuo: 17.970
Run   28: Team DPAV: 25742.606 | Acheron: 20997.373 | MortenaxBlade: 3343.050 | Jiaoqiu: 700.556 | HuoHuo: 17.970
Run   29: Team DPAV: 25701.356 | Acheron: 20876.756 | MortenaxBlade: 3404.583 | Jiaoqiu: 751.578 | HuoHuo: 17.970
Run   30: Team DPAV: 22595.521 | Acheron: 18362.189 | MortenaxBlade: 2915.410 | Jiaoqiu: 623.290 | HuoHuo: 17.970
Run   31: Team DPAV: 25503.876 | Acheron: 20728.533 | MortenaxBlade: 3420.770 | Jiaoqiu: 673.730 | HuoHuo: 17.970
