Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 21530.016 | Acheron: 16863.670 | MortenaxBlade: 3783.416 | Pela: 589.583 | HuoHuo: 19.122
Run    2: Team DPAV: 20762.077 | Acheron: 16458.745 | MortenaxBlade: 3366.380 | Pela: 634.356 | HuoHuo: 20.512
Run    3: Team DPAV: 21577.748 | Acheron: 16750.503 | MortenaxBlade: 3934.542 | Pela: 605.225 | HuoHuo: 20.512
Run    4: Team DPAV: 22204.910 | Acheron: 17098.007 | MortenaxBlade: 4136.228 | Pela: 675.937 | HuoHuo: 20.512
Run    5: Team DPAV: 22105.348 | Acheron: 17175.529 | MortenaxBlade: 4011.853 | Pela: 645.005 | HuoHuo: 20.512
Run    6: Team DPAV: 20757.822 | Acheron: 16458.745 | MortenaxBlade: 3366.380 | Pela: 630.102 | HuoHuo: 20.512
Run    7: Team DPAV: 21816.231 | Acheron: 16754.403 | MortenaxBlade: 4086.464 | Pela: 647.361 | HuoHuo: 20.512
Run    8: Team DPAV: 21729.156 | Acheron: 16750.503 | MortenaxBlade: 4040.526 | Pela: 650.648 | HuoHuo: 20.512
Run    9: Team DPAV: 21350.446 | Acheron: 16357.727 | MortenaxBlade: 4057.450 | Pela: 629.043 | HuoHuo: 20.512
Run   10: Team DPAV: 21365.586 | Acheron: 16341.209 | MortenaxBlade: 4062.641 | Pela: 626.473 | HuoHuo: 20.512
Run   11: Team DPAV: 21729.543 | Acheron: 16711.376 | MortenaxBlade: 4088.445 | Pela: 642.244 | HuoHuo: 20.512
Run   12: Team DPAV: 21210.858 | Acheron: 16188.665 | MortenaxBlade: 4069.808 | Pela: 617.123 | HuoHuo: 20.512
Run   13: Team DPAV: 21529.883 | Acheron: 16863.670 | MortenaxBlade: 3783.416 | Pela: 589.450 | HuoHuo: 19.122
Run   14: Team DPAV: 21481.402 | Acheron: 16661.914 | MortenaxBlade: 3902.033 | Pela: 624.107 | HuoHuo: 19.122
Run   15: Team DPAV: 21733.349 | Acheron: 16827.323 | MortenaxBlade: 4038.284 | Pela: 591.152 | HuoHuo: 20.512
Run   16: Team DPAV: 21431.876 | Acheron: 16446.315 | MortenaxBlade: 4055.136 | Pela: 627.829 | HuoHuo: 20.512
Run   17: Team DPAV: 21390.034 | Acheron: 16465.376 | MortenaxBlade: 3990.242 | Pela: 661.590 | HuoHuo: 20.379
Run   18: Team DPAV: 21690.718 | Acheron: 16738.735 | MortenaxBlade: 4037.260 | Pela: 638.133 | HuoHuo: 20.512
Run   19: Team DPAV: 20800.352 | Acheron: 16516.093 | MortenaxBlade: 3312.406 | Pela: 643.849 | HuoHuo: 20.512
Run   20: Team DPAV: 21655.608 | Acheron: 16890.787 | MortenaxBlade: 3867.645 | Pela: 609.697 | HuoHuo: 20.512
Run   21: Team DPAV: 22165.968 | Acheron: 17175.529 | MortenaxBlade: 4071.582 | Pela: 645.897 | HuoHuo: 20.512
Run   22: Team DPAV: 21098.136 | Acheron: 16766.832 | MortenaxBlade: 3364.666 | Pela: 636.994 | HuoHuo: 19.122
Run   23: Team DPAV: 21752.011 | Acheron: 16827.323 | MortenaxBlade: 4007.662 | Pela: 640.435 | HuoHuo: 20.512
Run   24: Team DPAV: 21514.866 | Acheron: 16661.914 | MortenaxBlade: 3964.834 | Pela: 600.640 | HuoHuo: 20.512
Run   25: Team DPAV: 20918.326 | Acheron: 16603.383 | MortenaxBlade: 3335.496 | Pela: 642.544 | HuoHuo: 19.122
Run   26: Team DPAV: 21963.352 | Acheron: 16856.875 | MortenaxBlade: 4155.312 | Pela: 657.758 | HuoHuo: 19.182
Run   27: Team DPAV: 21929.219 | Acheron: 16935.979 | MortenaxBlade: 4034.544 | Pela: 682.106 | HuoHuo: 20.512
Run   28: Team DPAV: 21907.811 | Acheron: 16967.608 | MortenaxBlade: 4020.222 | Pela: 647.021 | HuoHuo: 20.512
Run   29: Team DPAV: 21375.666 | Acheron: 16341.209 | MortenaxBlade: 4075.524 | Pela: 623.670 | HuoHuo: 20.512
Run   30: Team DPAV: 20973.171 | Acheron: 16666.094 | MortenaxBlade: 3344.648 | Pela: 634.425 | HuoHuo: 20.512
Run   31: Team DPAV: 21303.761 | Acheron: 16534.119 | MortenaxBlade: 3932.527 | Pela: 562.648 | HuoHuo: 17.791
