Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 19245.536 | Acheron: 13639.359 | MortenaxBlade: 4379.907 | RuanMei: 925.077 | HuoHuo: 42.136
Run    2: Team DPAV: 20670.347 | Acheron: 14826.247 | MortenaxBlade: 4586.098 | RuanMei: 952.953 | HuoHuo: 42.136
Run    3: Team DPAV: 19321.596 | Acheron: 14081.717 | MortenaxBlade: 3999.829 | RuanMei: 956.620 | HuoHuo: 41.430
Run    4: Team DPAV: 18973.806 | Acheron: 13627.073 | MortenaxBlade: 4141.369 | RuanMei: 919.689 | HuoHuo: 40.268
Run    5: Team DPAV: 19790.740 | Acheron: 14138.861 | MortenaxBlade: 4444.885 | RuanMei: 915.499 | HuoHuo: 43.298
Run    6: Team DPAV: 20670.347 | Acheron: 14826.247 | MortenaxBlade: 4586.098 | RuanMei: 952.953 | HuoHuo: 42.136
Run    7: Team DPAV: 20670.347 | Acheron: 14826.247 | MortenaxBlade: 4586.098 | RuanMei: 952.953 | HuoHuo: 42.136
Run    8: Team DPAV: 18916.040 | Acheron: 13627.584 | MortenaxBlade: 4068.382 | RuanMei: 925.077 | HuoHuo: 43.298
Run    9: Team DPAV: 18784.759 | Acheron: 13595.558 | MortenaxBlade: 4047.766 | RuanMei: 864.836 | HuoHuo: 43.298
Run   10: Team DPAV: 19309.312 | Acheron: 13639.359 | MortenaxBlade: 4436.326 | RuanMei: 925.077 | HuoHuo: 42.136
Run   11: Team DPAV: 21126.113 | Acheron: 15665.856 | MortenaxBlade: 3996.176 | RuanMei: 1116.164 | HuoHuo: 42.136
Run   12: Team DPAV: 18266.022 | Acheron: 13057.838 | MortenaxBlade: 4008.838 | RuanMei: 918.069 | HuoHuo: 41.430
Run   13: Team DPAV: 18979.816 | Acheron: 13627.584 | MortenaxBlade: 4124.801 | RuanMei: 925.077 | HuoHuo: 43.298
Run   14: Team DPAV: 18560.277 | Acheron: 13095.519 | MortenaxBlade: 4160.704 | RuanMei: 1004.183 | HuoHuo: 43.298
Run   15: Team DPAV: 18385.251 | Acheron: 13121.699 | MortenaxBlade: 4085.112 | RuanMei: 884.295 | HuoHuo: 41.430
Run   16: Team DPAV: 21295.443 | Acheron: 15782.085 | MortenaxBlade: 4102.809 | RuanMei: 1062.633 | HuoHuo: 42.136
Run   17: Team DPAV: 19044.836 | Acheron: 13818.916 | MortenaxBlade: 4012.442 | RuanMei: 921.485 | HuoHuo: 43.298
Run   18: Team DPAV: 18265.010 | Acheron: 13057.838 | MortenaxBlade: 4008.980 | RuanMei: 925.077 | HuoHuo: 41.430
Run   19: Team DPAV: 19245.536 | Acheron: 13639.359 | MortenaxBlade: 4379.907 | RuanMei: 925.077 | HuoHuo: 42.136
Run   20: Team DPAV: 19245.536 | Acheron: 13639.359 | MortenaxBlade: 4379.907 | RuanMei: 925.077 | HuoHuo: 42.136
Run   21: Team DPAV: 19309.312 | Acheron: 13639.359 | MortenaxBlade: 4436.326 | RuanMei: 925.077 | HuoHuo: 42.136
Run   22: Team DPAV: 20670.347 | Acheron: 14826.247 | MortenaxBlade: 4586.098 | RuanMei: 952.953 | HuoHuo: 42.136
Run   23: Team DPAV: 18979.816 | Acheron: 13627.584 | MortenaxBlade: 4124.801 | RuanMei: 925.077 | HuoHuo: 43.298
Run   24: Team DPAV: 18285.976 | Acheron: 13057.838 | MortenaxBlade: 4029.946 | RuanMei: 925.077 | HuoHuo: 41.430
Run   25: Team DPAV: 19245.536 | Acheron: 13639.359 | MortenaxBlade: 4379.907 | RuanMei: 925.077 | HuoHuo: 42.136
Run   26: Team DPAV: 20606.571 | Acheron: 14826.247 | MortenaxBlade: 4529.679 | RuanMei: 952.953 | HuoHuo: 42.136
Run   27: Team DPAV: 19992.365 | Acheron: 14625.322 | MortenaxBlade: 4092.317 | RuanMei: 982.876 | HuoHuo: 43.298
