Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 23342.876 | Acheron: 20097.811 | MortenaxBlade: 2931.796 | Sparkle: 0.000 | HuoHuo: 17.658
Run    2: Team DPAV: 23211.917 | Acheron: 20115.671 | MortenaxBlade: 2801.858 | Sparkle: 0.000 | HuoHuo: 17.658
Run    3: Team DPAV: 23735.806 | Acheron: 20643.129 | MortenaxBlade: 2798.289 | Sparkle: 0.000 | HuoHuo: 17.658
Run    4: Team DPAV: 23717.620 | Acheron: 20630.265 | MortenaxBlade: 2792.967 | Sparkle: 0.000 | HuoHuo: 17.658
Run    5: Team DPAV: 23454.010 | Acheron: 20306.665 | MortenaxBlade: 2848.868 | Sparkle: 0.000 | HuoHuo: 17.658
Run    6: Team DPAV: 23303.058 | Acheron: 20153.046 | MortenaxBlade: 2851.535 | Sparkle: 0.000 | HuoHuo: 17.658
Run    7: Team DPAV: 23342.876 | Acheron: 20097.811 | MortenaxBlade: 2931.796 | Sparkle: 0.000 | HuoHuo: 17.658
Run    8: Team DPAV: 23385.123 | Acheron: 20297.768 | MortenaxBlade: 2792.967 | Sparkle: 0.000 | HuoHuo: 17.658
Run    9: Team DPAV: 23234.314 | Acheron: 20144.292 | MortenaxBlade: 2795.634 | Sparkle: 0.000 | HuoHuo: 17.658
Run   10: Team DPAV: 23342.876 | Acheron: 20097.811 | MortenaxBlade: 2931.796 | Sparkle: 0.000 | HuoHuo: 17.658
Run   11: Team DPAV: 23179.613 | Acheron: 20077.251 | MortenaxBlade: 2801.858 | Sparkle: 0.000 | HuoHuo: 17.658
Run   12: Team DPAV: 23211.917 | Acheron: 20115.671 | MortenaxBlade: 2801.858 | Sparkle: 0.000 | HuoHuo: 17.658
Run   13: Team DPAV: 23390.070 | Acheron: 20247.849 | MortenaxBlade: 2847.833 | Sparkle: 0.000 | HuoHuo: 17.658
Run   14: Team DPAV: 23161.495 | Acheron: 20062.855 | MortenaxBlade: 2804.253 | Sparkle: 0.000 | HuoHuo: 17.658
Run   15: Team DPAV: 23563.081 | Acheron: 20441.805 | MortenaxBlade: 2826.888 | Sparkle: 0.000 | HuoHuo: 17.658
Run   16: Team DPAV: 22768.050 | Acheron: 19607.851 | MortenaxBlade: 2848.994 | Sparkle: 0.000 | HuoHuo: 17.658
Run   17: Team DPAV: 23695.704 | Acheron: 20582.417 | MortenaxBlade: 2818.898 | Sparkle: 0.000 | HuoHuo: 17.658
Run   18: Team DPAV: 23486.548 | Acheron: 20233.459 | MortenaxBlade: 2934.736 | Sparkle: 0.000 | HuoHuo: 17.658
