Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 25686.845 | Acheron: 14268.134 | MortenaxBlade: 7872.092 | Tribbie: 3179.875 | HuoHuo: 35.904
Run    2: Team DPAV: 26991.269 | Acheron: 16028.414 | MortenaxBlade: 7594.019 | Tribbie: 3019.584 | HuoHuo: 32.143
Run    3: Team DPAV: 25736.339 | Acheron: 14249.106 | MortenaxBlade: 8012.007 | Tribbie: 3116.538 | HuoHuo: 33.339
Run    4: Team DPAV: 25429.063 | Acheron: 14182.291 | MortenaxBlade: 7753.311 | Tribbie: 3125.168 | HuoHuo: 34.707
Run    5: Team DPAV: 27195.361 | Acheron: 15873.547 | MortenaxBlade: 7893.530 | Tribbie: 3093.311 | HuoHuo: 32.143
Run    6: Team DPAV: 22751.666 | Acheron: 14189.601 | MortenaxBlade: 5587.818 | Tribbie: 2625.175 | HuoHuo: 34.707
Run    7: Team DPAV: 21997.182 | Acheron: 12567.628 | MortenaxBlade: 6187.179 | Tribbie: 2927.355 | HuoHuo: 34.707
Run    8: Team DPAV: 22877.204 | Acheron: 14160.419 | MortenaxBlade: 5734.625 | Tribbie: 2630.342 | HuoHuo: 34.707
Run    9: Team DPAV: 27628.230 | Acheron: 16270.210 | MortenaxBlade: 7995.129 | Tribbie: 3017.581 | HuoHuo: 30.946
Run   10: Team DPAV: 25151.987 | Acheron: 13927.981 | MortenaxBlade: 7988.793 | Tribbie: 2918.632 | HuoHuo: 30.775
Run   11: Team DPAV: 26525.948 | Acheron: 16355.776 | MortenaxBlade: 6766.422 | Tribbie: 3069.155 | HuoHuo: 32.313
Run   12: Team DPAV: 25831.007 | Acheron: 15551.309 | MortenaxBlade: 7010.366 | Tribbie: 2920.260 | HuoHuo: 34.707
Run   13: Team DPAV: 26513.848 | Acheron: 15801.141 | MortenaxBlade: 7367.677 | Tribbie: 2993.031 | HuoHuo: 32.143
Run   14: Team DPAV: 25833.393 | Acheron: 15712.939 | MortenaxBlade: 7005.498 | Tribbie: 2749.408 | HuoHuo: 34.707
Run   15: Team DPAV: 27074.940 | Acheron: 15853.200 | MortenaxBlade: 7710.249 | Tribbie: 3194.922 | HuoHuo: 33.510
Run   16: Team DPAV: 28644.822 | Acheron: 17694.399 | MortenaxBlade: 7357.413 | Tribbie: 3229.659 | HuoHuo: 34.707
Run   17: Team DPAV: 26964.930 | Acheron: 16009.182 | MortenaxBlade: 7581.860 | Tribbie: 3021.890 | HuoHuo: 32.143
Run   18: Team DPAV: 22875.432 | Acheron: 14160.419 | MortenaxBlade: 5732.854 | Tribbie: 2630.342 | HuoHuo: 34.707
Run   19: Team DPAV: 32282.137 | Acheron: 21086.857 | MortenaxBlade: 7548.438 | Tribbie: 3281.941 | HuoHuo: 33.510
Run   20: Team DPAV: 26476.527 | Acheron: 15845.783 | MortenaxBlade: 7423.058 | Tribbie: 2858.434 | HuoHuo: 32.143
Run   21: Team DPAV: 22717.726 | Acheron: 14160.419 | MortenaxBlade: 5645.822 | Tribbie: 2559.668 | HuoHuo: 34.707
Run   22: Team DPAV: 26443.357 | Acheron: 15874.965 | MortenaxBlade: 7240.803 | Tribbie: 2975.772 | HuoHuo: 34.707
