Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 53980.275 | Archer: 46442.262 | RinTohsaka: 7378.256 | Sparkle: 0.000 | HuoHuo: 20.366
Run    2: Team DPAV: 52881.139 | Archer: 45703.847 | RinTohsaka: 7017.535 | Sparkle: 0.000 | HuoHuo: 20.366
Run    3: Team DPAV: 54503.476 | Archer: 47607.713 | RinTohsaka: 6736.374 | Sparkle: 0.000 | HuoHuo: 19.999
Run    4: Team DPAV: 51426.946 | Archer: 43706.960 | RinTohsaka: 7560.229 | Sparkle: 0.000 | HuoHuo: 20.366
Run    5: Team DPAV: 52222.568 | Archer: 44320.938 | RinTohsaka: 7742.241 | Sparkle: 0.000 | HuoHuo: 19.999
Run    6: Team DPAV: 51547.167 | Archer: 44904.821 | RinTohsaka: 6483.556 | Sparkle: 0.000 | HuoHuo: 19.399
Run    7: Team DPAV: 52561.418 | Archer: 45628.638 | RinTohsaka: 6773.144 | Sparkle: 0.000 | HuoHuo: 20.246
Run    8: Team DPAV: 53400.148 | Archer: 46227.121 | RinTohsaka: 7013.271 | Sparkle: 0.000 | HuoHuo: 20.366
Run    9: Team DPAV: 52078.569 | Archer: 45353.663 | RinTohsaka: 6566.116 | Sparkle: 0.000 | HuoHuo: 19.399
Run   10: Team DPAV: 51298.923 | Archer: 44572.878 | RinTohsaka: 6567.256 | Sparkle: 0.000 | HuoHuo: 19.399
Run   11: Team DPAV: 53225.335 | Archer: 45703.847 | RinTohsaka: 7361.731 | Sparkle: 0.000 | HuoHuo: 20.366
Run   12: Team DPAV: 53604.774 | Archer: 46790.554 | RinTohsaka: 6655.315 | Sparkle: 0.000 | HuoHuo: 19.515
Run   13: Team DPAV: 53895.652 | Archer: 46946.914 | RinTohsaka: 6789.465 | Sparkle: 0.000 | HuoHuo: 19.883
Run   14: Team DPAV: 52608.751 | Archer: 45861.432 | RinTohsaka: 6587.562 | Sparkle: 0.000 | HuoHuo: 20.366
Run   15: Team DPAV: 50175.003 | Archer: 43392.408 | RinTohsaka: 6623.806 | Sparkle: 0.000 | HuoHuo: 19.399
Run   16: Team DPAV: 51972.263 | Archer: 45227.305 | RinTohsaka: 6585.569 | Sparkle: 0.000 | HuoHuo: 19.999
Run   17: Team DPAV: 53923.552 | Archer: 46742.333 | RinTohsaka: 7021.463 | Sparkle: 0.000 | HuoHuo: 20.366
