Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 54777.384 | Archer: 46023.952 | Sparkle: 0.000 | RinTohsaka: 8598.960 | HuoHuo: 16.767
Run    2: Team DPAV: 52958.603 | Archer: 44408.290 | Sparkle: 0.000 | RinTohsaka: 8396.525 | HuoHuo: 16.084
Run    3: Team DPAV: 56857.439 | Archer: 47637.236 | Sparkle: 0.000 | RinTohsaka: 9066.414 | HuoHuo: 16.084
Run    4: Team DPAV: 55488.511 | Archer: 46759.044 | Sparkle: 0.000 | RinTohsaka: 8575.678 | HuoHuo: 16.084
Run    5: Team DPAV: 54232.493 | Archer: 45305.646 | Sparkle: 0.000 | RinTohsaka: 8773.059 | HuoHuo: 16.084
Run    6: Team DPAV: 52623.694 | Archer: 43817.752 | Sparkle: 0.000 | RinTohsaka: 8652.153 | HuoHuo: 16.084
Run    7: Team DPAV: 54486.694 | Archer: 46025.501 | Sparkle: 0.000 | RinTohsaka: 8307.404 | HuoHuo: 16.084
Run    8: Team DPAV: 51797.748 | Archer: 43062.463 | Sparkle: 0.000 | RinTohsaka: 8580.813 | HuoHuo: 16.767
Run    9: Team DPAV: 57450.784 | Archer: 48320.294 | Sparkle: 0.000 | RinTohsaka: 8976.701 | HuoHuo: 16.084
Run   10: Team DPAV: 54891.297 | Archer: 46201.100 | Sparkle: 0.000 | RinTohsaka: 8536.408 | HuoHuo: 16.084
Run   11: Team DPAV: 52865.128 | Archer: 44208.959 | Sparkle: 0.000 | RinTohsaka: 8501.698 | HuoHuo: 16.767
Run   12: Team DPAV: 50087.193 | Archer: 41393.251 | Sparkle: 0.000 | RinTohsaka: 8540.153 | HuoHuo: 16.084
Run   13: Team DPAV: 57137.715 | Archer: 48568.012 | Sparkle: 0.000 | RinTohsaka: 8415.915 | HuoHuo: 16.084
Run   14: Team DPAV: 56325.448 | Archer: 47747.968 | Sparkle: 0.000 | RinTohsaka: 8423.008 | HuoHuo: 16.767
Run   15: Team DPAV: 58038.288 | Archer: 49089.274 | Sparkle: 0.000 | RinTohsaka: 8795.226 | HuoHuo: 16.084
Run   16: Team DPAV: 56757.886 | Archer: 48169.644 | Sparkle: 0.000 | RinTohsaka: 8434.454 | HuoHuo: 16.084
Run   17: Team DPAV: 52190.568 | Archer: 43293.765 | Sparkle: 0.000 | RinTohsaka: 8742.331 | HuoHuo: 16.767
Run   18: Team DPAV: 57833.333 | Archer: 48957.219 | Sparkle: 0.000 | RinTohsaka: 8721.981 | HuoHuo: 16.428
Run   19: Team DPAV: 54482.459 | Archer: 45952.301 | Sparkle: 0.000 | RinTohsaka: 8376.370 | HuoHuo: 16.084
Run   20: Team DPAV: 53011.017 | Archer: 44466.959 | Sparkle: 0.000 | RinTohsaka: 8390.270 | HuoHuo: 16.084
Run   21: Team DPAV: 57419.354 | Archer: 48598.127 | Sparkle: 0.000 | RinTohsaka: 8666.756 | HuoHuo: 16.767
Run   22: Team DPAV: 57163.195 | Archer: 48181.491 | Sparkle: 0.000 | RinTohsaka: 8827.916 | HuoHuo: 16.084
Run   23: Team DPAV: 57510.722 | Archer: 48632.368 | Sparkle: 0.000 | RinTohsaka: 8724.222 | HuoHuo: 16.428
Run   24: Team DPAV: 52958.603 | Archer: 44408.290 | Sparkle: 0.000 | RinTohsaka: 8396.525 | HuoHuo: 16.084
Run   25: Team DPAV: 56342.932 | Archer: 47244.027 | Sparkle: 0.000 | RinTohsaka: 8945.116 | HuoHuo: 16.084
Run   26: Team DPAV: 53955.808 | Archer: 45352.932 | Sparkle: 0.000 | RinTohsaka: 8449.087 | HuoHuo: 16.084
Run   27: Team DPAV: 54777.384 | Archer: 46023.952 | Sparkle: 0.000 | RinTohsaka: 8598.960 | HuoHuo: 16.767
