Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 220246.135 | Archer: 177554.540 | Sparkle: 0.000 | RinTohsaka: 33393.623 | Tribbie: 9064.777
Run    2: Team DPAV: 220246.135 | Archer: 177554.540 | Sparkle: 0.000 | RinTohsaka: 33393.623 | Tribbie: 9064.777
Run    3: Team DPAV: 218666.926 | Archer: 177369.629 | Sparkle: 0.000 | RinTohsaka: 31969.344 | Tribbie: 9094.758
Run    4: Team DPAV: 224842.019 | Archer: 181260.526 | Sparkle: 0.000 | RinTohsaka: 34252.996 | Tribbie: 9095.301
Run    5: Team DPAV: 219798.781 | Archer: 177644.073 | Sparkle: 0.000 | RinTohsaka: 32802.024 | Tribbie: 9119.488
Run    6: Team DPAV: 219994.948 | Archer: 177554.540 | Sparkle: 0.000 | RinTohsaka: 33393.623 | Tribbie: 8813.590
Run    7: Team DPAV: 226353.700 | Archer: 181743.658 | Sparkle: 0.000 | RinTohsaka: 35025.258 | Tribbie: 9351.588
Run    8: Team DPAV: 227252.272 | Archer: 183714.908 | Sparkle: 0.000 | RinTohsaka: 34241.496 | Tribbie: 9062.673
Run    9: Team DPAV: 220091.060 | Archer: 177437.681 | Sparkle: 0.000 | RinTohsaka: 33372.208 | Tribbie: 9047.976
Run   10: Team DPAV: 224992.680 | Archer: 180939.956 | Sparkle: 0.000 | RinTohsaka: 34461.492 | Tribbie: 9358.036
Run   11: Team DPAV: 219994.948 | Archer: 177554.540 | Sparkle: 0.000 | RinTohsaka: 33393.623 | Tribbie: 8813.590
Run   12: Team DPAV: 218819.017 | Archer: 177486.488 | Sparkle: 0.000 | RinTohsaka: 31990.758 | Tribbie: 9108.576
Run   13: Team DPAV: 213750.404 | Archer: 172303.781 | Sparkle: 0.000 | RinTohsaka: 32276.894 | Tribbie: 8936.533
Run   14: Team DPAV: 219798.781 | Archer: 177644.073 | Sparkle: 0.000 | RinTohsaka: 32802.024 | Tribbie: 9119.488
Run   15: Team DPAV: 225114.081 | Archer: 180758.787 | Sparkle: 0.000 | RinTohsaka: 35069.626 | Tribbie: 9052.472
Run   16: Team DPAV: 224963.290 | Archer: 180719.192 | Sparkle: 0.000 | RinTohsaka: 34980.626 | Tribbie: 9030.276
Run   17: Team DPAV: 222409.159 | Archer: 178565.540 | Sparkle: 0.000 | RinTohsaka: 34711.031 | Tribbie: 8899.393
