Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 38680.580 | Ashveil: 20664.442 | MortenaxBlade: 11349.615 | Cipher: 6405.507 | HuoHuo: 27.591
Run    2: Team DPAV: 36130.281 | Ashveil: 19229.052 | MortenaxBlade: 10139.197 | Cipher: 6501.016 | HuoHuo: 27.591
Run    3: Team DPAV: 33300.061 | Ashveil: 19021.877 | MortenaxBlade: 8082.123 | Cipher: 5910.140 | HuoHuo: 27.591
Run    4: Team DPAV: 36909.040 | Ashveil: 19636.434 | MortenaxBlade: 10307.383 | Cipher: 6704.206 | HuoHuo: 27.591
Run    5: Team DPAV: 36130.281 | Ashveil: 19229.052 | MortenaxBlade: 10139.197 | Cipher: 6501.016 | HuoHuo: 27.591
Run    6: Team DPAV: 38759.452 | Ashveil: 20179.524 | MortenaxBlade: 11421.072 | Cipher: 6872.935 | HuoHuo: 27.591
Run    7: Team DPAV: 35456.632 | Ashveil: 20105.835 | MortenaxBlade: 8716.378 | Cipher: 6373.402 | HuoHuo: 27.591
Run    8: Team DPAV: 32449.747 | Ashveil: 17638.900 | MortenaxBlade: 8465.159 | Cipher: 6109.576 | HuoHuo: 27.591
Run    9: Team DPAV: 33585.474 | Ashveil: 17009.577 | MortenaxBlade: 9988.872 | Cipher: 6326.009 | HuoHuo: 27.591
Run   10: Team DPAV: 37071.107 | Ashveil: 19966.912 | MortenaxBlade: 10195.869 | Cipher: 6726.357 | HuoHuo: 23.255
Run   11: Team DPAV: 37368.505 | Ashveil: 19985.572 | MortenaxBlade: 10227.481 | Cipher: 6894.435 | HuoHuo: 27.591
Run   12: Team DPAV: 37660.683 | Ashveil: 20092.900 | MortenaxBlade: 10433.528 | Cipher: 6876.646 | HuoHuo: 27.591
Run   13: Team DPAV: 37031.614 | Ashveil: 20435.915 | MortenaxBlade: 9878.622 | Cipher: 6456.061 | HuoHuo: 27.591
Run   14: Team DPAV: 38729.096 | Ashveil: 20562.135 | MortenaxBlade: 11481.887 | Cipher: 6424.058 | HuoHuo: 27.591
Run   15: Team DPAV: 38838.168 | Ashveil: 20753.267 | MortenaxBlade: 11391.236 | Cipher: 6432.649 | HuoHuo: 27.591
Run   16: Team DPAV: 33704.660 | Ashveil: 17323.199 | MortenaxBlade: 9777.546 | Cipher: 6342.899 | HuoHuo: 27.591
Run   17: Team DPAV: 35886.832 | Ashveil: 20437.043 | MortenaxBlade: 8737.521 | Cipher: 6451.251 | HuoHuo: 27.591
