Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 34594.119 | Ashveil: 23011.640 | MortenaxBlade: 7806.653 | Robin: 3634.226 | HuoHuo: 49.727
Run    2: Team DPAV: 31438.202 | Ashveil: 19794.478 | MortenaxBlade: 8123.097 | Robin: 3356.228 | HuoHuo: 52.364
Run    3: Team DPAV: 30160.793 | Ashveil: 18695.184 | MortenaxBlade: 8090.696 | Robin: 3238.151 | HuoHuo: 49.727
Run    4: Team DPAV: 35411.232 | Ashveil: 22879.178 | MortenaxBlade: 8606.643 | Robin: 3761.013 | HuoHuo: 52.364
Run    5: Team DPAV: 33763.874 | Ashveil: 20933.813 | MortenaxBlade: 8960.158 | Robin: 3700.667 | HuoHuo: 52.364
Run    6: Team DPAV: 38290.960 | Ashveil: 24761.374 | MortenaxBlade: 9021.374 | Robin: 4347.234 | HuoHuo: 52.364
Run    7: Team DPAV: 32358.886 | Ashveil: 20292.765 | MortenaxBlade: 8328.421 | Robin: 3553.142 | HuoHuo: 52.364
Run    8: Team DPAV: 35148.973 | Ashveil: 23494.531 | MortenaxBlade: 8039.228 | Robin: 3445.978 | HuoHuo: 52.364
Run    9: Team DPAV: 33052.838 | Ashveil: 20406.348 | MortenaxBlade: 8721.248 | Robin: 3778.369 | HuoHuo: 55.001
Run   10: Team DPAV: 33802.312 | Ashveil: 20973.009 | MortenaxBlade: 8809.185 | Robin: 3865.954 | HuoHuo: 49.727
Run   11: Team DPAV: 34922.152 | Ashveil: 22188.818 | MortenaxBlade: 8881.825 | Robin: 3707.272 | HuoHuo: 52.364
Run   12: Team DPAV: 29936.967 | Ashveil: 18718.257 | MortenaxBlade: 8339.732 | Robin: 2773.256 | HuoHuo: 48.524
Run   13: Team DPAV: 31374.613 | Ashveil: 19718.681 | MortenaxBlade: 8036.333 | Robin: 3455.201 | HuoHuo: 52.364
Run   14: Team DPAV: 37062.458 | Ashveil: 24057.669 | MortenaxBlade: 8857.930 | Robin: 4010.097 | HuoHuo: 49.727
Run   15: Team DPAV: 30683.294 | Ashveil: 18955.327 | MortenaxBlade: 8330.314 | Robin: 3240.731 | HuoHuo: 49.727
Run   16: Team DPAV: 32678.841 | Ashveil: 20632.279 | MortenaxBlade: 8377.646 | Robin: 3547.041 | HuoHuo: 55.001
Run   17: Team DPAV: 37345.682 | Ashveil: 24506.454 | MortenaxBlade: 8309.917 | Robin: 4364.914 | HuoHuo: 52.364
Run   18: Team DPAV: 35796.644 | Ashveil: 23102.467 | MortenaxBlade: 8742.880 | Robin: 3809.261 | HuoHuo: 55.001
Run   19: Team DPAV: 33240.272 | Ashveil: 22071.626 | MortenaxBlade: 7814.449 | Robin: 3214.798 | HuoHuo: 52.364
Run   20: Team DPAV: 28685.551 | Ashveil: 18293.309 | MortenaxBlade: 7438.173 | Robin: 2814.669 | HuoHuo: 52.364
Run   21: Team DPAV: 30715.862 | Ashveil: 18985.258 | MortenaxBlade: 8330.314 | Robin: 3240.731 | HuoHuo: 52.364
Run   22: Team DPAV: 36468.061 | Ashveil: 23585.711 | MortenaxBlade: 8973.186 | Robin: 3789.927 | HuoHuo: 52.364
