Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 29027.851 | Ashveil: 20111.827 | MortenaxBlade: 7696.123 | RuanMei: 997.988 | HuoHuo: 55.010
Run    2: Team DPAV: 27939.016 | Ashveil: 19402.798 | MortenaxBlade: 7371.798 | RuanMei: 938.470 | HuoHuo: 57.167
Run    3: Team DPAV: 29575.447 | Ashveil: 20573.464 | MortenaxBlade: 7805.528 | RuanMei: 994.059 | HuoHuo: 59.264
Run    4: Team DPAV: 29037.445 | Ashveil: 19269.703 | MortenaxBlade: 8459.858 | RuanMei: 1138.034 | HuoHuo: 56.432
Run    5: Team DPAV: 27290.492 | Ashveil: 18398.985 | MortenaxBlade: 7831.216 | RuanMei: 838.377 | HuoHuo: 55.010
Run    6: Team DPAV: 27273.408 | Ashveil: 18480.127 | MortenaxBlade: 7747.639 | RuanMei: 845.343 | HuoHuo: 57.167
Run    7: Team DPAV: 28781.509 | Ashveil: 19108.948 | MortenaxBlade: 8524.082 | RuanMei: 953.169 | HuoHuo: 52.178
Run    8: Team DPAV: 27746.185 | Ashveil: 19059.369 | MortenaxBlade: 7530.094 | RuanMei: 934.808 | HuoHuo: 55.010
Run    9: Team DPAV: 26902.786 | Ashveil: 17521.838 | MortenaxBlade: 8298.577 | RuanMei: 888.015 | HuoHuo: 57.167
Run   10: Team DPAV: 26608.340 | Ashveil: 18026.424 | MortenaxBlade: 7504.482 | RuanMei: 853.644 | HuoHuo: 55.010
Run   11: Team DPAV: 26716.770 | Ashveil: 17370.944 | MortenaxBlade: 8223.158 | RuanMei: 892.654 | HuoHuo: 57.167
Run   12: Team DPAV: 28252.525 | Ashveil: 18875.137 | MortenaxBlade: 8129.900 | RuanMei: 1025.575 | HuoHuo: 55.010
Run   13: Team DPAV: 29223.510 | Ashveil: 20119.973 | MortenaxBlade: 7795.747 | RuanMei: 1105.394 | HuoHuo: 59.264
Run   14: Team DPAV: 29334.399 | Ashveil: 20136.369 | MortenaxBlade: 7877.645 | RuanMei: 1092.340 | HuoHuo: 59.264
Run   15: Team DPAV: 26546.568 | Ashveil: 17789.938 | MortenaxBlade: 7472.224 | RuanMei: 1036.564 | HuoHuo: 57.167
Run   16: Team DPAV: 29495.576 | Ashveil: 19637.461 | MortenaxBlade: 8656.734 | RuanMei: 969.270 | HuoHuo: 59.264
Run   17: Team DPAV: 26058.975 | Ashveil: 16976.705 | MortenaxBlade: 7855.144 | RuanMei: 1003.056 | HuoHuo: 57.167
Run   18: Team DPAV: 28402.716 | Ashveil: 19016.869 | MortenaxBlade: 8191.290 | RuanMei: 994.992 | HuoHuo: 56.432
Run   19: Team DPAV: 28415.329 | Ashveil: 19016.869 | MortenaxBlade: 8201.071 | RuanMei: 994.992 | HuoHuo: 59.264
Run   20: Team DPAV: 28423.260 | Ashveil: 19562.358 | MortenaxBlade: 7510.352 | RuanMei: 1119.673 | HuoHuo: 62.096
Run   21: Team DPAV: 28731.637 | Ashveil: 19120.033 | MortenaxBlade: 8387.586 | RuanMei: 1018.791 | HuoHuo: 62.096
Run   22: Team DPAV: 30816.551 | Ashveil: 20638.714 | MortenaxBlade: 8862.483 | RuanMei: 1142.673 | HuoHuo: 59.264
Run   23: Team DPAV: 28391.583 | Ashveil: 19501.291 | MortenaxBlade: 7846.808 | RuanMei: 845.343 | HuoHuo: 55.010
Run   24: Team DPAV: 28357.528 | Ashveil: 19467.630 | MortenaxBlade: 7719.069 | RuanMei: 947.038 | HuoHuo: 55.010
