Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 35923.564 | Ashveil: 30160.680 | MortenaxBlade: 5604.099 | Sunday: 0.000 | HuoHuo: 22.546
Run    2: Team DPAV: 35421.900 | Ashveil: 29649.742 | MortenaxBlade: 5593.213 | Sunday: 0.000 | HuoHuo: 22.546
Run    3: Team DPAV: 35669.559 | Ashveil: 29891.449 | MortenaxBlade: 5599.165 | Sunday: 0.000 | HuoHuo: 22.546
Run    4: Team DPAV: 35462.882 | Ashveil: 29684.772 | MortenaxBlade: 5599.165 | Sunday: 0.000 | HuoHuo: 22.546
Run    5: Team DPAV: 35056.486 | Ashveil: 29284.328 | MortenaxBlade: 5593.213 | Sunday: 0.000 | HuoHuo: 22.546
Run    6: Team DPAV: 35510.037 | Ashveil: 29737.879 | MortenaxBlade: 5593.213 | Sunday: 0.000 | HuoHuo: 22.546
Run    7: Team DPAV: 31583.537 | Ashveil: 26061.936 | MortenaxBlade: 5382.976 | Sunday: 0.000 | HuoHuo: 22.546
Run    8: Team DPAV: 35415.825 | Ashveil: 29649.742 | MortenaxBlade: 5587.138 | Sunday: 0.000 | HuoHuo: 22.546
Run    9: Team DPAV: 35596.155 | Ashveil: 29827.196 | MortenaxBlade: 5610.174 | Sunday: 0.000 | HuoHuo: 22.546
Run   10: Team DPAV: 35669.559 | Ashveil: 29891.449 | MortenaxBlade: 5599.165 | Sunday: 0.000 | HuoHuo: 22.546
Run   11: Team DPAV: 35545.810 | Ashveil: 29773.652 | MortenaxBlade: 5593.213 | Sunday: 0.000 | HuoHuo: 22.546
Run   12: Team DPAV: 35886.771 | Ashveil: 30099.901 | MortenaxBlade: 5628.085 | Sunday: 0.000 | HuoHuo: 22.546
Run   13: Team DPAV: 35669.559 | Ashveil: 29891.449 | MortenaxBlade: 5599.165 | Sunday: 0.000 | HuoHuo: 22.546
Run   14: Team DPAV: 35545.810 | Ashveil: 29773.652 | MortenaxBlade: 5593.213 | Sunday: 0.000 | HuoHuo: 22.546
Run   15: Team DPAV: 35602.296 | Ashveil: 30080.695 | MortenaxBlade: 5382.976 | Sunday: 0.000 | HuoHuo: 22.546
Run   16: Team DPAV: 36122.085 | Ashveil: 30329.140 | MortenaxBlade: 5634.160 | Sunday: 0.000 | HuoHuo: 22.546
Run   17: Team DPAV: 34505.845 | Ashveil: 28984.244 | MortenaxBlade: 5382.976 | Sunday: 0.000 | HuoHuo: 22.546
Run   18: Team DPAV: 35633.785 | Ashveil: 29855.675 | MortenaxBlade: 5599.165 | Sunday: 0.000 | HuoHuo: 22.546
Run   19: Team DPAV: 35685.582 | Ashveil: 29916.623 | MortenaxBlade: 5610.174 | Sunday: 0.000 | HuoHuo: 22.546
Run   20: Team DPAV: 36091.075 | Ashveil: 30322.115 | MortenaxBlade: 5610.174 | Sunday: 0.000 | HuoHuo: 22.546
Run   21: Team DPAV: 34802.492 | Ashveil: 29458.701 | MortenaxBlade: 5185.005 | Sunday: 0.000 | HuoHuo: 22.546
Run   22: Team DPAV: 35510.037 | Ashveil: 29737.879 | MortenaxBlade: 5593.213 | Sunday: 0.000 | HuoHuo: 22.546
Run   23: Team DPAV: 35996.863 | Ashveil: 30233.979 | MortenaxBlade: 5604.099 | Sunday: 0.000 | HuoHuo: 22.546
Run   24: Team DPAV: 34213.023 | Ashveil: 28691.422 | MortenaxBlade: 5382.976 | Sunday: 0.000 | HuoHuo: 22.546
Run   25: Team DPAV: 35981.780 | Ashveil: 30212.821 | MortenaxBlade: 5610.174 | Sunday: 0.000 | HuoHuo: 22.546
Run   26: Team DPAV: 35690.627 | Ashveil: 29921.668 | MortenaxBlade: 5610.174 | Sunday: 0.000 | HuoHuo: 22.546
Run   27: Team DPAV: 35545.810 | Ashveil: 29773.652 | MortenaxBlade: 5593.213 | Sunday: 0.000 | HuoHuo: 22.546
Run   28: Team DPAV: 36021.398 | Ashveil: 30234.528 | MortenaxBlade: 5628.085 | Sunday: 0.000 | HuoHuo: 22.546
Run   29: Team DPAV: 35615.347 | Ashveil: 29382.929 | MortenaxBlade: 6073.633 | Sunday: 0.000 | HuoHuo: 22.546
Run   30: Team DPAV: 35193.739 | Ashveil: 29672.138 | MortenaxBlade: 5382.976 | Sunday: 0.000 | HuoHuo: 22.546
Run   31: Team DPAV: 33286.600 | Ashveil: 28325.890 | MortenaxBlade: 4801.925 | Sunday: 0.000 | HuoHuo: 22.546
Run   32: Team DPAV: 35102.542 | Ashveil: 29587.016 | MortenaxBlade: 5376.901 | Sunday: 0.000 | HuoHuo: 22.546
Run   33: Team DPAV: 35174.525 | Ashveil: 29405.566 | MortenaxBlade: 5610.174 | Sunday: 0.000 | HuoHuo: 22.546
Run   34: Team DPAV: 31386.592 | Ashveil: 25841.005 | MortenaxBlade: 5406.962 | Sunday: 0.000 | HuoHuo: 22.546
Run   35: Team DPAV: 35457.674 | Ashveil: 29685.516 | MortenaxBlade: 5593.213 | Sunday: 0.000 | HuoHuo: 22.546
Run   36: Team DPAV: 35575.347 | Ashveil: 29803.312 | MortenaxBlade: 5593.090 | Sunday: 0.000 | HuoHuo: 22.546
Run   37: Team DPAV: 34413.289 | Ashveil: 28891.688 | MortenaxBlade: 5382.976 | Sunday: 0.000 | HuoHuo: 22.546
Run   38: Team DPAV: 35545.810 | Ashveil: 29773.652 | MortenaxBlade: 5593.213 | Sunday: 0.000 | HuoHuo: 22.546
Run   39: Team DPAV: 34755.659 | Ashveil: 29004.926 | MortenaxBlade: 5591.949 | Sunday: 0.000 | HuoHuo: 22.546
Run   40: Team DPAV: 35421.900 | Ashveil: 29649.742 | MortenaxBlade: 5593.213 | Sunday: 0.000 | HuoHuo: 22.546
Run   41: Team DPAV: 35633.785 | Ashveil: 29855.675 | MortenaxBlade: 5599.165 | Sunday: 0.000 | HuoHuo: 22.546
Run   42: Team DPAV: 34703.460 | Ashveil: 29518.874 | MortenaxBlade: 5045.961 | Sunday: 0.000 | HuoHuo: 22.546
Run   43: Team DPAV: 35144.623 | Ashveil: 29372.465 | MortenaxBlade: 5593.213 | Sunday: 0.000 | HuoHuo: 22.546
Run   44: Team DPAV: 35633.785 | Ashveil: 29855.675 | MortenaxBlade: 5599.165 | Sunday: 0.000 | HuoHuo: 22.546
Run   45: Team DPAV: 36531.135 | Ashveil: 30714.204 | MortenaxBlade: 5658.146 | Sunday: 0.000 | HuoHuo: 22.546
Run   46: Team DPAV: 35451.598 | Ashveil: 29685.516 | MortenaxBlade: 5587.138 | Sunday: 0.000 | HuoHuo: 22.546
Run   47: Team DPAV: 36090.492 | Ashveil: 30306.306 | MortenaxBlade: 5605.240 | Sunday: 0.000 | HuoHuo: 22.546
Run   48: Team DPAV: 34334.997 | Ashveil: 28789.410 | MortenaxBlade: 5406.962 | Sunday: 0.000 | HuoHuo: 22.546
Run   49: Team DPAV: 33722.823 | Ashveil: 28762.113 | MortenaxBlade: 4801.925 | Sunday: 0.000 | HuoHuo: 22.546
Run   50: Team DPAV: 35358.312 | Ashveil: 29580.202 | MortenaxBlade: 5599.165 | Sunday: 0.000 | HuoHuo: 22.546
Run   51: Team DPAV: 35811.013 | Ashveil: 30042.054 | MortenaxBlade: 5610.174 | Sunday: 0.000 | HuoHuo: 22.546
Run   52: Team DPAV: 35559.415 | Ashveil: 29787.257 | MortenaxBlade: 5593.213 | Sunday: 0.000 | HuoHuo: 22.546
