Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 37051.444 | Ashveil: 24858.999 | MortenaxBlade: 7191.573 | Topaz: 4882.669 | HuoHuo: 22.336
Run    2: Team DPAV: 36925.105 | Ashveil: 24843.428 | MortenaxBlade: 7188.018 | Topaz: 4755.296 | HuoHuo: 22.336
Run    3: Team DPAV: 37789.713 | Ashveil: 25580.775 | MortenaxBlade: 7450.772 | Topaz: 4639.963 | HuoHuo: 22.336
Run    4: Team DPAV: 35853.384 | Ashveil: 24261.690 | MortenaxBlade: 7185.112 | Topaz: 4288.380 | HuoHuo: 22.336
Run    5: Team DPAV: 36988.573 | Ashveil: 24925.741 | MortenaxBlade: 7177.293 | Topaz: 4767.336 | HuoHuo: 22.336
Run    6: Team DPAV: 38118.210 | Ashveil: 25698.278 | MortenaxBlade: 7456.447 | Topaz: 4825.123 | HuoHuo: 22.336
Run    7: Team DPAV: 34253.971 | Ashveil: 23667.767 | MortenaxBlade: 6141.759 | Topaz: 4349.787 | HuoHuo: 18.951
Run    8: Team DPAV: 37320.302 | Ashveil: 25157.469 | MortenaxBlade: 7284.669 | Topaz: 4783.505 | HuoHuo: 18.951
Run    9: Team DPAV: 36381.861 | Ashveil: 24427.721 | MortenaxBlade: 7199.934 | Topaz: 4636.003 | HuoHuo: 22.336
Run   10: Team DPAV: 37521.162 | Ashveil: 25505.056 | MortenaxBlade: 7015.235 | Topaz: 4882.669 | HuoHuo: 22.336
Run   11: Team DPAV: 37546.877 | Ashveil: 25723.966 | MortenaxBlade: 7010.674 | Topaz: 4694.033 | HuoHuo: 22.336
Run   12: Team DPAV: 36898.409 | Ashveil: 24816.731 | MortenaxBlade: 7188.018 | Topaz: 4755.296 | HuoHuo: 22.336
Run   13: Team DPAV: 31416.115 | Ashveil: 21603.256 | MortenaxBlade: 5891.297 | Topaz: 3826.905 | HuoHuo: 18.951
Run   14: Team DPAV: 37889.968 | Ashveil: 25540.730 | MortenaxBlade: 7455.579 | Topaz: 4755.296 | HuoHuo: 22.336
Run   15: Team DPAV: 33577.591 | Ashveil: 22513.420 | MortenaxBlade: 6804.655 | Topaz: 4141.313 | HuoHuo: 22.336
Run   16: Team DPAV: 36691.147 | Ashveil: 25089.852 | MortenaxBlade: 7034.207 | Topaz: 4472.431 | HuoHuo: 18.951
Run   17: Team DPAV: 38112.226 | Ashveil: 25616.103 | MortenaxBlade: 7461.034 | Topaz: 4916.887 | HuoHuo: 22.336
Run   18: Team DPAV: 35476.193 | Ashveil: 24283.205 | MortenaxBlade: 6755.493 | Topaz: 4299.132 | HuoHuo: 22.336
Run   19: Team DPAV: 37365.381 | Ashveil: 25651.621 | MortenaxBlade: 7023.054 | Topaz: 4572.504 | HuoHuo: 22.336
Run   20: Team DPAV: 35269.284 | Ashveil: 24209.522 | MortenaxBlade: 6614.375 | Topaz: 4347.345 | HuoHuo: 22.336
Run   21: Team DPAV: 30699.424 | Ashveil: 20623.883 | MortenaxBlade: 6357.530 | Topaz: 3599.808 | HuoHuo: 22.336
Run   22: Team DPAV: 38210.618 | Ashveil: 25843.510 | MortenaxBlade: 7462.934 | Topaz: 4785.971 | HuoHuo: 22.336
Run   23: Team DPAV: 37429.611 | Ashveil: 25607.126 | MortenaxBlade: 7002.855 | Topaz: 4701.427 | HuoHuo: 22.336
Run   24: Team DPAV: 37640.211 | Ashveil: 25741.440 | MortenaxBlade: 7463.477 | Topaz: 4317.092 | HuoHuo: 22.336
Run   25: Team DPAV: 36942.327 | Ashveil: 25220.585 | MortenaxBlade: 7187.012 | Topaz: 4416.527 | HuoHuo: 22.336
Run   26: Team DPAV: 33353.232 | Ashveil: 21985.163 | MortenaxBlade: 6760.869 | Topaz: 4488.997 | HuoHuo: 22.336
Run   27: Team DPAV: 36231.840 | Ashveil: 24773.691 | MortenaxBlade: 6796.616 | Topaz: 4543.330 | HuoHuo: 22.336
Run   28: Team DPAV: 38112.226 | Ashveil: 25616.103 | MortenaxBlade: 7461.034 | Topaz: 4916.887 | HuoHuo: 22.336
Run   29: Team DPAV: 36837.972 | Ashveil: 25473.988 | MortenaxBlade: 6585.658 | Topaz: 4639.963 | HuoHuo: 22.336
Run   30: Team DPAV: 35859.848 | Ashveil: 24435.811 | MortenaxBlade: 7094.225 | Topaz: 4235.154 | HuoHuo: 18.951
Run   31: Team DPAV: 37214.620 | Ashveil: 25349.174 | MortenaxBlade: 7289.930 | Topaz: 4480.857 | HuoHuo: 18.951
Run   32: Team DPAV: 32906.667 | Ashveil: 21838.598 | MortenaxBlade: 6750.607 | Topaz: 4199.259 | HuoHuo: 22.336
Run   33: Team DPAV: 37861.929 | Ashveil: 25540.730 | MortenaxBlade: 7462.040 | Topaz: 4720.796 | HuoHuo: 22.336
Run   34: Team DPAV: 35053.067 | Ashveil: 24025.417 | MortenaxBlade: 6744.689 | Topaz: 4164.758 | HuoHuo: 22.336
Run   35: Team DPAV: 31901.489 | Ashveil: 21681.670 | MortenaxBlade: 6361.558 | Topaz: 3740.058 | HuoHuo: 22.336
Run   36: Team DPAV: 33731.440 | Ashveil: 22620.550 | MortenaxBlade: 6407.745 | Topaz: 4588.327 | HuoHuo: 18.951
Run   37: Team DPAV: 37926.305 | Ashveil: 25379.410 | MortenaxBlade: 7515.299 | Topaz: 4933.555 | HuoHuo: 22.336
Run   38: Team DPAV: 36528.260 | Ashveil: 25485.662 | MortenaxBlade: 6366.323 | Topaz: 4558.073 | HuoHuo: 22.336
Run   39: Team DPAV: 32937.709 | Ashveil: 22207.552 | MortenaxBlade: 6413.663 | Topaz: 4201.676 | HuoHuo: 18.951
Run   40: Team DPAV: 32937.346 | Ashveil: 21875.196 | MortenaxBlade: 6744.689 | Topaz: 4199.259 | HuoHuo: 22.336
Run   41: Team DPAV: 33235.764 | Ashveil: 21964.263 | MortenaxBlade: 6941.225 | Topaz: 4212.073 | HuoHuo: 22.336
Run   42: Team DPAV: 35757.513 | Ashveil: 23841.353 | MortenaxBlade: 7013.117 | Topaz: 4764.679 | HuoHuo: 22.336
Run   43: Team DPAV: 33369.192 | Ashveil: 22123.379 | MortenaxBlade: 6591.332 | Topaz: 4536.277 | HuoHuo: 22.336
Run   44: Team DPAV: 37329.737 | Ashveil: 25621.896 | MortenaxBlade: 7017.135 | Topaz: 4572.504 | HuoHuo: 22.336
Run   45: Team DPAV: 36324.062 | Ashveil: 24843.162 | MortenaxBlade: 6850.881 | Topaz: 4531.977 | HuoHuo: 22.336
Run   46: Team DPAV: 38856.915 | Ashveil: 26346.141 | MortenaxBlade: 7507.805 | Topaz: 4884.767 | HuoHuo: 22.336
Run   47: Team DPAV: 35030.231 | Ashveil: 24146.677 | MortenaxBlade: 6758.969 | Topaz: 4006.382 | HuoHuo: 22.336
Run   48: Team DPAV: 36516.112 | Ashveil: 24987.803 | MortenaxBlade: 7008.774 | Topaz: 4401.332 | HuoHuo: 22.336
Run   49: Team DPAV: 36961.559 | Ashveil: 25697.615 | MortenaxBlade: 6574.390 | Topaz: 4571.351 | HuoHuo: 22.336
Run   50: Team DPAV: 37323.125 | Ashveil: 25500.459 | MortenaxBlade: 7018.711 | Topaz: 4665.593 | HuoHuo: 22.336
Run   51: Team DPAV: 33558.222 | Ashveil: 22556.746 | MortenaxBlade: 6413.663 | Topaz: 4472.994 | HuoHuo: 18.951
Run   52: Team DPAV: 36804.853 | Ashveil: 25103.745 | MortenaxBlade: 7179.193 | Topaz: 4403.713 | HuoHuo: 22.336
Run   53: Team DPAV: 37250.656 | Ashveil: 25399.697 | MortenaxBlade: 7204.741 | Topaz: 4507.855 | HuoHuo: 22.336
Run   54: Team DPAV: 37884.049 | Ashveil: 25540.730 | MortenaxBlade: 7449.661 | Topaz: 4755.296 | HuoHuo: 22.336
Run   55: Team DPAV: 35872.762 | Ashveil: 24631.423 | MortenaxBlade: 6807.315 | Topaz: 4335.982 | HuoHuo: 22.336
Run   56: Team DPAV: 37659.866 | Ashveil: 25777.438 | MortenaxBlade: 7207.210 | Topaz: 4557.015 | HuoHuo: 22.336
Run   57: Team DPAV: 36679.209 | Ashveil: 25000.968 | MortenaxBlade: 7042.945 | Topaz: 4517.093 | HuoHuo: 22.336
Run   58: Team DPAV: 36792.163 | Ashveil: 25170.129 | MortenaxBlade: 7071.400 | Topaz: 4452.591 | HuoHuo: 22.336
Run   59: Team DPAV: 37889.968 | Ashveil: 25540.730 | MortenaxBlade: 7455.579 | Topaz: 4755.296 | HuoHuo: 22.336
Run   60: Team DPAV: 33061.967 | Ashveil: 21875.196 | MortenaxBlade: 6738.770 | Topaz: 4329.798 | HuoHuo: 22.336
Run   61: Team DPAV: 35675.757 | Ashveil: 24526.150 | MortenaxBlade: 6767.330 | Topaz: 4243.913 | HuoHuo: 22.336
Run   62: Team DPAV: 37889.968 | Ashveil: 25540.730 | MortenaxBlade: 7455.579 | Topaz: 4755.296 | HuoHuo: 22.336
Run   63: Team DPAV: 37155.279 | Ashveil: 25630.873 | MortenaxBlade: 7204.199 | Topaz: 4181.845 | HuoHuo: 22.336
Run   64: Team DPAV: 36892.490 | Ashveil: 24816.731 | MortenaxBlade: 7182.100 | Topaz: 4755.296 | HuoHuo: 22.336
Run   65: Team DPAV: 36417.026 | Ashveil: 24594.720 | MortenaxBlade: 7072.512 | Topaz: 4655.136 | HuoHuo: 18.951
Run   66: Team DPAV: 37768.716 | Ashveil: 25540.730 | MortenaxBlade: 7449.661 | Topaz: 4639.963 | HuoHuo: 22.336
Run   67: Team DPAV: 38038.596 | Ashveil: 25685.575 | MortenaxBlade: 7451.097 | Topaz: 4783.721 | HuoHuo: 22.336
Run   68: Team DPAV: 36909.445 | Ashveil: 25584.879 | MortenaxBlade: 7037.334 | Topaz: 4169.030 | HuoHuo: 22.336
Run   69: Team DPAV: 37527.375 | Ashveil: 25580.775 | MortenaxBlade: 7445.396 | Topaz: 4383.001 | HuoHuo: 22.336
Run   70: Team DPAV: 36041.067 | Ashveil: 24270.980 | MortenaxBlade: 7208.217 | Topaz: 4423.507 | HuoHuo: 22.336
Run   71: Team DPAV: 32933.948 | Ashveil: 21719.545 | MortenaxBlade: 6995.490 | Topaz: 4100.710 | HuoHuo: 22.336
Run   72: Team DPAV: 36128.238 | Ashveil: 25194.979 | MortenaxBlade: 6367.112 | Topaz: 4427.784 | HuoHuo: 22.336
Run   73: Team DPAV: 36228.485 | Ashveil: 25141.562 | MortenaxBlade: 6380.296 | Topaz: 4588.424 | HuoHuo: 22.336
Run   74: Team DPAV: 37213.158 | Ashveil: 25099.003 | MortenaxBlade: 7179.193 | Topaz: 4816.760 | HuoHuo: 22.336
Run   75: Team DPAV: 32906.667 | Ashveil: 21838.598 | MortenaxBlade: 6750.607 | Topaz: 4199.259 | HuoHuo: 22.336
Run   76: Team DPAV: 37134.842 | Ashveil: 25467.740 | MortenaxBlade: 7257.675 | Topaz: 4291.224 | HuoHuo: 22.336
Run   77: Team DPAV: 35349.796 | Ashveil: 24222.396 | MortenaxBlade: 6579.739 | Topaz: 4409.297 | HuoHuo: 22.336
Run   78: Team DPAV: 36720.673 | Ashveil: 25264.410 | MortenaxBlade: 7013.117 | Topaz: 4324.944 | HuoHuo: 22.336
