Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 54350.828 | Ashveil: 30260.953 | MortenaxBlade: 18133.844 | Tribbie: 5666.142 | HuoHuo: 110.515
Run    2: Team DPAV: 54621.736 | Ashveil: 30203.215 | MortenaxBlade: 18277.819 | Tribbie: 5850.812 | HuoHuo: 110.515
Run    3: Team DPAV: 56497.046 | Ashveil: 31018.430 | MortenaxBlade: 19186.161 | Tribbie: 6002.565 | HuoHuo: 110.515
Run    4: Team DPAV: 53306.121 | Ashveil: 31063.157 | MortenaxBlade: 16287.428 | Tribbie: 5697.587 | HuoHuo: 110.515
Run    5: Team DPAV: 56637.890 | Ashveil: 31074.075 | MortenaxBlade: 19303.353 | Tribbie: 6002.514 | HuoHuo: 110.515
Run    6: Team DPAV: 54526.982 | Ashveil: 30177.032 | MortenaxBlade: 18109.213 | Tribbie: 5950.848 | HuoHuo: 110.515
Run    7: Team DPAV: 52282.173 | Ashveil: 29634.781 | MortenaxBlade: 16772.261 | Tribbie: 5617.183 | HuoHuo: 110.515
Run    8: Team DPAV: 53510.360 | Ashveil: 29780.884 | MortenaxBlade: 17677.432 | Tribbie: 5767.777 | HuoHuo: 104.894
Run    9: Team DPAV: 56429.572 | Ashveil: 31018.430 | MortenaxBlade: 19123.013 | Tribbie: 5998.239 | HuoHuo: 110.515
Run   10: Team DPAV: 52727.949 | Ashveil: 31013.835 | MortenaxBlade: 15927.488 | Tribbie: 5528.678 | HuoHuo: 110.515
Run   11: Team DPAV: 53083.834 | Ashveil: 30833.585 | MortenaxBlade: 16279.456 | Tribbie: 5686.525 | HuoHuo: 104.894
Run   12: Team DPAV: 53588.793 | Ashveil: 29381.969 | MortenaxBlade: 18128.270 | Tribbie: 5788.665 | HuoHuo: 110.515
Run   13: Team DPAV: 52473.676 | Ashveil: 30453.253 | MortenaxBlade: 16257.260 | Tribbie: 5473.274 | HuoHuo: 110.515
Run   14: Team DPAV: 52240.874 | Ashveil: 30264.695 | MortenaxBlade: 16236.542 | Tribbie: 5481.689 | HuoHuo: 110.515
Run   15: Team DPAV: 59961.821 | Ashveil: 34628.488 | MortenaxBlade: 18904.558 | Tribbie: 6176.449 | HuoHuo: 104.894
Run   16: Team DPAV: 54466.079 | Ashveil: 30326.424 | MortenaxBlade: 18209.890 | Tribbie: 5671.817 | HuoHuo: 110.515
Run   17: Team DPAV: 55391.798 | Ashveil: 30656.656 | MortenaxBlade: 18685.500 | Tribbie: 5791.694 | HuoHuo: 110.515
Run   18: Team DPAV: 52565.541 | Ashveil: 30059.156 | MortenaxBlade: 16668.434 | Tribbie: 5580.004 | HuoHuo: 110.515
Run   19: Team DPAV: 52536.955 | Ashveil: 30332.772 | MortenaxBlade: 16287.909 | Tribbie: 5658.326 | HuoHuo: 110.515
Run   20: Team DPAV: 51488.215 | Ashveil: 29767.367 | MortenaxBlade: 15819.440 | Tribbie: 5643.460 | HuoHuo: 110.515
Run   21: Team DPAV: 54129.804 | Ashveil: 30822.212 | MortenaxBlade: 17078.161 | Tribbie: 5939.541 | HuoHuo: 110.515
