Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 55007.617 | Ashveil: 24818.861 | MortenaxBlade: 23679.763 | Tribbie: 6225.410 | HuoHuo: 39.596
Run    2: Team DPAV: 51039.048 | Ashveil: 24198.725 | MortenaxBlade: 20740.094 | Tribbie: 5862.952 | HuoHuo: 44.064
Run    3: Team DPAV: 49056.596 | Ashveil: 22321.872 | MortenaxBlade: 20777.453 | Tribbie: 5719.993 | HuoHuo: 44.064
Run    4: Team DPAV: 52978.590 | Ashveil: 24525.749 | MortenaxBlade: 22321.884 | Tribbie: 5872.760 | HuoHuo: 39.596
Run    5: Team DPAV: 55849.601 | Ashveil: 25212.339 | MortenaxBlade: 24113.765 | Tribbie: 6260.832 | HuoHuo: 44.064
Run    6: Team DPAV: 52320.027 | Ashveil: 24836.190 | MortenaxBlade: 21269.225 | Tribbie: 5977.335 | HuoHuo: 44.064
Run    7: Team DPAV: 49665.429 | Ashveil: 22425.974 | MortenaxBlade: 21209.465 | Tribbie: 5767.325 | HuoHuo: 44.064
Run    8: Team DPAV: 55211.721 | Ashveil: 25258.622 | MortenaxBlade: 23596.407 | Tribbie: 6098.495 | HuoHuo: 39.596
Run    9: Team DPAV: 49168.574 | Ashveil: 22306.980 | MortenaxBlade: 20832.029 | Tribbie: 5817.675 | HuoHuo: 44.064
Run   10: Team DPAV: 45579.196 | Ashveil: 22271.731 | MortenaxBlade: 17601.327 | Tribbie: 5519.634 | HuoHuo: 44.064
Run   11: Team DPAV: 50236.823 | Ashveil: 21750.039 | MortenaxBlade: 22443.820 | Tribbie: 5835.542 | HuoHuo: 39.596
Run   12: Team DPAV: 54661.629 | Ashveil: 24320.273 | MortenaxBlade: 23830.145 | Tribbie: 6248.547 | HuoHuo: 44.064
Run   13: Team DPAV: 47268.251 | Ashveil: 21526.739 | MortenaxBlade: 19870.554 | Tribbie: 5638.148 | HuoHuo: 39.596
Run   14: Team DPAV: 51407.034 | Ashveil: 25246.287 | MortenaxBlade: 20169.373 | Tribbie: 5754.097 | HuoHuo: 44.064
Run   15: Team DPAV: 47504.611 | Ashveil: 22010.992 | MortenaxBlade: 19875.635 | Tribbie: 5406.093 | HuoHuo: 44.064
Run   16: Team DPAV: 52199.446 | Ashveil: 25533.752 | MortenaxBlade: 20677.063 | Tribbie: 5751.355 | HuoHuo: 44.064
Run   17: Team DPAV: 47031.223 | Ashveil: 22803.811 | MortenaxBlade: 18302.528 | Tribbie: 5712.994 | HuoHuo: 44.064
Run   18: Team DPAV: 48665.774 | Ashveil: 21851.752 | MortenaxBlade: 20981.018 | Tribbie: 5621.114 | HuoHuo: 44.064
Run   19: Team DPAV: 49496.153 | Ashveil: 22788.850 | MortenaxBlade: 20816.601 | Tribbie: 5678.813 | HuoHuo: 44.064
Run   20: Team DPAV: 48305.666 | Ashveil: 22552.823 | MortenaxBlade: 20003.168 | Tribbie: 5512.398 | HuoHuo: 44.064
Run   21: Team DPAV: 45027.823 | Ashveil: 21556.390 | MortenaxBlade: 17896.963 | Tribbie: 5387.967 | HuoHuo: 44.064
Run   22: Team DPAV: 49422.430 | Ashveil: 24774.099 | MortenaxBlade: 18565.139 | Tribbie: 5845.915 | HuoHuo: 44.064
Run   23: Team DPAV: 51084.670 | Ashveil: 24445.661 | MortenaxBlade: 20541.785 | Tribbie: 5885.334 | HuoHuo: 44.064
Run   24: Team DPAV: 55176.029 | Ashveil: 24956.316 | MortenaxBlade: 23897.821 | Tribbie: 6110.002 | HuoHuo: 44.064
Run   25: Team DPAV: 46194.165 | Ashveil: 22255.368 | MortenaxBlade: 18366.553 | Tribbie: 5360.354 | HuoHuo: 44.064
Run   26: Team DPAV: 54519.179 | Ashveil: 25044.990 | MortenaxBlade: 23184.300 | Tribbie: 6031.693 | HuoHuo: 39.596
Run   27: Team DPAV: 48676.088 | Ashveil: 22059.118 | MortenaxBlade: 20660.800 | Tribbie: 5744.281 | HuoHuo: 44.064
Run   28: Team DPAV: 46925.743 | Ashveil: 21469.118 | MortenaxBlade: 19935.283 | Tribbie: 5313.920 | HuoHuo: 39.596
