Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 35044.260 | Ashveil: 14217.599 | MortenaxBlade: 9274.319 | YaoGuang: 11459.970 | HuoHuo: 0.000
Run    2: Team DPAV: 38580.252 | Ashveil: 14487.470 | MortenaxBlade: 12370.434 | YaoGuang: 11550.567 | HuoHuo: 0.000
Run    3: Team DPAV: 39411.522 | Ashveil: 15176.321 | MortenaxBlade: 12413.385 | YaoGuang: 11676.505 | HuoHuo: 0.000
Run    4: Team DPAV: 32021.933 | Ashveil: 11438.013 | MortenaxBlade: 10100.685 | YaoGuang: 10368.015 | HuoHuo: 0.000
Run    5: Team DPAV: 34776.848 | Ashveil: 13775.288 | MortenaxBlade: 10174.749 | YaoGuang: 10685.121 | HuoHuo: 0.000
Run    6: Team DPAV: 35195.758 | Ashveil: 14052.437 | MortenaxBlade: 9638.152 | YaoGuang: 11412.796 | HuoHuo: 0.000
Run    7: Team DPAV: 36355.859 | Ashveil: 15072.534 | MortenaxBlade: 10221.248 | YaoGuang: 10943.235 | HuoHuo: 0.000
Run    8: Team DPAV: 34807.739 | Ashveil: 14184.842 | MortenaxBlade: 9221.810 | YaoGuang: 11308.715 | HuoHuo: 0.000
Run    9: Team DPAV: 37460.659 | Ashveil: 14086.202 | MortenaxBlade: 11970.019 | YaoGuang: 11259.128 | HuoHuo: 0.000
Run   10: Team DPAV: 36027.663 | Ashveil: 14518.802 | MortenaxBlade: 9734.048 | YaoGuang: 11629.502 | HuoHuo: 0.000
Run   11: Team DPAV: 37040.265 | Ashveil: 13426.742 | MortenaxBlade: 12356.727 | YaoGuang: 11141.575 | HuoHuo: 0.000
Run   12: Team DPAV: 31082.079 | Ashveil: 11063.739 | MortenaxBlade: 8581.048 | YaoGuang: 11291.981 | HuoHuo: 0.000
Run   13: Team DPAV: 35558.678 | Ashveil: 14732.641 | MortenaxBlade: 9222.719 | YaoGuang: 11458.007 | HuoHuo: 0.000
Run   14: Team DPAV: 33692.964 | Ashveil: 11125.220 | MortenaxBlade: 11279.234 | YaoGuang: 11169.668 | HuoHuo: 0.000
Run   15: Team DPAV: 35340.996 | Ashveil: 13851.478 | MortenaxBlade: 10189.538 | YaoGuang: 11207.608 | HuoHuo: 0.000
Run   16: Team DPAV: 36082.590 | Ashveil: 13548.698 | MortenaxBlade: 10839.645 | YaoGuang: 11575.405 | HuoHuo: 0.000
Run   17: Team DPAV: 37624.312 | Ashveil: 14098.094 | MortenaxBlade: 12324.116 | YaoGuang: 11056.791 | HuoHuo: 0.000
Run   18: Team DPAV: 31583.870 | Ashveil: 12035.858 | MortenaxBlade: 8615.792 | YaoGuang: 10790.531 | HuoHuo: 0.000
Run   19: Team DPAV: 35230.804 | Ashveil: 13891.389 | MortenaxBlade: 9672.857 | YaoGuang: 11521.247 | HuoHuo: 0.000
