Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 19959.494 | Ashveil: 18049.599 | Sparkle: 0.000 | Tribbie: 1809.293 | HuoHuo: 0.000
Run    2: Team DPAV: 19677.188 | Ashveil: 17736.830 | Sparkle: 0.000 | Tribbie: 1820.543 | HuoHuo: 0.000
Run    3: Team DPAV: 20216.082 | Ashveil: 18153.119 | Sparkle: 0.000 | Tribbie: 1962.362 | HuoHuo: 0.000
Run    4: Team DPAV: 21228.996 | Ashveil: 19102.673 | Sparkle: 0.000 | Tribbie: 2025.721 | HuoHuo: 0.000
Run    5: Team DPAV: 23163.310 | Ashveil: 21023.766 | Sparkle: 0.000 | Tribbie: 2058.592 | HuoHuo: 0.000
Run    6: Team DPAV: 20795.064 | Ashveil: 18808.481 | Sparkle: 0.000 | Tribbie: 1885.981 | HuoHuo: 0.000
Run    7: Team DPAV: 18838.251 | Ashveil: 17010.460 | Sparkle: 0.000 | Tribbie: 1727.190 | HuoHuo: 0.000
Run    8: Team DPAV: 19730.963 | Ashveil: 17825.781 | Sparkle: 0.000 | Tribbie: 1804.580 | HuoHuo: 0.000
Run    9: Team DPAV: 19251.975 | Ashveil: 17389.113 | Sparkle: 0.000 | Tribbie: 1742.609 | HuoHuo: 0.000
Run   10: Team DPAV: 19581.275 | Ashveil: 17745.689 | Sparkle: 0.000 | Tribbie: 1734.984 | HuoHuo: 0.000
Run   11: Team DPAV: 20418.948 | Ashveil: 18354.444 | Sparkle: 0.000 | Tribbie: 1963.902 | HuoHuo: 0.000
Run   12: Team DPAV: 20012.394 | Ashveil: 18096.245 | Sparkle: 0.000 | Tribbie: 1815.547 | HuoHuo: 0.000
Run   13: Team DPAV: 21035.122 | Ashveil: 18970.353 | Sparkle: 0.000 | Tribbie: 1964.604 | HuoHuo: 0.000
Run   14: Team DPAV: 20219.067 | Ashveil: 18302.500 | Sparkle: 0.000 | Tribbie: 1815.965 | HuoHuo: 0.000
Run   15: Team DPAV: 18688.718 | Ashveil: 16813.369 | Sparkle: 0.000 | Tribbie: 1775.184 | HuoHuo: 0.000
