Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 20286.655 | Ashveil: 18463.349 | Tribbie: 1719.248 | Sparkle: 0.000 | HuoHuo: 0.000
Run    2: Team DPAV: 21175.957 | Ashveil: 19191.147 | Tribbie: 1880.751 | Sparkle: 0.000 | HuoHuo: 0.000
Run    3: Team DPAV: 21435.934 | Ashveil: 19517.231 | Tribbie: 1795.431 | Sparkle: 0.000 | HuoHuo: 0.000
Run    4: Team DPAV: 21301.997 | Ashveil: 19448.919 | Tribbie: 1729.370 | Sparkle: 0.000 | HuoHuo: 0.000
Run    5: Team DPAV: 22394.642 | Ashveil: 20403.212 | Tribbie: 1887.809 | Sparkle: 0.000 | HuoHuo: 0.000
Run    6: Team DPAV: 22630.745 | Ashveil: 20766.346 | Tribbie: 1743.092 | Sparkle: 0.000 | HuoHuo: 0.000
Run    7: Team DPAV: 18048.993 | Ashveil: 16284.724 | Tribbie: 1642.962 | Sparkle: 0.000 | HuoHuo: 0.000
Run    8: Team DPAV: 21407.823 | Ashveil: 19578.178 | Tribbie: 1726.023 | Sparkle: 0.000 | HuoHuo: 0.000
Run    9: Team DPAV: 17599.531 | Ashveil: 15859.404 | Tribbie: 1636.068 | Sparkle: 0.000 | HuoHuo: 0.000
Run   10: Team DPAV: 20909.237 | Ashveil: 19062.900 | Tribbie: 1723.066 | Sparkle: 0.000 | HuoHuo: 0.000
Run   11: Team DPAV: 21346.597 | Ashveil: 19515.137 | Tribbie: 1727.838 | Sparkle: 0.000 | HuoHuo: 0.000
Run   12: Team DPAV: 21543.639 | Ashveil: 19705.806 | Tribbie: 1733.775 | Sparkle: 0.000 | HuoHuo: 0.000
Run   13: Team DPAV: 22718.759 | Ashveil: 20637.291 | Tribbie: 1958.196 | Sparkle: 0.000 | HuoHuo: 0.000
Run   14: Team DPAV: 21470.505 | Ashveil: 19569.672 | Tribbie: 1797.211 | Sparkle: 0.000 | HuoHuo: 0.000
Run   15: Team DPAV: 21776.772 | Ashveil: 19765.912 | Tribbie: 1887.589 | Sparkle: 0.000 | HuoHuo: 0.000
Run   16: Team DPAV: 25703.306 | Ashveil: 23624.833 | Tribbie: 1955.202 | Sparkle: 0.000 | HuoHuo: 0.000
Run   17: Team DPAV: 20933.493 | Ashveil: 19040.039 | Tribbie: 1789.833 | Sparkle: 0.000 | HuoHuo: 0.000
Run   18: Team DPAV: 22322.679 | Ashveil: 20454.783 | Tribbie: 1744.624 | Sparkle: 0.000 | HuoHuo: 0.000
Run   19: Team DPAV: 18048.993 | Ashveil: 16284.724 | Tribbie: 1642.962 | Sparkle: 0.000 | HuoHuo: 0.000
Run   20: Team DPAV: 21906.370 | Ashveil: 19859.822 | Tribbie: 1942.926 | Sparkle: 0.000 | HuoHuo: 0.000
Run   21: Team DPAV: 22448.429 | Ashveil: 20310.109 | Tribbie: 2015.048 | Sparkle: 0.000 | HuoHuo: 0.000
Run   22: Team DPAV: 21302.690 | Ashveil: 19448.919 | Tribbie: 1730.063 | Sparkle: 0.000 | HuoHuo: 0.000
Run   23: Team DPAV: 21143.318 | Ashveil: 19277.563 | Tribbie: 1742.483 | Sparkle: 0.000 | HuoHuo: 0.000
Run   24: Team DPAV: 22503.786 | Ashveil: 20508.855 | Tribbie: 1890.873 | Sparkle: 0.000 | HuoHuo: 0.000
Run   25: Team DPAV: 21911.070 | Ashveil: 19796.845 | Tribbie: 2010.604 | Sparkle: 0.000 | HuoHuo: 0.000
Run   26: Team DPAV: 20614.432 | Ashveil: 18783.375 | Tribbie: 1726.999 | Sparkle: 0.000 | HuoHuo: 0.000
Run   27: Team DPAV: 21926.381 | Ashveil: 19810.148 | Tribbie: 2012.612 | Sparkle: 0.000 | HuoHuo: 0.000
Run   28: Team DPAV: 22362.068 | Ashveil: 20365.397 | Tribbie: 1893.050 | Sparkle: 0.000 | HuoHuo: 0.000
Run   29: Team DPAV: 20615.799 | Ashveil: 18767.681 | Tribbie: 1724.846 | Sparkle: 0.000 | HuoHuo: 0.000
Run   30: Team DPAV: 21644.582 | Ashveil: 19790.358 | Tribbie: 1732.917 | Sparkle: 0.000 | HuoHuo: 0.000
Run   31: Team DPAV: 20616.236 | Ashveil: 18767.681 | Tribbie: 1724.846 | Sparkle: 0.000 | HuoHuo: 0.000
Run   32: Team DPAV: 21124.407 | Ashveil: 19280.945 | Tribbie: 1739.840 | Sparkle: 0.000 | HuoHuo: 0.000
Run   33: Team DPAV: 21167.570 | Ashveil: 19319.688 | Tribbie: 1724.610 | Sparkle: 0.000 | HuoHuo: 0.000
Run   34: Team DPAV: 21824.873 | Ashveil: 19922.364 | Tribbie: 1798.888 | Sparkle: 0.000 | HuoHuo: 0.000
Run   35: Team DPAV: 21484.543 | Ashveil: 19574.054 | Tribbie: 1806.867 | Sparkle: 0.000 | HuoHuo: 0.000
Run   36: Team DPAV: 22421.268 | Ashveil: 20421.958 | Tribbie: 1895.251 | Sparkle: 0.000 | HuoHuo: 0.000
Run   37: Team DPAV: 21799.525 | Ashveil: 19687.226 | Tribbie: 2008.678 | Sparkle: 0.000 | HuoHuo: 0.000
Run   38: Team DPAV: 21931.980 | Ashveil: 20065.651 | Tribbie: 1743.058 | Sparkle: 0.000 | HuoHuo: 0.000
Run   39: Team DPAV: 21257.928 | Ashveil: 19427.846 | Tribbie: 1726.023 | Sparkle: 0.000 | HuoHuo: 0.000
Run   40: Team DPAV: 21121.299 | Ashveil: 19138.706 | Tribbie: 1878.971 | Sparkle: 0.000 | HuoHuo: 0.000
Run   41: Team DPAV: 22534.748 | Ashveil: 20422.457 | Tribbie: 2008.233 | Sparkle: 0.000 | HuoHuo: 0.000
Run   42: Team DPAV: 20612.018 | Ashveil: 18783.113 | Tribbie: 1724.846 | Sparkle: 0.000 | HuoHuo: 0.000
Run   43: Team DPAV: 22649.506 | Ashveil: 20450.109 | Tribbie: 2095.776 | Sparkle: 0.000 | HuoHuo: 0.000
Run   44: Team DPAV: 20614.432 | Ashveil: 18783.375 | Tribbie: 1726.999 | Sparkle: 0.000 | HuoHuo: 0.000
Run   45: Team DPAV: 21436.307 | Ashveil: 19599.715 | Tribbie: 1732.970 | Sparkle: 0.000 | HuoHuo: 0.000
Run   46: Team DPAV: 22506.736 | Ashveil: 20513.554 | Tribbie: 1889.561 | Sparkle: 0.000 | HuoHuo: 0.000
Run   47: Team DPAV: 20909.237 | Ashveil: 19062.900 | Tribbie: 1723.066 | Sparkle: 0.000 | HuoHuo: 0.000
Run   48: Team DPAV: 21392.081 | Ashveil: 19469.693 | Tribbie: 1799.116 | Sparkle: 0.000 | HuoHuo: 0.000
Run   49: Team DPAV: 20959.962 | Ashveil: 19115.341 | Tribbie: 1723.314 | Sparkle: 0.000 | HuoHuo: 0.000
Run   50: Team DPAV: 21370.116 | Ashveil: 19514.037 | Tribbie: 1732.806 | Sparkle: 0.000 | HuoHuo: 0.000
Run   51: Team DPAV: 20637.803 | Ashveil: 18816.650 | Tribbie: 1717.095 | Sparkle: 0.000 | HuoHuo: 0.000
Run   52: Team DPAV: 22320.675 | Ashveil: 20315.478 | Tribbie: 1881.926 | Sparkle: 0.000 | HuoHuo: 0.000
Run   53: Team DPAV: 21196.860 | Ashveil: 19292.599 | Tribbie: 1800.203 | Sparkle: 0.000 | HuoHuo: 0.000
Run   54: Team DPAV: 21209.701 | Ashveil: 19239.038 | Tribbie: 1867.042 | Sparkle: 0.000 | HuoHuo: 0.000
Run   55: Team DPAV: 21624.780 | Ashveil: 19721.238 | Tribbie: 1799.920 | Sparkle: 0.000 | HuoHuo: 0.000
Run   56: Team DPAV: 24892.836 | Ashveil: 22745.733 | Tribbie: 2043.045 | Sparkle: 0.000 | HuoHuo: 0.000
Run   57: Team DPAV: 21932.417 | Ashveil: 20065.651 | Tribbie: 1743.058 | Sparkle: 0.000 | HuoHuo: 0.000
Run   58: Team DPAV: 21214.199 | Ashveil: 19295.484 | Tribbie: 1795.443 | Sparkle: 0.000 | HuoHuo: 0.000
Run   59: Team DPAV: 21728.710 | Ashveil: 19746.390 | Tribbie: 1878.698 | Sparkle: 0.000 | HuoHuo: 0.000
Run   60: Team DPAV: 20559.774 | Ashveil: 18730.934 | Tribbie: 1725.219 | Sparkle: 0.000 | HuoHuo: 0.000
Run   61: Team DPAV: 20730.928 | Ashveil: 18883.448 | Tribbie: 1723.772 | Sparkle: 0.000 | HuoHuo: 0.000
Run   62: Team DPAV: 22133.615 | Ashveil: 20138.684 | Tribbie: 1890.873 | Sparkle: 0.000 | HuoHuo: 0.000
Run   63: Team DPAV: 21754.697 | Ashveil: 19766.182 | Tribbie: 1884.894 | Sparkle: 0.000 | HuoHuo: 0.000
Run   64: Team DPAV: 21807.429 | Ashveil: 19866.242 | Tribbie: 1817.915 | Sparkle: 0.000 | HuoHuo: 0.000
Run   65: Team DPAV: 21000.513 | Ashveil: 19148.847 | Tribbie: 1728.394 | Sparkle: 0.000 | HuoHuo: 0.000
Run   66: Team DPAV: 22068.430 | Ashveil: 19956.130 | Tribbie: 2008.678 | Sparkle: 0.000 | HuoHuo: 0.000
Run   67: Team DPAV: 22156.307 | Ashveil: 20295.170 | Tribbie: 1739.830 | Sparkle: 0.000 | HuoHuo: 0.000
Run   68: Team DPAV: 20754.387 | Ashveil: 18902.002 | Tribbie: 1728.676 | Sparkle: 0.000 | HuoHuo: 0.000
Run   69: Team DPAV: 20614.432 | Ashveil: 18783.375 | Tribbie: 1726.999 | Sparkle: 0.000 | HuoHuo: 0.000
Run   70: Team DPAV: 22504.516 | Ashveil: 20389.453 | Tribbie: 2011.442 | Sparkle: 0.000 | HuoHuo: 0.000
Run   71: Team DPAV: 21490.156 | Ashveil: 19569.672 | Tribbie: 1797.211 | Sparkle: 0.000 | HuoHuo: 0.000
Run   72: Team DPAV: 20559.774 | Ashveil: 18730.934 | Tribbie: 1725.219 | Sparkle: 0.000 | HuoHuo: 0.000
Run   73: Team DPAV: 20557.359 | Ashveil: 18730.672 | Tribbie: 1723.066 | Sparkle: 0.000 | HuoHuo: 0.000
Run   74: Team DPAV: 20909.237 | Ashveil: 19062.900 | Tribbie: 1723.066 | Sparkle: 0.000 | HuoHuo: 0.000
Run   75: Team DPAV: 21819.334 | Ashveil: 19687.882 | Tribbie: 2007.744 | Sparkle: 0.000 | HuoHuo: 0.000
Run   76: Team DPAV: 17544.252 | Ashveil: 15806.963 | Tribbie: 1633.667 | Sparkle: 0.000 | HuoHuo: 0.000
Run   77: Team DPAV: 21164.377 | Ashveil: 19269.399 | Tribbie: 1790.920 | Sparkle: 0.000 | HuoHuo: 0.000
Run   78: Team DPAV: 21432.810 | Ashveil: 19599.715 | Tribbie: 1731.438 | Sparkle: 0.000 | HuoHuo: 0.000
Run   79: Team DPAV: 22326.364 | Ashveil: 20454.783 | Tribbie: 1748.308 | Sparkle: 0.000 | HuoHuo: 0.000
Run   80: Team DPAV: 22774.643 | Ashveil: 20754.588 | Tribbie: 1896.783 | Sparkle: 0.000 | HuoHuo: 0.000
Run   81: Team DPAV: 20805.667 | Ashveil: 18913.712 | Tribbie: 1790.299 | Sparkle: 0.000 | HuoHuo: 0.000
Run   82: Team DPAV: 21647.240 | Ashveil: 19790.358 | Tribbie: 1733.611 | Sparkle: 0.000 | HuoHuo: 0.000
Run   83: Team DPAV: 21379.623 | Ashveil: 19542.173 | Tribbie: 1733.829 | Sparkle: 0.000 | HuoHuo: 0.000
Run   84: Team DPAV: 22219.598 | Ashveil: 20088.375 | Tribbie: 2007.951 | Sparkle: 0.000 | HuoHuo: 0.000
Run   85: Team DPAV: 21646.547 | Ashveil: 19790.358 | Tribbie: 1732.917 | Sparkle: 0.000 | HuoHuo: 0.000
Run   86: Team DPAV: 21030.907 | Ashveil: 19182.251 | Tribbie: 1725.384 | Sparkle: 0.000 | HuoHuo: 0.000
Run   87: Team DPAV: 21257.491 | Ashveil: 19427.846 | Tribbie: 1726.023 | Sparkle: 0.000 | HuoHuo: 0.000
Run   88: Team DPAV: 21048.061 | Ashveil: 19222.252 | Tribbie: 1724.153 | Sparkle: 0.000 | HuoHuo: 0.000
Run   89: Team DPAV: 20976.825 | Ashveil: 19147.920 | Tribbie: 1724.846 | Sparkle: 0.000 | HuoHuo: 0.000
Run   90: Team DPAV: 20909.237 | Ashveil: 19062.900 | Tribbie: 1723.066 | Sparkle: 0.000 | HuoHuo: 0.000
Run   91: Team DPAV: 22733.080 | Ashveil: 20725.519 | Tribbie: 1884.289 | Sparkle: 0.000 | HuoHuo: 0.000
Run   92: Team DPAV: 20960.399 | Ashveil: 19115.341 | Tribbie: 1723.314 | Sparkle: 0.000 | HuoHuo: 0.000
Run   93: Team DPAV: 22554.441 | Ashveil: 20495.806 | Tribbie: 1954.576 | Sparkle: 0.000 | HuoHuo: 0.000
Run   94: Team DPAV: 20613.995 | Ashveil: 18783.375 | Tribbie: 1726.999 | Sparkle: 0.000 | HuoHuo: 0.000
Run   95: Team DPAV: 22326.364 | Ashveil: 20454.783 | Tribbie: 1748.308 | Sparkle: 0.000 | HuoHuo: 0.000
Run   96: Team DPAV: 17614.323 | Ashveil: 15873.358 | Tribbie: 1636.907 | Sparkle: 0.000 | HuoHuo: 0.000
Run   97: Team DPAV: 20909.237 | Ashveil: 19062.900 | Tribbie: 1723.066 | Sparkle: 0.000 | HuoHuo: 0.000
Run   98: Team DPAV: 21000.513 | Ashveil: 19148.847 | Tribbie: 1728.394 | Sparkle: 0.000 | HuoHuo: 0.000
Run   99: Team DPAV: 21302.690 | Ashveil: 19448.919 | Tribbie: 1730.063 | Sparkle: 0.000 | HuoHuo: 0.000
Run  100: Team DPAV: 20909.237 | Ashveil: 19062.900 | Tribbie: 1723.066 | Sparkle: 0.000 | HuoHuo: 0.000

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 21384.367
Average Ashveil DPAV: 19473.192
Average Tribbie DPAV: 1798.388
Average Sparkle DPAV: 0.000
Average HuoHuo DPAV: 0.000

Min Team DPAV: 17544.252
Max Team DPAV: 25703.306
