Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 27231.336 | Evanescia: 22676.242 | ElationMC: 3060.284 | RuanMei: 920.427 | HuoHuo: 20.100
Run    2: Team DPAV: 27134.781 | Evanescia: 22682.670 | ElationMC: 2969.407 | RuanMei: 884.995 | HuoHuo: 16.271
Run    3: Team DPAV: 26894.014 | Evanescia: 22477.638 | ElationMC: 2980.093 | RuanMei: 894.420 | HuoHuo: 18.614
Run    4: Team DPAV: 25667.767 | Evanescia: 21129.502 | ElationMC: 2993.901 | RuanMei: 913.178 | HuoHuo: 18.713
Run    5: Team DPAV: 26167.237 | Evanescia: 21815.659 | ElationMC: 2969.893 | RuanMei: 820.591 | HuoHuo: 18.449
Run    6: Team DPAV: 24558.421 | Evanescia: 20136.829 | ElationMC: 3047.911 | RuanMei: 816.299 | HuoHuo: 18.614
Run    7: Team DPAV: 24192.637 | Evanescia: 19807.961 | ElationMC: 3040.638 | RuanMei: 798.295 | HuoHuo: 18.614
Run    8: Team DPAV: 26121.952 | Evanescia: 21609.255 | ElationMC: 3052.253 | RuanMei: 885.368 | HuoHuo: 20.793
Run    9: Team DPAV: 27362.324 | Evanescia: 22809.145 | ElationMC: 3071.866 | RuanMei: 906.237 | HuoHuo: 20.793
Run   10: Team DPAV: 26523.628 | Evanescia: 21934.641 | ElationMC: 3106.771 | RuanMei: 897.681 | HuoHuo: 18.614
Run   11: Team DPAV: 25884.513 | Evanescia: 21478.211 | ElationMC: 2986.723 | RuanMei: 854.440 | HuoHuo: 18.614
Run   12: Team DPAV: 27223.821 | Evanescia: 22837.817 | ElationMC: 3006.816 | RuanMei: 834.138 | HuoHuo: 17.921
Run   13: Team DPAV: 27267.324 | Evanescia: 22732.452 | ElationMC: 3122.864 | RuanMei: 836.933 | HuoHuo: 20.793
Run   14: Team DPAV: 27104.367 | Evanescia: 22619.495 | ElationMC: 3071.584 | RuanMei: 826.574 | HuoHuo: 20.793
Run   15: Team DPAV: 26940.586 | Evanescia: 22410.232 | ElationMC: 3055.055 | RuanMei: 909.632 | HuoHuo: 19.142
Run   16: Team DPAV: 25318.139 | Evanescia: 20844.629 | ElationMC: 3088.983 | RuanMei: 811.795 | HuoHuo: 18.449
Run   17: Team DPAV: 27494.873 | Evanescia: 22968.280 | ElationMC: 3090.737 | RuanMei: 882.355 | HuoHuo: 18.614
Run   18: Team DPAV: 23876.443 | Evanescia: 19502.325 | ElationMC: 3024.748 | RuanMei: 797.519 | HuoHuo: 16.964
Run   19: Team DPAV: 26090.360 | Evanescia: 21597.206 | ElationMC: 3084.920 | RuanMei: 766.203 | HuoHuo: 17.921
Run   20: Team DPAV: 26905.585 | Evanescia: 22378.736 | ElationMC: 3097.289 | RuanMei: 868.300 | HuoHuo: 18.614
