Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 58861.157 | Evanescia: 55832.187 | ElationMC: 2250.615 | Sparkle: 0.000 | HuoHuo: 6.964
Run    2: Team DPAV: 57450.847 | Evanescia: 54374.904 | ElationMC: 2235.026 | Sparkle: 0.000 | HuoHuo: 6.964
Run    3: Team DPAV: 55688.329 | Evanescia: 52659.359 | ElationMC: 2250.615 | Sparkle: 0.000 | HuoHuo: 6.964
Run    4: Team DPAV: 59720.745 | Evanescia: 56610.162 | ElationMC: 2332.228 | Sparkle: 0.000 | HuoHuo: 6.964
Run    5: Team DPAV: 56239.970 | Evanescia: 53170.089 | ElationMC: 2291.527 | Sparkle: 0.000 | HuoHuo: 6.964
Run    6: Team DPAV: 62519.576 | Evanescia: 59438.091 | ElationMC: 2303.131 | Sparkle: 0.000 | HuoHuo: 6.964
Run    7: Team DPAV: 57358.358 | Evanescia: 54275.242 | ElationMC: 2221.344 | Sparkle: 0.000 | HuoHuo: 6.964
Run    8: Team DPAV: 57197.649 | Evanescia: 54148.261 | ElationMC: 2208.471 | Sparkle: 0.000 | HuoHuo: 6.964
Run    9: Team DPAV: 58997.651 | Evanescia: 55863.068 | ElationMC: 2293.665 | Sparkle: 0.000 | HuoHuo: 6.964
Run   10: Team DPAV: 59647.840 | Evanescia: 56472.345 | ElationMC: 2334.578 | Sparkle: 0.000 | HuoHuo: 6.964
Run   11: Team DPAV: 55479.692 | Evanescia: 52450.722 | ElationMC: 2250.615 | Sparkle: 0.000 | HuoHuo: 6.964
Run   12: Team DPAV: 59697.773 | Evanescia: 56610.162 | ElationMC: 2309.256 | Sparkle: 0.000 | HuoHuo: 6.964
Run   13: Team DPAV: 54251.200 | Evanescia: 51156.301 | ElationMC: 2253.983 | Sparkle: 0.000 | HuoHuo: 6.964
Run   14: Team DPAV: 57506.871 | Evanescia: 54507.173 | ElationMC: 2221.344 | Sparkle: 0.000 | HuoHuo: 6.964
Run   15: Team DPAV: 55510.114 | Evanescia: 52481.145 | ElationMC: 2250.615 | Sparkle: 0.000 | HuoHuo: 6.964
Run   16: Team DPAV: 58728.717 | Evanescia: 55699.748 | ElationMC: 2250.615 | Sparkle: 0.000 | HuoHuo: 6.964
Run   17: Team DPAV: 58728.717 | Evanescia: 55699.748 | ElationMC: 2250.615 | Sparkle: 0.000 | HuoHuo: 6.964
Run   18: Team DPAV: 55479.692 | Evanescia: 52450.722 | ElationMC: 2250.615 | Sparkle: 0.000 | HuoHuo: 6.964
Run   19: Team DPAV: 58676.907 | Evanescia: 55626.217 | ElationMC: 2272.336 | Sparkle: 0.000 | HuoHuo: 6.964
Run   20: Team DPAV: 57469.803 | Evanescia: 54374.904 | ElationMC: 2253.983 | Sparkle: 0.000 | HuoHuo: 6.964
Run   21: Team DPAV: 57197.649 | Evanescia: 54148.261 | ElationMC: 2208.471 | Sparkle: 0.000 | HuoHuo: 6.964
Run   22: Team DPAV: 57825.974 | Evanescia: 54723.614 | ElationMC: 2261.443 | Sparkle: 0.000 | HuoHuo: 6.964
Run   23: Team DPAV: 55929.564 | Evanescia: 52880.176 | ElationMC: 2208.471 | Sparkle: 0.000 | HuoHuo: 6.964
Run   24: Team DPAV: 58447.765 | Evanescia: 55468.387 | ElationMC: 2201.024 | Sparkle: 0.000 | HuoHuo: 6.964
Run   25: Team DPAV: 54251.200 | Evanescia: 51156.301 | ElationMC: 2253.983 | Sparkle: 0.000 | HuoHuo: 6.964
Run   26: Team DPAV: 57002.284 | Evanescia: 54011.434 | ElationMC: 2212.496 | Sparkle: 0.000 | HuoHuo: 6.964
Run   27: Team DPAV: 53844.428 | Evanescia: 50803.498 | ElationMC: 2200.013 | Sparkle: 0.000 | HuoHuo: 6.964
Run   28: Team DPAV: 55479.692 | Evanescia: 52450.722 | ElationMC: 2250.615 | Sparkle: 0.000 | HuoHuo: 6.964
Run   29: Team DPAV: 56239.970 | Evanescia: 53170.089 | ElationMC: 2291.527 | Sparkle: 0.000 | HuoHuo: 6.964
Run   30: Team DPAV: 58948.407 | Evanescia: 55813.824 | ElationMC: 2293.665 | Sparkle: 0.000 | HuoHuo: 6.964
