Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 29243.427 | Evanescia: 26528.070 | ElationMC: 2188.219 | Sunday: 0.000 | HuoHuo: 6.031
Run    2: Team DPAV: 31404.908 | Evanescia: 28662.244 | ElationMC: 2163.203 | Sunday: 0.000 | HuoHuo: 5.713
Run    3: Team DPAV: 31571.025 | Evanescia: 28834.946 | ElationMC: 2182.621 | Sunday: 0.000 | HuoHuo: 6.031
Run    4: Team DPAV: 31681.511 | Evanescia: 28975.373 | ElationMC: 2179.000 | Sunday: 0.000 | HuoHuo: 6.031
Run    5: Team DPAV: 30811.782 | Evanescia: 28012.938 | ElationMC: 2219.066 | Sunday: 0.000 | HuoHuo: 6.031
Run    6: Team DPAV: 30317.535 | Evanescia: 27549.521 | ElationMC: 2214.873 | Sunday: 0.000 | HuoHuo: 5.713
Run    7: Team DPAV: 31664.159 | Evanescia: 28902.032 | ElationMC: 2182.666 | Sunday: 0.000 | HuoHuo: 5.713
Run    8: Team DPAV: 30503.237 | Evanescia: 27741.412 | ElationMC: 2182.046 | Sunday: 0.000 | HuoHuo: 6.031
Run    9: Team DPAV: 32001.917 | Evanescia: 29202.987 | ElationMC: 2219.469 | Sunday: 0.000 | HuoHuo: 5.713
Run   10: Team DPAV: 31694.543 | Evanescia: 28963.291 | ElationMC: 2178.111 | Sunday: 0.000 | HuoHuo: 5.713
Run   11: Team DPAV: 31310.665 | Evanescia: 28568.001 | ElationMC: 2163.203 | Sunday: 0.000 | HuoHuo: 5.713
Run   12: Team DPAV: 30268.403 | Evanescia: 27563.729 | ElationMC: 2177.853 | Sunday: 0.000 | HuoHuo: 5.713
Run   13: Team DPAV: 29900.780 | Evanescia: 27160.292 | ElationMC: 2187.030 | Sunday: 0.000 | HuoHuo: 6.031
Run   14: Team DPAV: 30124.851 | Evanescia: 27363.026 | ElationMC: 2182.046 | Sunday: 0.000 | HuoHuo: 6.031
Run   15: Team DPAV: 29924.165 | Evanescia: 27181.501 | ElationMC: 2163.203 | Sunday: 0.000 | HuoHuo: 5.713
Run   16: Team DPAV: 30736.484 | Evanescia: 28022.106 | ElationMC: 2187.240 | Sunday: 0.000 | HuoHuo: 6.031
Run   17: Team DPAV: 30368.469 | Evanescia: 27608.230 | ElationMC: 2180.460 | Sunday: 0.000 | HuoHuo: 6.031
Run   18: Team DPAV: 30477.734 | Evanescia: 27761.308 | ElationMC: 2189.288 | Sunday: 0.000 | HuoHuo: 6.031
Run   19: Team DPAV: 30901.032 | Evanescia: 28185.675 | ElationMC: 2188.219 | Sunday: 0.000 | HuoHuo: 6.031
Run   20: Team DPAV: 31851.852 | Evanescia: 29109.405 | ElationMC: 2162.986 | Sunday: 0.000 | HuoHuo: 5.713
Run   21: Team DPAV: 31419.482 | Evanescia: 28639.799 | ElationMC: 2200.223 | Sunday: 0.000 | HuoHuo: 5.713
