Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 26283.914 | Evanescia: 21915.851 | ElationMC: 2998.409 | Tribbie: 619.150 | HuoHuo: 8.966
Run    2: Team DPAV: 25417.563 | Evanescia: 21111.022 | ElationMC: 2998.499 | Tribbie: 597.320 | HuoHuo: 8.966
Run    3: Team DPAV: 26398.424 | Evanescia: 22028.810 | ElationMC: 2998.409 | Tribbie: 620.700 | HuoHuo: 8.966
Run    4: Team DPAV: 25240.126 | Evanescia: 20916.975 | ElationMC: 2978.297 | Tribbie: 594.348 | HuoHuo: 8.966
Run    5: Team DPAV: 26026.826 | Evanescia: 21605.195 | ElationMC: 3049.486 | Tribbie: 621.639 | HuoHuo: 8.966
Run    6: Team DPAV: 25228.053 | Evanescia: 20867.318 | ElationMC: 2978.297 | Tribbie: 631.932 | HuoHuo: 8.966
Run    7: Team DPAV: 25656.068 | Evanescia: 21285.515 | ElationMC: 2998.409 | Tribbie: 621.639 | HuoHuo: 8.966
Run    8: Team DPAV: 25169.263 | Evanescia: 20845.524 | ElationMC: 2978.886 | Tribbie: 594.348 | HuoHuo: 8.966
Run    9: Team DPAV: 26627.111 | Evanescia: 22279.953 | ElationMC: 2978.297 | Tribbie: 618.355 | HuoHuo: 8.966
Run   10: Team DPAV: 24849.225 | Evanescia: 20505.168 | ElationMC: 2998.409 | Tribbie: 595.143 | HuoHuo: 8.966
Run   11: Team DPAV: 25652.639 | Evanescia: 21285.515 | ElationMC: 2998.409 | Tribbie: 618.210 | HuoHuo: 8.966
Run   12: Team DPAV: 26318.775 | Evanescia: 21950.711 | ElationMC: 2998.409 | Tribbie: 619.150 | HuoHuo: 8.966
Run   13: Team DPAV: 25654.706 | Evanescia: 21285.515 | ElationMC: 2998.409 | Tribbie: 620.277 | HuoHuo: 8.966
Run   14: Team DPAV: 24870.061 | Evanescia: 20526.593 | ElationMC: 2997.820 | Tribbie: 595.143 | HuoHuo: 8.966
Run   15: Team DPAV: 24284.565 | Evanescia: 19938.090 | ElationMC: 2997.820 | Tribbie: 598.149 | HuoHuo: 8.966
Run   16: Team DPAV: 25727.582 | Evanescia: 21357.617 | ElationMC: 2997.820 | Tribbie: 621.639 | HuoHuo: 8.966
Run   17: Team DPAV: 25656.585 | Evanescia: 21285.515 | ElationMC: 2998.409 | Tribbie: 622.156 | HuoHuo: 8.966
Run   18: Team DPAV: 25492.662 | Evanescia: 21126.582 | ElationMC: 3059.293 | Tribbie: 596.065 | HuoHuo: 8.966
Run   19: Team DPAV: 26034.216 | Evanescia: 21639.670 | ElationMC: 3048.898 | Tribbie: 595.143 | HuoHuo: 8.966
Run   20: Team DPAV: 26142.871 | Evanescia: 21792.635 | ElationMC: 2978.886 | Tribbie: 620.845 | HuoHuo: 8.966
Run   21: Team DPAV: 26598.537 | Evanescia: 22252.247 | ElationMC: 2978.886 | Tribbie: 616.899 | HuoHuo: 8.966
