Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 54488.888 | Evanescia: 39871.449 | ElationMC: 5719.721 | YaoGuang: 7792.899 | HuoHuo: 7.976
Run    2: Team DPAV: 60669.669 | Evanescia: 44593.293 | ElationMC: 6178.674 | YaoGuang: 8668.986 | HuoHuo: 8.419
Run    3: Team DPAV: 61149.588 | Evanescia: 44887.132 | ElationMC: 6207.535 | YaoGuang: 8879.113 | HuoHuo: 8.419
Run    4: Team DPAV: 57135.125 | Evanescia: 41981.969 | ElationMC: 5770.647 | YaoGuang: 8365.872 | HuoHuo: 7.976
Run    5: Team DPAV: 59158.585 | Evanescia: 44296.105 | ElationMC: 5798.127 | YaoGuang: 8012.442 | HuoHuo: 7.976
Run    6: Team DPAV: 57936.939 | Evanescia: 43219.350 | ElationMC: 5589.847 | YaoGuang: 7953.175 | HuoHuo: 7.178
Run    7: Team DPAV: 58701.695 | Evanescia: 43889.328 | ElationMC: 5812.021 | YaoGuang: 7966.072 | HuoHuo: 7.976
Run    8: Team DPAV: 56306.743 | Evanescia: 41609.566 | ElationMC: 5693.808 | YaoGuang: 7951.458 | HuoHuo: 7.976
Run    9: Team DPAV: 54973.598 | Evanescia: 40885.054 | ElationMC: 5524.558 | YaoGuang: 7582.621 | HuoHuo: 7.976
Run   10: Team DPAV: 54874.259 | Evanescia: 40738.128 | ElationMC: 5633.411 | YaoGuang: 7538.992 | HuoHuo: 7.976
Run   11: Team DPAV: 56464.760 | Evanescia: 41716.733 | ElationMC: 5711.151 | YaoGuang: 7931.614 | HuoHuo: 8.419
Run   12: Team DPAV: 57412.421 | Evanescia: 42271.155 | ElationMC: 5843.261 | YaoGuang: 8246.095 | HuoHuo: 7.976
Run   13: Team DPAV: 56964.207 | Evanescia: 41943.187 | ElationMC: 5835.302 | YaoGuang: 8098.536 | HuoHuo: 7.976
Run   14: Team DPAV: 58199.460 | Evanescia: 43164.751 | ElationMC: 5763.035 | YaoGuang: 8166.412 | HuoHuo: 8.419
Run   15: Team DPAV: 55978.275 | Evanescia: 41284.901 | ElationMC: 5670.061 | YaoGuang: 7883.221 | HuoHuo: 7.976
Run   16: Team DPAV: 54823.240 | Evanescia: 40495.656 | ElationMC: 5564.352 | YaoGuang: 7623.141 | HuoHuo: 7.976
Run   17: Team DPAV: 58946.006 | Evanescia: 43480.733 | ElationMC: 6062.124 | YaoGuang: 8263.058 | HuoHuo: 7.976
Run   18: Team DPAV: 55313.818 | Evanescia: 40717.255 | ElationMC: 5776.593 | YaoGuang: 7820.969 | HuoHuo: 7.976
Run   19: Team DPAV: 55870.633 | Evanescia: 41440.468 | ElationMC: 5646.575 | YaoGuang: 7748.874 | HuoHuo: 8.419
Run   20: Team DPAV: 56751.637 | Evanescia: 42076.228 | ElationMC: 5780.976 | YaoGuang: 7842.523 | HuoHuo: 7.976
Run   21: Team DPAV: 59375.811 | Evanescia: 43550.866 | ElationMC: 6158.406 | YaoGuang: 8543.641 | HuoHuo: 8.419
Run   22: Team DPAV: 57212.314 | Evanescia: 42125.072 | ElationMC: 5873.583 | YaoGuang: 8267.568 | HuoHuo: 7.976
Run   23: Team DPAV: 60016.747 | Evanescia: 44173.530 | ElationMC: 6136.097 | YaoGuang: 8655.209 | HuoHuo: 7.976
Run   24: Team DPAV: 58560.568 | Evanescia: 43566.172 | ElationMC: 5697.306 | YaoGuang: 8165.817 | HuoHuo: 7.976
Run   25: Team DPAV: 54979.773 | Evanescia: 40380.771 | ElationMC: 5716.641 | YaoGuang: 7759.463 | HuoHuo: 8.419
Run   26: Team DPAV: 58721.356 | Evanescia: 44043.094 | ElationMC: 5654.756 | YaoGuang: 7971.596 | HuoHuo: 7.976
Run   27: Team DPAV: 56348.926 | Evanescia: 41560.998 | ElationMC: 5759.021 | YaoGuang: 8029.907 | HuoHuo: 7.976
