Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 43070.989 | Evanescia: 27524.312 | ElationMC: 5151.981 | YaoGuang: 9511.236 | Lingsha: 192.253
Run    2: Team DPAV: 43867.220 | Evanescia: 27652.995 | ElationMC: 5186.420 | YaoGuang: 10207.162 | Lingsha: 191.162
Run    3: Team DPAV: 40500.229 | Evanescia: 25700.206 | ElationMC: 4787.987 | YaoGuang: 9139.844 | Lingsha: 180.984
Run    4: Team DPAV: 40063.876 | Evanescia: 25324.022 | ElationMC: 4809.908 | YaoGuang: 9048.530 | Lingsha: 190.207
Run    5: Team DPAV: 40141.876 | Evanescia: 25402.023 | ElationMC: 4809.908 | YaoGuang: 9048.530 | Lingsha: 190.207
Run    6: Team DPAV: 41816.157 | Evanescia: 26812.347 | ElationMC: 4880.576 | YaoGuang: 9250.274 | Lingsha: 181.751
Run    7: Team DPAV: 42322.519 | Evanescia: 27525.261 | ElationMC: 4809.908 | YaoGuang: 9071.634 | Lingsha: 189.236
Run    8: Team DPAV: 40915.305 | Evanescia: 26155.971 | ElationMC: 4809.908 | YaoGuang: 9068.011 | Lingsha: 190.207
Run    9: Team DPAV: 42728.576 | Evanescia: 27376.403 | ElationMC: 5104.619 | YaoGuang: 9365.187 | Lingsha: 191.160
Run   10: Team DPAV: 43181.697 | Evanescia: 27635.020 | ElationMC: 5151.981 | YaoGuang: 9511.236 | Lingsha: 192.253
Run   11: Team DPAV: 41501.458 | Evanescia: 26719.171 | ElationMC: 4809.908 | YaoGuang: 9090.964 | Lingsha: 190.207
Run   12: Team DPAV: 44525.221 | Evanescia: 28581.536 | ElationMC: 5195.327 | YaoGuang: 9865.138 | Lingsha: 192.012
Run   13: Team DPAV: 42875.894 | Evanescia: 27327.855 | ElationMC: 5151.981 | YaoGuang: 9512.598 | Lingsha: 192.253
Run   14: Team DPAV: 43944.359 | Evanescia: 28083.688 | ElationMC: 5113.488 | YaoGuang: 9867.133 | Lingsha: 188.842
Run   15: Team DPAV: 43374.320 | Evanescia: 27936.579 | ElationMC: 5136.964 | YaoGuang: 9382.285 | Lingsha: 192.012
Run   16: Team DPAV: 40425.475 | Evanescia: 25740.223 | ElationMC: 4707.176 | YaoGuang: 9105.617 | Lingsha: 190.069
Run   17: Team DPAV: 40996.220 | Evanescia: 26203.207 | ElationMC: 4798.249 | YaoGuang: 9086.591 | Lingsha: 181.693
Run   18: Team DPAV: 44858.432 | Evanescia: 29289.194 | ElationMC: 5151.981 | YaoGuang: 9498.525 | Lingsha: 192.253
Run   19: Team DPAV: 43641.094 | Evanescia: 27916.938 | ElationMC: 5220.800 | YaoGuang: 9619.895 | Lingsha: 192.253
Run   20: Team DPAV: 42721.106 | Evanescia: 27142.500 | ElationMC: 4954.148 | YaoGuang: 9765.205 | Lingsha: 182.742
Run   21: Team DPAV: 40536.643 | Evanescia: 25619.008 | ElationMC: 4878.727 | YaoGuang: 9157.492 | Lingsha: 190.207
Run   22: Team DPAV: 41241.868 | Evanescia: 26469.745 | ElationMC: 4682.251 | YaoGuang: 9231.148 | Lingsha: 188.092
Run   23: Team DPAV: 43939.472 | Evanescia: 28198.456 | ElationMC: 5220.800 | YaoGuang: 9636.755 | Lingsha: 192.253
Run   24: Team DPAV: 40889.059 | Evanescia: 26129.725 | ElationMC: 4809.908 | YaoGuang: 9068.011 | Lingsha: 190.207
Run   25: Team DPAV: 44820.841 | Evanescia: 28873.359 | ElationMC: 5192.866 | YaoGuang: 9881.635 | Lingsha: 181.773
Run   26: Team DPAV: 42759.178 | Evanescia: 27222.142 | ElationMC: 5151.981 | YaoGuang: 9501.595 | Lingsha: 192.253
Run   27: Team DPAV: 43761.419 | Evanescia: 28050.631 | ElationMC: 5201.069 | YaoGuang: 9591.226 | Lingsha: 192.012
Run   28: Team DPAV: 43465.214 | Evanescia: 27860.960 | ElationMC: 5153.830 | YaoGuang: 9578.232 | Lingsha: 180.984
Run   29: Team DPAV: 42269.127 | Evanescia: 27273.785 | ElationMC: 4878.727 | YaoGuang: 9199.926 | Lingsha: 190.207
Run   30: Team DPAV: 41444.649 | Evanescia: 26662.362 | ElationMC: 4809.908 | YaoGuang: 9090.964 | Lingsha: 190.207
Run   31: Team DPAV: 41854.297 | Evanescia: 26905.317 | ElationMC: 4775.471 | YaoGuang: 9300.710 | Lingsha: 190.410
Run   32: Team DPAV: 43769.651 | Evanescia: 28271.035 | ElationMC: 5129.119 | YaoGuang: 9451.445 | Lingsha: 191.571
Run   33: Team DPAV: 43348.867 | Evanescia: 27792.754 | ElationMC: 5151.981 | YaoGuang: 9520.673 | Lingsha: 192.253
Run   34: Team DPAV: 41206.283 | Evanescia: 26448.312 | ElationMC: 4809.908 | YaoGuang: 9066.648 | Lingsha: 190.207
Run   35: Team DPAV: 40858.810 | Evanescia: 26094.033 | ElationMC: 4809.908 | YaoGuang: 9073.453 | Lingsha: 190.207
Run   36: Team DPAV: 41729.941 | Evanescia: 26772.310 | ElationMC: 4785.346 | YaoGuang: 9308.123 | Lingsha: 181.773
Run   37: Team DPAV: 43147.238 | Evanescia: 27481.442 | ElationMC: 5146.718 | YaoGuang: 9600.345 | Lingsha: 192.253
