Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 60096.884 | Evanescia: 39942.379 | MortenaxBlade: 7412.227 | YaoGuang: 11357.050 | HuoHuo: 0.000
Run    2: Team DPAV: 57088.184 | Evanescia: 38439.718 | MortenaxBlade: 7117.649 | YaoGuang: 10211.837 | HuoHuo: 0.000
Run    3: Team DPAV: 53173.734 | Evanescia: 35786.314 | MortenaxBlade: 6273.731 | YaoGuang: 9900.706 | HuoHuo: 0.000
Run    4: Team DPAV: 52494.679 | Evanescia: 34926.389 | MortenaxBlade: 5916.977 | YaoGuang: 10425.081 | HuoHuo: 0.000
Run    5: Team DPAV: 48595.113 | Evanescia: 32486.100 | MortenaxBlade: 5578.410 | YaoGuang: 9330.869 | HuoHuo: 0.000
Run    6: Team DPAV: 56186.546 | Evanescia: 37118.719 | MortenaxBlade: 7391.923 | YaoGuang: 10277.426 | HuoHuo: 0.000
Run    7: Team DPAV: 52036.489 | Evanescia: 34987.371 | MortenaxBlade: 6102.096 | YaoGuang: 9654.541 | HuoHuo: 0.000
Run    8: Team DPAV: 52680.496 | Evanescia: 35338.423 | MortenaxBlade: 6061.409 | YaoGuang: 9882.186 | HuoHuo: 0.000
Run    9: Team DPAV: 58407.252 | Evanescia: 39209.783 | MortenaxBlade: 7914.475 | YaoGuang: 9964.014 | HuoHuo: 0.000
Run   10: Team DPAV: 54762.573 | Evanescia: 35581.132 | MortenaxBlade: 7536.556 | YaoGuang: 10259.656 | HuoHuo: 0.000
Run   11: Team DPAV: 55083.037 | Evanescia: 37284.349 | MortenaxBlade: 5947.613 | YaoGuang: 10465.847 | HuoHuo: 0.000
Run   12: Team DPAV: 52385.680 | Evanescia: 35172.390 | MortenaxBlade: 5746.462 | YaoGuang: 10200.847 | HuoHuo: 0.000
Run   13: Team DPAV: 54839.024 | Evanescia: 37632.272 | MortenaxBlade: 6009.543 | YaoGuang: 9798.730 | HuoHuo: 0.000
Run   14: Team DPAV: 50887.681 | Evanescia: 33937.083 | MortenaxBlade: 6046.558 | YaoGuang: 9691.057 | HuoHuo: 0.000
Run   15: Team DPAV: 53635.139 | Evanescia: 34416.424 | MortenaxBlade: 7473.900 | YaoGuang: 10359.586 | HuoHuo: 0.000
Run   16: Team DPAV: 53709.085 | Evanescia: 34933.186 | MortenaxBlade: 7515.902 | YaoGuang: 9861.518 | HuoHuo: 0.000
Run   17: Team DPAV: 54932.391 | Evanescia: 36612.061 | MortenaxBlade: 7473.192 | YaoGuang: 9581.156 | HuoHuo: 0.000
Run   18: Team DPAV: 55855.835 | Evanescia: 37161.001 | MortenaxBlade: 7527.230 | YaoGuang: 9769.126 | HuoHuo: 0.000
Run   19: Team DPAV: 57261.010 | Evanescia: 38106.586 | MortenaxBlade: 7476.063 | YaoGuang: 10173.885 | HuoHuo: 0.000
Run   20: Team DPAV: 52932.986 | Evanescia: 35058.611 | MortenaxBlade: 5946.504 | YaoGuang: 10701.637 | HuoHuo: 0.000
Run   21: Team DPAV: 56549.327 | Evanescia: 37652.474 | MortenaxBlade: 7168.133 | YaoGuang: 10144.745 | HuoHuo: 0.000
Run   22: Team DPAV: 49748.943 | Evanescia: 33360.249 | MortenaxBlade: 5891.860 | YaoGuang: 9297.101 | HuoHuo: 0.000
Run   23: Team DPAV: 48783.195 | Evanescia: 32401.099 | MortenaxBlade: 5924.369 | YaoGuang: 9257.994 | HuoHuo: 0.000
Run   24: Team DPAV: 57150.660 | Evanescia: 37784.773 | MortenaxBlade: 7452.895 | YaoGuang: 10607.261 | HuoHuo: 0.000
Run   25: Team DPAV: 56740.919 | Evanescia: 37571.205 | MortenaxBlade: 7440.420 | YaoGuang: 10251.317 | HuoHuo: 0.000
Run   26: Team DPAV: 52323.583 | Evanescia: 34562.026 | MortenaxBlade: 6044.445 | YaoGuang: 10411.381 | HuoHuo: 0.000
Run   27: Team DPAV: 55746.505 | Evanescia: 38221.440 | MortenaxBlade: 5953.239 | YaoGuang: 10305.844 | HuoHuo: 0.000
Run   28: Team DPAV: 55145.601 | Evanescia: 36274.982 | MortenaxBlade: 7375.078 | YaoGuang: 10216.311 | HuoHuo: 0.000
Run   29: Team DPAV: 54204.137 | Evanescia: 35428.098 | MortenaxBlade: 7339.458 | YaoGuang: 10038.103 | HuoHuo: 0.000
Run   30: Team DPAV: 54696.905 | Evanescia: 35511.173 | MortenaxBlade: 7480.764 | YaoGuang: 10319.739 | HuoHuo: 0.000
Run   31: Team DPAV: 54774.548 | Evanescia: 37347.674 | MortenaxBlade: 5976.032 | YaoGuang: 10052.364 | HuoHuo: 0.000
Run   32: Team DPAV: 56195.123 | Evanescia: 37009.298 | MortenaxBlade: 7165.866 | YaoGuang: 10435.985 | HuoHuo: 0.000
Run   33: Team DPAV: 54850.515 | Evanescia: 37484.581 | MortenaxBlade: 6110.466 | YaoGuang: 9856.990 | HuoHuo: 0.000
Run   34: Team DPAV: 55471.339 | Evanescia: 37305.364 | MortenaxBlade: 6934.001 | YaoGuang: 9833.496 | HuoHuo: 0.000
