Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 38289.759 | Evanescia: 35311.038 | Sparkle: 0.000 | HuoHuo: 23.926 | ElationMC: 2056.102
Run    2: Team DPAV: 39110.377 | Evanescia: 36079.323 | Sparkle: 0.000 | HuoHuo: 24.553 | ElationMC: 2107.808
Run    3: Team DPAV: 40530.684 | Evanescia: 37462.483 | Sparkle: 0.000 | HuoHuo: 23.495 | ElationMC: 2142.209
Run    4: Team DPAV: 40364.305 | Evanescia: 37326.635 | Sparkle: 0.000 | HuoHuo: 23.491 | ElationMC: 2115.487
Run    5: Team DPAV: 39366.188 | Evanescia: 36384.820 | Sparkle: 0.000 | HuoHuo: 23.666 | ElationMC: 2055.206
Run    6: Team DPAV: 40383.321 | Evanescia: 37374.684 | Sparkle: 0.000 | HuoHuo: 23.256 | ElationMC: 2094.296
Run    7: Team DPAV: 38842.205 | Evanescia: 35826.029 | Sparkle: 0.000 | HuoHuo: 24.314 | ElationMC: 2093.168
Run    8: Team DPAV: 40301.049 | Evanescia: 37302.460 | Sparkle: 0.000 | HuoHuo: 23.256 | ElationMC: 2072.837
Run    9: Team DPAV: 37629.245 | Evanescia: 34634.205 | Sparkle: 0.000 | HuoHuo: 23.495 | ElationMC: 2069.048
Run   10: Team DPAV: 37512.534 | Evanescia: 34470.202 | Sparkle: 0.000 | HuoHuo: 23.491 | ElationMC: 2120.149
Run   11: Team DPAV: 39245.483 | Evanescia: 36248.378 | Sparkle: 0.000 | HuoHuo: 23.905 | ElationMC: 2113.128
Run   12: Team DPAV: 37356.855 | Evanescia: 34324.911 | Sparkle: 0.000 | HuoHuo: 24.553 | ElationMC: 2108.697
Run   13: Team DPAV: 41462.738 | Evanescia: 38467.497 | Sparkle: 0.000 | HuoHuo: 23.926 | ElationMC: 2072.622
Run   14: Team DPAV: 38979.285 | Evanescia: 35927.455 | Sparkle: 0.000 | HuoHuo: 24.139 | ElationMC: 2136.605
Run   15: Team DPAV: 38934.118 | Evanescia: 35923.648 | Sparkle: 0.000 | HuoHuo: 24.314 | ElationMC: 2093.168
Run   16: Team DPAV: 38736.367 | Evanescia: 35744.595 | Sparkle: 0.000 | HuoHuo: 23.491 | ElationMC: 2069.589
Run   17: Team DPAV: 41899.760 | Evanescia: 38845.426 | Sparkle: 0.000 | HuoHuo: 23.905 | ElationMC: 2135.541
Run   18: Team DPAV: 41170.573 | Evanescia: 38130.725 | Sparkle: 0.000 | HuoHuo: 23.905 | ElationMC: 2117.251
Run   19: Team DPAV: 41793.870 | Evanescia: 38797.219 | Sparkle: 0.000 | HuoHuo: 23.491 | ElationMC: 2074.468
Run   20: Team DPAV: 41956.445 | Evanescia: 38919.528 | Sparkle: 0.000 | HuoHuo: 23.905 | ElationMC: 2118.123
Run   21: Team DPAV: 37354.692 | Evanescia: 34329.257 | Sparkle: 0.000 | HuoHuo: 23.900 | ElationMC: 2114.254
Run   22: Team DPAV: 40887.594 | Evanescia: 37892.947 | Sparkle: 0.000 | HuoHuo: 23.985 | ElationMC: 2156.817
Run   23: Team DPAV: 38868.052 | Evanescia: 35837.449 | Sparkle: 0.000 | HuoHuo: 24.139 | ElationMC: 2111.575
Run   24: Team DPAV: 39642.141 | Evanescia: 36601.976 | Sparkle: 0.000 | HuoHuo: 23.905 | ElationMC: 2113.764
Run   25: Team DPAV: 39252.997 | Evanescia: 36280.562 | Sparkle: 0.000 | HuoHuo: 24.314 | ElationMC: 2101.361
Run   26: Team DPAV: 37924.842 | Evanescia: 34909.256 | Sparkle: 0.000 | HuoHuo: 24.139 | ElationMC: 2104.166
Run   27: Team DPAV: 38124.696 | Evanescia: 35064.649 | Sparkle: 0.000 | HuoHuo: 24.314 | ElationMC: 2137.039
Run   28: Team DPAV: 39584.425 | Evanescia: 36545.104 | Sparkle: 0.000 | HuoHuo: 23.905 | ElationMC: 2112.919
Run   29: Team DPAV: 40440.248 | Evanescia: 37412.587 | Sparkle: 0.000 | HuoHuo: 23.905 | ElationMC: 2105.064
Run   30: Team DPAV: 42032.414 | Evanescia: 38996.610 | Sparkle: 0.000 | HuoHuo: 23.256 | ElationMC: 2113.856
Run   31: Team DPAV: 37479.872 | Evanescia: 34462.460 | Sparkle: 0.000 | HuoHuo: 23.900 | ElationMC: 2098.624
