Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 50683.355 | Evanescia: 26898.516 | Sparxie: 13961.216 | YaoGuang: 9132.139 | HuoHuo: 8.288
Run    2: Team DPAV: 46380.393 | Evanescia: 24801.709 | Sparxie: 12367.187 | YaoGuang: 8487.270 | HuoHuo: 8.062
Run    3: Team DPAV: 50421.519 | Evanescia: 27088.982 | Sparxie: 13832.056 | YaoGuang: 8776.255 | HuoHuo: 8.062
Run    4: Team DPAV: 49962.900 | Evanescia: 26351.034 | Sparxie: 13684.278 | YaoGuang: 9203.137 | HuoHuo: 8.288
Run    5: Team DPAV: 46994.439 | Evanescia: 24756.368 | Sparxie: 12834.872 | YaoGuang: 8678.973 | HuoHuo: 8.062
Run    6: Team DPAV: 46755.862 | Evanescia: 24828.196 | Sparxie: 12830.697 | YaoGuang: 8372.743 | HuoHuo: 8.062
Run    7: Team DPAV: 46959.707 | Evanescia: 24861.294 | Sparxie: 12853.554 | YaoGuang: 8520.633 | HuoHuo: 8.062
Run    8: Team DPAV: 50080.789 | Evanescia: 26344.088 | Sparxie: 14029.038 | YaoGuang: 8983.437 | HuoHuo: 8.062
Run    9: Team DPAV: 47628.704 | Evanescia: 25056.243 | Sparxie: 13099.577 | YaoGuang: 8748.657 | HuoHuo: 8.062
Run   10: Team DPAV: 47040.153 | Evanescia: 24948.213 | Sparxie: 12949.610 | YaoGuang: 8418.104 | HuoHuo: 8.062
Run   11: Team DPAV: 50771.471 | Evanescia: 26151.364 | Sparxie: 14492.931 | YaoGuang: 9402.951 | HuoHuo: 8.062
Run   12: Team DPAV: 49317.503 | Evanescia: 25768.344 | Sparxie: 13907.027 | YaoGuang: 8917.905 | HuoHuo: 8.062
Run   13: Team DPAV: 45746.357 | Evanescia: 23423.880 | Sparxie: 13000.507 | YaoGuang: 8597.744 | HuoHuo: 8.062
Run   14: Team DPAV: 52042.663 | Evanescia: 27344.251 | Sparxie: 14697.610 | YaoGuang: 9276.351 | HuoHuo: 8.288
Run   15: Team DPAV: 48896.806 | Evanescia: 25851.267 | Sparxie: 13450.373 | YaoGuang: 8870.941 | HuoHuo: 8.062
Run   16: Team DPAV: 50329.044 | Evanescia: 26312.832 | Sparxie: 14448.426 | YaoGuang: 8843.560 | HuoHuo: 8.062
Run   17: Team DPAV: 51088.765 | Evanescia: 26855.435 | Sparxie: 14223.601 | YaoGuang: 9285.278 | HuoHuo: 8.288
Run   18: Team DPAV: 50918.355 | Evanescia: 26856.700 | Sparxie: 14483.471 | YaoGuang: 8853.958 | HuoHuo: 8.062
Run   19: Team DPAV: 48318.475 | Evanescia: 25156.437 | Sparxie: 13567.949 | YaoGuang: 8869.864 | HuoHuo: 8.062
Run   20: Team DPAV: 46172.836 | Evanescia: 24884.974 | Sparxie: 12317.538 | YaoGuang: 8246.098 | HuoHuo: 8.062
Run   21: Team DPAV: 50520.131 | Evanescia: 26373.638 | Sparxie: 14402.346 | YaoGuang: 9019.922 | HuoHuo: 8.062
Run   22: Team DPAV: 48703.078 | Evanescia: 25753.059 | Sparxie: 13406.531 | YaoGuang: 8819.261 | HuoHuo: 8.062
Run   23: Team DPAV: 50538.860 | Evanescia: 26750.894 | Sparxie: 13840.599 | YaoGuang: 9228.635 | HuoHuo: 8.062
