Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 36613.898 | Evanescia: 29691.894 | Tribbie: 3354.196 | HuoHuo: 28.694 | ElationMC: 2624.745
Run    2: Team DPAV: 35698.612 | Evanescia: 28692.000 | Tribbie: 3420.405 | HuoHuo: 28.969 | ElationMC: 2640.011
Run    3: Team DPAV: 34877.260 | Evanescia: 27868.406 | Tribbie: 3402.676 | HuoHuo: 28.969 | ElationMC: 2615.017
Run    4: Team DPAV: 35653.781 | Evanescia: 28671.589 | Tribbie: 3398.166 | HuoHuo: 28.969 | ElationMC: 2637.831
Run    5: Team DPAV: 36492.282 | Evanescia: 29445.995 | Tribbie: 3422.353 | HuoHuo: 28.969 | ElationMC: 2680.597
Run    6: Team DPAV: 35352.374 | Evanescia: 28407.567 | Tribbie: 3369.593 | HuoHuo: 28.969 | ElationMC: 2629.018
Run    7: Team DPAV: 35538.204 | Evanescia: 28562.741 | Tribbie: 3378.603 | HuoHuo: 28.661 | ElationMC: 2650.972
Run    8: Team DPAV: 36318.415 | Evanescia: 29408.751 | Tribbie: 3408.658 | HuoHuo: 27.870 | ElationMC: 2558.768
Run    9: Team DPAV: 35365.366 | Evanescia: 28313.135 | Tribbie: 3419.569 | HuoHuo: 28.419 | ElationMC: 2647.769
Run   10: Team DPAV: 31797.576 | Evanescia: 25172.696 | Tribbie: 3106.107 | HuoHuo: 28.354 | ElationMC: 2573.193
Run   11: Team DPAV: 35137.708 | Evanescia: 28031.033 | Tribbie: 3423.420 | HuoHuo: 28.694 | ElationMC: 2737.334
Run   12: Team DPAV: 33019.110 | Evanescia: 26526.073 | Tribbie: 3039.355 | HuoHuo: 27.870 | ElationMC: 2514.303
Run   13: Team DPAV: 35193.509 | Evanescia: 28208.778 | Tribbie: 3377.479 | HuoHuo: 27.562 | ElationMC: 2617.499
Run   14: Team DPAV: 35153.377 | Evanescia: 28166.090 | Tribbie: 3391.219 | HuoHuo: 27.870 | ElationMC: 2650.972
Run   15: Team DPAV: 35816.841 | Evanescia: 28648.640 | Tribbie: 3442.101 | HuoHuo: 28.969 | ElationMC: 2732.081
Run   16: Team DPAV: 36694.087 | Evanescia: 29742.051 | Tribbie: 3428.921 | HuoHuo: 28.969 | ElationMC: 2582.637
Run   17: Team DPAV: 35572.966 | Evanescia: 28592.327 | Tribbie: 3407.834 | HuoHuo: 28.661 | ElationMC: 2626.917
Run   18: Team DPAV: 36118.181 | Evanescia: 29236.503 | Tribbie: 3408.620 | HuoHuo: 28.694 | ElationMC: 2532.854
Run   19: Team DPAV: 35782.241 | Evanescia: 28648.013 | Tribbie: 3412.758 | HuoHuo: 28.694 | ElationMC: 2732.014
Run   20: Team DPAV: 34996.450 | Evanescia: 28058.301 | Tribbie: 3430.972 | HuoHuo: 28.661 | ElationMC: 2561.290
Run   21: Team DPAV: 32753.323 | Evanescia: 26148.183 | Tribbie: 3051.613 | HuoHuo: 28.177 | ElationMC: 2560.300
Run   22: Team DPAV: 35551.441 | Evanescia: 28559.235 | Tribbie: 3452.050 | HuoHuo: 28.177 | ElationMC: 2594.752
Run   23: Team DPAV: 36951.479 | Evanescia: 29602.918 | Tribbie: 3635.636 | HuoHuo: 28.694 | ElationMC: 2767.004
Run   24: Team DPAV: 35833.610 | Evanescia: 28768.035 | Tribbie: 3464.147 | HuoHuo: 28.661 | ElationMC: 2664.116
Run   25: Team DPAV: 35658.796 | Evanescia: 28682.397 | Tribbie: 3398.517 | HuoHuo: 28.969 | ElationMC: 2631.686
Run   26: Team DPAV: 34688.554 | Evanescia: 27358.170 | Tribbie: 3581.444 | HuoHuo: 28.694 | ElationMC: 2803.020
Run   27: Team DPAV: 36288.012 | Evanescia: 29074.086 | Tribbie: 3556.780 | HuoHuo: 28.969 | ElationMC: 2713.809
Run   28: Team DPAV: 31659.531 | Evanescia: 25012.498 | Tribbie: 3147.805 | HuoHuo: 28.419 | ElationMC: 2563.588
Run   29: Team DPAV: 35411.917 | Evanescia: 28421.637 | Tribbie: 3402.570 | HuoHuo: 27.386 | ElationMC: 2643.098
Run   30: Team DPAV: 35642.770 | Evanescia: 28536.169 | Tribbie: 3444.767 | HuoHuo: 27.595 | ElationMC: 2717.012
Run   31: Team DPAV: 35974.469 | Evanescia: 28911.526 | Tribbie: 3465.801 | HuoHuo: 28.661 | ElationMC: 2659.829
Run   32: Team DPAV: 37078.718 | Evanescia: 29873.818 | Tribbie: 3518.044 | HuoHuo: 28.177 | ElationMC: 2747.169
Run   33: Team DPAV: 36098.595 | Evanescia: 28856.668 | Tribbie: 3474.333 | HuoHuo: 28.111 | ElationMC: 2735.184
Run   34: Team DPAV: 34907.856 | Evanescia: 27980.168 | Tribbie: 3394.049 | HuoHuo: 28.694 | ElationMC: 2638.400
Run   35: Team DPAV: 36016.047 | Evanescia: 28990.724 | Tribbie: 3438.279 | HuoHuo: 28.661 | ElationMC: 2646.874
Run   36: Team DPAV: 33131.962 | Evanescia: 26438.421 | Tribbie: 3183.123 | HuoHuo: 28.969 | ElationMC: 2567.080
Run   37: Team DPAV: 33085.855 | Evanescia: 26341.066 | Tribbie: 3077.837 | HuoHuo: 27.595 | ElationMC: 2635.061
Run   38: Team DPAV: 37048.140 | Evanescia: 29961.712 | Tribbie: 3402.575 | HuoHuo: 28.969 | ElationMC: 2743.376
Run   39: Team DPAV: 36115.578 | Evanescia: 29111.384 | Tribbie: 3452.966 | HuoHuo: 28.658 | ElationMC: 2685.655
Run   40: Team DPAV: 31817.648 | Evanescia: 25129.526 | Tribbie: 3062.660 | HuoHuo: 28.386 | ElationMC: 2588.489
Run   41: Team DPAV: 35784.538 | Evanescia: 28498.065 | Tribbie: 3675.390 | HuoHuo: 28.661 | ElationMC: 2673.772
Run   42: Team DPAV: 35236.635 | Evanescia: 27939.397 | Tribbie: 3590.992 | HuoHuo: 28.694 | ElationMC: 2715.360
Run   43: Team DPAV: 36303.509 | Evanescia: 29210.500 | Tribbie: 3370.956 | HuoHuo: 28.106 | ElationMC: 2685.362
Run   44: Team DPAV: 34919.078 | Evanescia: 27978.152 | Tribbie: 3404.823 | HuoHuo: 28.661 | ElationMC: 2590.215
Run   45: Team DPAV: 35303.102 | Evanescia: 28490.882 | Tribbie: 3438.654 | HuoHuo: 28.694 | ElationMC: 2430.505
Run   46: Team DPAV: 35342.330 | Evanescia: 28404.534 | Tribbie: 3392.598 | HuoHuo: 27.870 | ElationMC: 2602.960
Run   47: Team DPAV: 36390.640 | Evanescia: 29470.452 | Tribbie: 3387.512 | HuoHuo: 28.969 | ElationMC: 2586.480
Run   48: Team DPAV: 34794.223 | Evanescia: 27782.633 | Tribbie: 3367.366 | HuoHuo: 27.627 | ElationMC: 2699.371
Run   49: Team DPAV: 30583.024 | Evanescia: 24157.162 | Tribbie: 3135.860 | HuoHuo: 28.177 | ElationMC: 2344.599
Run   50: Team DPAV: 33199.416 | Evanescia: 26441.913 | Tribbie: 3167.965 | HuoHuo: 28.177 | ElationMC: 2644.134
Run   51: Team DPAV: 32762.688 | Evanescia: 26111.425 | Tribbie: 3076.631 | HuoHuo: 28.111 | ElationMC: 2592.905
Run   52: Team DPAV: 35347.532 | Evanescia: 28477.877 | Tribbie: 3407.691 | HuoHuo: 28.694 | ElationMC: 2524.619
Run   53: Team DPAV: 36141.330 | Evanescia: 29110.758 | Tribbie: 3428.602 | HuoHuo: 28.969 | ElationMC: 2655.773
Run   54: Team DPAV: 35941.764 | Evanescia: 28930.100 | Tribbie: 3410.104 | HuoHuo: 28.969 | ElationMC: 2663.940
Run   55: Team DPAV: 36410.522 | Evanescia: 29371.732 | Tribbie: 3432.298 | HuoHuo: 28.177 | ElationMC: 2666.805
Run   56: Team DPAV: 30312.586 | Evanescia: 24077.684 | Tribbie: 2950.714 | HuoHuo: 27.870 | ElationMC: 2339.092
Run   57: Team DPAV: 35419.873 | Evanescia: 28466.542 | Tribbie: 3383.051 | HuoHuo: 28.177 | ElationMC: 2627.734
Run   58: Team DPAV: 33091.484 | Evanescia: 26439.726 | Tribbie: 3075.415 | HuoHuo: 28.694 | ElationMC: 2586.887
