Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 53045.027 | Evanescia: 38580.887 | YaoGuang: 8240.704 | ElationMC: 5496.955 | HuoHuo: 0.000
Run    2: Team DPAV: 52457.255 | Evanescia: 37995.537 | YaoGuang: 8199.350 | ElationMC: 5500.615 | HuoHuo: 0.000
Run    3: Team DPAV: 53672.293 | Evanescia: 39156.379 | YaoGuang: 8184.024 | ElationMC: 5570.136 | HuoHuo: 0.000
Run    4: Team DPAV: 51649.659 | Evanescia: 37228.451 | YaoGuang: 8350.339 | ElationMC: 5309.116 | HuoHuo: 0.000
Run    5: Team DPAV: 49822.143 | Evanescia: 36350.253 | YaoGuang: 7524.111 | ElationMC: 5186.026 | HuoHuo: 0.000
Run    6: Team DPAV: 52601.550 | Evanescia: 37894.547 | YaoGuang: 8444.635 | ElationMC: 5500.615 | HuoHuo: 0.000
Run    7: Team DPAV: 53103.458 | Evanescia: 38752.964 | YaoGuang: 8089.231 | ElationMC: 5499.511 | HuoHuo: 0.000
Run    8: Team DPAV: 53517.943 | Evanescia: 38979.779 | YaoGuang: 8281.243 | ElationMC: 5565.713 | HuoHuo: 0.000
Run    9: Team DPAV: 52648.960 | Evanescia: 37855.507 | YaoGuang: 8489.361 | ElationMC: 5577.611 | HuoHuo: 0.000
Run   10: Team DPAV: 53310.965 | Evanescia: 38948.994 | YaoGuang: 8088.896 | ElationMC: 5511.321 | HuoHuo: 0.000
Run   11: Team DPAV: 51438.090 | Evanescia: 36937.203 | YaoGuang: 8378.131 | ElationMC: 5431.548 | HuoHuo: 0.000
Run   12: Team DPAV: 53645.350 | Evanescia: 39486.648 | YaoGuang: 7961.030 | ElationMC: 5506.464 | HuoHuo: 0.000
Run   13: Team DPAV: 52460.655 | Evanescia: 37736.288 | YaoGuang: 8336.078 | ElationMC: 5626.536 | HuoHuo: 0.000
Run   14: Team DPAV: 50485.012 | Evanescia: 36682.194 | YaoGuang: 7869.179 | ElationMC: 5242.431 | HuoHuo: 0.000
Run   15: Team DPAV: 51585.188 | Evanescia: 37369.641 | YaoGuang: 8137.617 | ElationMC: 5386.723 | HuoHuo: 0.000
Run   16: Team DPAV: 51946.730 | Evanescia: 37799.709 | YaoGuang: 7961.982 | ElationMC: 5493.831 | HuoHuo: 0.000
Run   17: Team DPAV: 52931.895 | Evanescia: 38787.777 | YaoGuang: 7953.639 | ElationMC: 5499.271 | HuoHuo: 0.000
Run   18: Team DPAV: 50249.676 | Evanescia: 36352.421 | YaoGuang: 7903.828 | ElationMC: 5231.674 | HuoHuo: 0.000
Run   19: Team DPAV: 51742.464 | Evanescia: 37253.125 | YaoGuang: 8275.787 | ElationMC: 5522.344 | HuoHuo: 0.000
Run   20: Team DPAV: 52089.549 | Evanescia: 37996.176 | YaoGuang: 7910.649 | ElationMC: 5491.515 | HuoHuo: 0.000
Run   21: Team DPAV: 51339.645 | Evanescia: 37844.609 | YaoGuang: 7618.977 | ElationMC: 5184.850 | HuoHuo: 0.000
Run   22: Team DPAV: 52449.807 | Evanescia: 38021.358 | YaoGuang: 8218.953 | ElationMC: 5518.288 | HuoHuo: 0.000
Run   23: Team DPAV: 53661.173 | Evanescia: 38967.566 | YaoGuang: 8385.845 | ElationMC: 5546.010 | HuoHuo: 0.000
Run   24: Team DPAV: 51992.008 | Evanescia: 37809.098 | YaoGuang: 7989.514 | ElationMC: 5502.189 | HuoHuo: 0.000
Run   25: Team DPAV: 50891.102 | Evanescia: 36572.359 | YaoGuang: 8290.731 | ElationMC: 5266.259 | HuoHuo: 0.000
Run   26: Team DPAV: 52442.766 | Evanescia: 38000.363 | YaoGuang: 8180.034 | ElationMC: 5500.615 | HuoHuo: 0.000
Run   27: Team DPAV: 53154.432 | Evanescia: 38798.568 | YaoGuang: 8090.272 | ElationMC: 5503.839 | HuoHuo: 0.000
Run   28: Team DPAV: 50767.735 | Evanescia: 37307.378 | YaoGuang: 7584.988 | ElationMC: 5184.161 | HuoHuo: 0.000
Run   29: Team DPAV: 52999.535 | Evanescia: 38321.722 | YaoGuang: 8344.819 | ElationMC: 5571.241 | HuoHuo: 0.000
Run   30: Team DPAV: 51453.146 | Evanescia: 37108.270 | YaoGuang: 8180.452 | ElationMC: 5473.216 | HuoHuo: 0.000
Run   31: Team DPAV: 51177.887 | Evanescia: 36817.643 | YaoGuang: 8175.422 | ElationMC: 5493.614 | HuoHuo: 0.000
Run   32: Team DPAV: 49736.181 | Evanescia: 36312.471 | YaoGuang: 7566.415 | ElationMC: 5166.086 | HuoHuo: 0.000
Run   33: Team DPAV: 53104.898 | Evanescia: 38655.008 | YaoGuang: 8188.626 | ElationMC: 5499.511 | HuoHuo: 0.000
Run   34: Team DPAV: 50463.031 | Evanescia: 36492.628 | YaoGuang: 7986.991 | ElationMC: 5256.931 | HuoHuo: 0.000
Run   35: Team DPAV: 52165.167 | Evanescia: 37674.846 | YaoGuang: 8285.099 | ElationMC: 5514.014 | HuoHuo: 0.000
Run   36: Team DPAV: 52139.456 | Evanescia: 37597.844 | YaoGuang: 8265.845 | ElationMC: 5514.014 | HuoHuo: 0.000
Run   37: Team DPAV: 53478.093 | Evanescia: 38812.900 | YaoGuang: 8392.703 | ElationMC: 5546.010 | HuoHuo: 0.000
Run   38: Team DPAV: 52996.364 | Evanescia: 38318.551 | YaoGuang: 8344.819 | ElationMC: 5571.241 | HuoHuo: 0.000
Run   39: Team DPAV: 53258.643 | Evanescia: 38927.751 | YaoGuang: 8063.258 | ElationMC: 5505.881 | HuoHuo: 0.000
Run   40: Team DPAV: 52215.573 | Evanescia: 37713.931 | YaoGuang: 8321.923 | ElationMC: 5488.511 | HuoHuo: 0.000
Run   41: Team DPAV: 49993.471 | Evanescia: 36559.628 | YaoGuang: 7571.108 | ElationMC: 5171.527 | HuoHuo: 0.000
Run   42: Team DPAV: 52744.257 | Evanescia: 38263.643 | YaoGuang: 8211.941 | ElationMC: 5577.465 | HuoHuo: 0.000
Run   43: Team DPAV: 50339.818 | Evanescia: 36805.015 | YaoGuang: 7592.384 | ElationMC: 5251.212 | HuoHuo: 0.000
Run   44: Team DPAV: 53493.967 | Evanescia: 39013.352 | YaoGuang: 8211.941 | ElationMC: 5577.465 | HuoHuo: 0.000
Run   45: Team DPAV: 49915.722 | Evanescia: 36462.142 | YaoGuang: 7601.324 | ElationMC: 5161.049 | HuoHuo: 0.000
