Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 49605.634 | Evanescia: 35114.953 | YaoGuang: 10201.597 | MortenaxBlade: 3094.296 | HuoHuo: 0.000
Run    2: Team DPAV: 50656.831 | Evanescia: 35895.690 | YaoGuang: 10253.026 | MortenaxBlade: 3375.349 | HuoHuo: 0.000
Run    3: Team DPAV: 49158.496 | Evanescia: 34015.329 | YaoGuang: 10026.644 | MortenaxBlade: 3856.704 | HuoHuo: 0.000
Run    4: Team DPAV: 48672.704 | Evanescia: 33665.057 | YaoGuang: 9954.954 | MortenaxBlade: 3807.914 | HuoHuo: 0.000
Run    5: Team DPAV: 50942.966 | Evanescia: 35868.985 | YaoGuang: 10129.373 | MortenaxBlade: 3693.812 | HuoHuo: 0.000
Run    6: Team DPAV: 49427.381 | Evanescia: 34607.968 | YaoGuang: 9813.575 | MortenaxBlade: 3746.019 | HuoHuo: 0.000
Run    7: Team DPAV: 51087.603 | Evanescia: 35736.354 | YaoGuang: 10290.337 | MortenaxBlade: 3810.118 | HuoHuo: 0.000
Run    8: Team DPAV: 47435.261 | Evanescia: 32832.219 | YaoGuang: 9677.933 | MortenaxBlade: 3703.370 | HuoHuo: 0.000
Run    9: Team DPAV: 48578.352 | Evanescia: 33877.959 | YaoGuang: 9897.899 | MortenaxBlade: 3609.810 | HuoHuo: 0.000
Run   10: Team DPAV: 50301.493 | Evanescia: 35067.504 | YaoGuang: 10324.615 | MortenaxBlade: 3649.555 | HuoHuo: 0.000
Run   11: Team DPAV: 49396.239 | Evanescia: 34463.149 | YaoGuang: 9929.623 | MortenaxBlade: 3749.664 | HuoHuo: 0.000
Run   12: Team DPAV: 49944.602 | Evanescia: 35155.106 | YaoGuang: 9851.105 | MortenaxBlade: 3752.627 | HuoHuo: 0.000
Run   13: Team DPAV: 49527.740 | Evanescia: 34654.161 | YaoGuang: 10143.776 | MortenaxBlade: 3469.984 | HuoHuo: 0.000
Run   14: Team DPAV: 51229.507 | Evanescia: 35985.283 | YaoGuang: 10299.888 | MortenaxBlade: 3743.532 | HuoHuo: 0.000
Run   15: Team DPAV: 51062.408 | Evanescia: 35783.131 | YaoGuang: 10322.002 | MortenaxBlade: 3697.456 | HuoHuo: 0.000
Run   16: Team DPAV: 50705.625 | Evanescia: 35671.974 | YaoGuang: 10118.423 | MortenaxBlade: 3664.432 | HuoHuo: 0.000
Run   17: Team DPAV: 48523.122 | Evanescia: 33856.969 | YaoGuang: 9697.531 | MortenaxBlade: 3729.859 | HuoHuo: 0.000
Run   18: Team DPAV: 52102.924 | Evanescia: 37107.312 | YaoGuang: 10072.212 | MortenaxBlade: 3663.580 | HuoHuo: 0.000
Run   19: Team DPAV: 49359.200 | Evanescia: 34486.190 | YaoGuang: 9875.604 | MortenaxBlade: 3752.627 | HuoHuo: 0.000
Run   20: Team DPAV: 49920.285 | Evanescia: 35052.870 | YaoGuang: 9971.535 | MortenaxBlade: 3636.061 | HuoHuo: 0.000
Run   21: Team DPAV: 50297.636 | Evanescia: 35296.014 | YaoGuang: 10091.271 | MortenaxBlade: 3659.556 | HuoHuo: 0.000
Run   22: Team DPAV: 49472.462 | Evanescia: 34428.362 | YaoGuang: 10056.265 | MortenaxBlade: 3743.056 | HuoHuo: 0.000
Run   23: Team DPAV: 49446.453 | Evanescia: 34699.009 | YaoGuang: 9772.962 | MortenaxBlade: 3729.703 | HuoHuo: 0.000
Run   24: Team DPAV: 48444.433 | Evanescia: 33732.394 | YaoGuang: 9750.194 | MortenaxBlade: 3776.080 | HuoHuo: 0.000
Run   25: Team DPAV: 49368.847 | Evanescia: 34367.789 | YaoGuang: 10088.375 | MortenaxBlade: 3667.618 | HuoHuo: 0.000
Run   26: Team DPAV: 49455.081 | Evanescia: 34455.749 | YaoGuang: 9687.324 | MortenaxBlade: 4061.213 | HuoHuo: 0.000
Run   27: Team DPAV: 50641.782 | Evanescia: 35164.689 | YaoGuang: 10197.604 | MortenaxBlade: 4019.671 | HuoHuo: 0.000
Run   28: Team DPAV: 49315.777 | Evanescia: 34621.100 | YaoGuang: 10064.268 | MortenaxBlade: 3503.659 | HuoHuo: 0.000
Run   29: Team DPAV: 50943.290 | Evanescia: 35854.715 | YaoGuang: 10235.214 | MortenaxBlade: 3661.581 | HuoHuo: 0.000
Run   30: Team DPAV: 50450.427 | Evanescia: 34967.066 | YaoGuang: 10232.572 | MortenaxBlade: 4059.009 | HuoHuo: 0.000
Run   31: Team DPAV: 52160.690 | Evanescia: 36034.318 | YaoGuang: 10319.558 | MortenaxBlade: 4606.010 | HuoHuo: 0.000
Run   32: Team DPAV: 50361.619 | Evanescia: 35245.669 | YaoGuang: 9791.460 | MortenaxBlade: 4073.695 | HuoHuo: 0.000
Run   33: Team DPAV: 52345.729 | Evanescia: 35980.310 | YaoGuang: 10406.008 | MortenaxBlade: 4699.593 | HuoHuo: 0.000
Run   34: Team DPAV: 51132.973 | Evanescia: 36119.342 | YaoGuang: 10079.278 | MortenaxBlade: 3674.534 | HuoHuo: 0.000
Run   35: Team DPAV: 49659.889 | Evanescia: 34794.386 | YaoGuang: 9901.182 | MortenaxBlade: 3775.549 | HuoHuo: 0.000
Run   36: Team DPAV: 51601.721 | Evanescia: 36214.101 | YaoGuang: 10260.708 | MortenaxBlade: 3867.093 | HuoHuo: 0.000
Run   37: Team DPAV: 51049.312 | Evanescia: 36218.728 | YaoGuang: 9890.762 | MortenaxBlade: 3689.027 | HuoHuo: 0.000
Run   38: Team DPAV: 48754.083 | Evanescia: 34146.871 | YaoGuang: 9799.292 | MortenaxBlade: 3557.125 | HuoHuo: 0.000
Run   39: Team DPAV: 49226.840 | Evanescia: 34330.148 | YaoGuang: 9991.490 | MortenaxBlade: 3772.436 | HuoHuo: 0.000
Run   40: Team DPAV: 50061.371 | Evanescia: 35194.728 | YaoGuang: 9986.394 | MortenaxBlade: 3629.454 | HuoHuo: 0.000
Run   41: Team DPAV: 49730.938 | Evanescia: 34576.943 | YaoGuang: 10145.744 | MortenaxBlade: 3754.449 | HuoHuo: 0.000
Run   42: Team DPAV: 50122.988 | Evanescia: 34979.043 | YaoGuang: 10185.059 | MortenaxBlade: 3708.090 | HuoHuo: 0.000
Run   43: Team DPAV: 49292.147 | Evanescia: 34273.379 | YaoGuang: 10009.814 | MortenaxBlade: 3823.190 | HuoHuo: 0.000
Run   44: Team DPAV: 51542.483 | Evanescia: 36188.109 | YaoGuang: 10358.163 | MortenaxBlade: 3736.393 | HuoHuo: 0.000
Run   45: Team DPAV: 50491.758 | Evanescia: 35517.837 | YaoGuang: 10085.839 | MortenaxBlade: 3746.293 | HuoHuo: 0.000
Run   46: Team DPAV: 49584.299 | Evanescia: 34743.293 | YaoGuang: 9832.968 | MortenaxBlade: 3763.259 | HuoHuo: 0.000
Run   47: Team DPAV: 51138.583 | Evanescia: 34950.963 | YaoGuang: 10517.966 | MortenaxBlade: 4409.836 | HuoHuo: 0.000
Run   48: Team DPAV: 51898.228 | Evanescia: 36721.360 | YaoGuang: 10275.491 | MortenaxBlade: 3641.558 | HuoHuo: 0.000
Run   49: Team DPAV: 49309.673 | Evanescia: 34163.433 | YaoGuang: 10185.162 | MortenaxBlade: 3701.259 | HuoHuo: 0.000
Run   50: Team DPAV: 51726.208 | Evanescia: 36646.444 | YaoGuang: 10217.794 | MortenaxBlade: 3670.190 | HuoHuo: 0.000
