Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 50669.382 | Evanescia: 28086.561 | YaoGuang: 8528.174 | Sparxie: 13363.388 | HuoHuo: 8.062
Run    2: Team DPAV: 50426.164 | Evanescia: 28202.511 | YaoGuang: 8601.977 | Sparxie: 12930.192 | HuoHuo: 8.288
Run    3: Team DPAV: 51111.886 | Evanescia: 28190.988 | YaoGuang: 8592.081 | Sparxie: 13670.526 | HuoHuo: 8.062
Run    4: Team DPAV: 50419.231 | Evanescia: 28012.682 | YaoGuang: 8505.269 | Sparxie: 13210.021 | HuoHuo: 8.062
Run    5: Team DPAV: 50373.703 | Evanescia: 27779.465 | YaoGuang: 8575.330 | Sparxie: 13360.616 | HuoHuo: 8.062
Run    6: Team DPAV: 51080.035 | Evanescia: 28904.520 | YaoGuang: 8520.646 | Sparxie: 12996.577 | HuoHuo: 8.062
Run    7: Team DPAV: 50660.599 | Evanescia: 28111.603 | YaoGuang: 8623.080 | Sparxie: 13201.690 | HuoHuo: 8.062
Run    8: Team DPAV: 50328.985 | Evanescia: 27678.827 | YaoGuang: 8540.088 | Sparxie: 13418.811 | HuoHuo: 8.062
Run    9: Team DPAV: 51851.986 | Evanescia: 28669.771 | YaoGuang: 8864.677 | Sparxie: 13593.087 | HuoHuo: 8.288
Run   10: Team DPAV: 53117.969 | Evanescia: 29318.984 | YaoGuang: 8834.946 | Sparxie: 14305.748 | HuoHuo: 8.062
Run   11: Team DPAV: 52697.532 | Evanescia: 29652.851 | YaoGuang: 8550.469 | Sparxie: 13802.954 | HuoHuo: 8.062
Run   12: Team DPAV: 50245.063 | Evanescia: 27774.753 | YaoGuang: 8513.820 | Sparxie: 13265.232 | HuoHuo: 8.062
Run   13: Team DPAV: 50710.432 | Evanescia: 28092.151 | YaoGuang: 8607.765 | Sparxie: 13319.257 | HuoHuo: 8.062
Run   14: Team DPAV: 51018.482 | Evanescia: 28525.933 | YaoGuang: 8516.715 | Sparxie: 13284.575 | HuoHuo: 8.062
Run   15: Team DPAV: 48967.546 | Evanescia: 26636.589 | YaoGuang: 8484.377 | Sparxie: 13188.063 | HuoHuo: 8.288
Run   16: Team DPAV: 50576.449 | Evanescia: 27836.856 | YaoGuang: 8848.466 | Sparxie: 13199.868 | HuoHuo: 8.062
Run   17: Team DPAV: 50681.472 | Evanescia: 28171.987 | YaoGuang: 8506.719 | Sparxie: 13311.507 | HuoHuo: 8.062
Run   18: Team DPAV: 51379.991 | Evanescia: 28731.981 | YaoGuang: 8685.640 | Sparxie: 13238.144 | HuoHuo: 8.062
Run   19: Team DPAV: 50839.290 | Evanescia: 27955.090 | YaoGuang: 8572.428 | Sparxie: 13620.514 | HuoHuo: 8.062
Run   20: Team DPAV: 50208.009 | Evanescia: 28117.259 | YaoGuang: 8496.552 | Sparxie: 12935.907 | HuoHuo: 8.062
Run   21: Team DPAV: 49015.410 | Evanescia: 26921.767 | YaoGuang: 8316.851 | Sparxie: 13118.501 | HuoHuo: 8.062
Run   22: Team DPAV: 50168.143 | Evanescia: 27692.260 | YaoGuang: 8489.210 | Sparxie: 13295.413 | HuoHuo: 8.062
Run   23: Team DPAV: 51257.311 | Evanescia: 28640.941 | YaoGuang: 8575.452 | Sparxie: 13382.626 | HuoHuo: 8.062
Run   24: Team DPAV: 50618.077 | Evanescia: 27974.901 | YaoGuang: 8538.531 | Sparxie: 13413.386 | HuoHuo: 8.062
