Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 44222.709 | Evanescia: 36954.727 | YaoGuang: 6579.740 | Sunday: 0.000 | HuoHuo: 7.869
Run    2: Team DPAV: 43166.011 | Evanescia: 35847.972 | YaoGuang: 6629.798 | Sunday: 0.000 | HuoHuo: 7.869
Run    3: Team DPAV: 42926.073 | Evanescia: 35579.620 | YaoGuang: 6691.180 | Sunday: 0.000 | HuoHuo: 7.869
Run    4: Team DPAV: 43648.493 | Evanescia: 36306.001 | YaoGuang: 6621.283 | Sunday: 0.000 | HuoHuo: 7.869
Run    5: Team DPAV: 43503.158 | Evanescia: 36228.118 | YaoGuang: 6586.799 | Sunday: 0.000 | HuoHuo: 7.869
Run    6: Team DPAV: 42462.556 | Evanescia: 35174.825 | YaoGuang: 6566.522 | Sunday: 0.000 | HuoHuo: 7.869
Run    7: Team DPAV: 43425.412 | Evanescia: 36179.659 | YaoGuang: 6557.512 | Sunday: 0.000 | HuoHuo: 7.869
Run    8: Team DPAV: 42791.344 | Evanescia: 35545.838 | YaoGuang: 6557.265 | Sunday: 0.000 | HuoHuo: 7.869
Run    9: Team DPAV: 43295.373 | Evanescia: 36075.924 | YaoGuang: 6531.208 | Sunday: 0.000 | HuoHuo: 7.869
Run   10: Team DPAV: 42882.548 | Evanescia: 35862.416 | YaoGuang: 6364.858 | Sunday: 0.000 | HuoHuo: 7.869
Run   11: Team DPAV: 42762.621 | Evanescia: 35383.486 | YaoGuang: 6723.862 | Sunday: 0.000 | HuoHuo: 7.869
Run   12: Team DPAV: 43260.204 | Evanescia: 36081.117 | YaoGuang: 6523.813 | Sunday: 0.000 | HuoHuo: 7.869
Run   13: Team DPAV: 42686.383 | Evanescia: 35383.486 | YaoGuang: 6647.623 | Sunday: 0.000 | HuoHuo: 7.869
Run   14: Team DPAV: 42434.622 | Evanescia: 35162.384 | YaoGuang: 6583.997 | Sunday: 0.000 | HuoHuo: 7.869
Run   15: Team DPAV: 43818.133 | Evanescia: 36371.026 | YaoGuang: 6758.866 | Sunday: 0.000 | HuoHuo: 7.869
Run   16: Team DPAV: 43371.281 | Evanescia: 36079.281 | YaoGuang: 6603.759 | Sunday: 0.000 | HuoHuo: 7.869
Run   17: Team DPAV: 42797.767 | Evanescia: 35430.515 | YaoGuang: 6679.011 | Sunday: 0.000 | HuoHuo: 7.869
Run   18: Team DPAV: 43576.654 | Evanescia: 36265.647 | YaoGuang: 6622.765 | Sunday: 0.000 | HuoHuo: 7.869
