Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 21275.044 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7738.431 | HuoHuo: 55.121
Run    2: Team DPAV: 21074.869 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7538.255 | HuoHuo: 55.121
Run    3: Team DPAV: 20751.568 | Feixiao: 8717.722 | MortenaxBlade: 4333.471 | Ashveil: 7518.815 | HuoHuo: 55.121
Run    4: Team DPAV: 20838.310 | Feixiao: 8852.914 | MortenaxBlade: 4517.223 | Ashveil: 7286.763 | HuoHuo: 54.971
Run    5: Team DPAV: 21141.199 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7604.586 | HuoHuo: 55.121
Run    6: Team DPAV: 21074.869 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7538.255 | HuoHuo: 55.121
Run    7: Team DPAV: 21074.869 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7538.255 | HuoHuo: 55.121
Run    8: Team DPAV: 21333.056 | Feixiao: 8852.914 | MortenaxBlade: 4532.030 | Ashveil: 7766.702 | HuoHuo: 54.971
Run    9: Team DPAV: 21275.044 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7738.431 | HuoHuo: 55.121
Run   10: Team DPAV: 20149.523 | Feixiao: 8717.722 | MortenaxBlade: 4090.852 | Ashveil: 7159.389 | HuoHuo: 55.121
Run   11: Team DPAV: 21074.869 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7538.255 | HuoHuo: 55.121
Run   12: Team DPAV: 21335.771 | Feixiao: 8873.358 | MortenaxBlade: 4383.297 | Ashveil: 7897.706 | HuoHuo: 54.971
Run   13: Team DPAV: 21074.869 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7538.255 | HuoHuo: 55.121
Run   14: Team DPAV: 20388.335 | Feixiao: 8717.722 | MortenaxBlade: 4333.471 | Ashveil: 7155.582 | HuoHuo: 55.121
Run   15: Team DPAV: 21074.869 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7538.255 | HuoHuo: 55.121
Run   16: Team DPAV: 21074.869 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7538.255 | HuoHuo: 55.121
Run   17: Team DPAV: 21056.123 | Feixiao: 8717.722 | MortenaxBlade: 4517.223 | Ashveil: 7639.618 | HuoHuo: 55.121
Run   18: Team DPAV: 21074.869 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7538.255 | HuoHuo: 55.121
Run   19: Team DPAV: 17971.841 | Feixiao: 7798.939 | MortenaxBlade: 3434.461 | Ashveil: 6557.031 | HuoHuo: 54.971
Run   20: Team DPAV: 21074.869 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7538.255 | HuoHuo: 55.121
Run   21: Team DPAV: 21074.869 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7538.255 | HuoHuo: 55.121
Run   22: Team DPAV: 21074.869 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7538.255 | HuoHuo: 55.121
Run   23: Team DPAV: 21275.044 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7738.431 | HuoHuo: 55.121
Run   24: Team DPAV: 20276.404 | Feixiao: 8717.722 | MortenaxBlade: 4090.852 | Ashveil: 7286.270 | HuoHuo: 55.121
Run   25: Team DPAV: 21033.197 | Feixiao: 8855.658 | MortenaxBlade: 4517.223 | Ashveil: 7478.756 | HuoHuo: 55.121
Run   26: Team DPAV: 20983.631 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7447.018 | HuoHuo: 55.121
Run   27: Team DPAV: 21074.869 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7538.255 | HuoHuo: 55.121
Run   28: Team DPAV: 21033.197 | Feixiao: 8855.658 | MortenaxBlade: 4517.223 | Ashveil: 7478.756 | HuoHuo: 55.121
Run   29: Team DPAV: 21275.044 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7738.431 | HuoHuo: 55.121
Run   30: Team DPAV: 20870.610 | Feixiao: 8717.722 | MortenaxBlade: 4517.223 | Ashveil: 7454.105 | HuoHuo: 55.121
Run   31: Team DPAV: 21056.123 | Feixiao: 8717.722 | MortenaxBlade: 4517.223 | Ashveil: 7639.618 | HuoHuo: 55.121
Run   32: Team DPAV: 21326.370 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7789.757 | HuoHuo: 55.121
Run   33: Team DPAV: 21074.869 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7538.255 | HuoHuo: 55.121
Run   34: Team DPAV: 20707.394 | Feixiao: 8852.914 | MortenaxBlade: 4517.223 | Ashveil: 7155.847 | HuoHuo: 54.971
Run   35: Team DPAV: 21355.075 | Feixiao: 8873.358 | MortenaxBlade: 4402.601 | Ashveil: 7897.706 | HuoHuo: 54.971
Run   36: Team DPAV: 21326.370 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7789.757 | HuoHuo: 55.121
Run   37: Team DPAV: 21141.199 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7604.586 | HuoHuo: 55.121
Run   38: Team DPAV: 21033.197 | Feixiao: 8855.658 | MortenaxBlade: 4517.223 | Ashveil: 7478.756 | HuoHuo: 55.121
Run   39: Team DPAV: 21074.869 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7538.255 | HuoHuo: 55.121
Run   40: Team DPAV: 20870.610 | Feixiao: 8717.722 | MortenaxBlade: 4517.223 | Ashveil: 7454.105 | HuoHuo: 55.121
Run   41: Team DPAV: 21074.869 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7538.255 | HuoHuo: 55.121
Run   42: Team DPAV: 21074.869 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7538.255 | HuoHuo: 55.121
Run   43: Team DPAV: 20870.610 | Feixiao: 8717.722 | MortenaxBlade: 4517.223 | Ashveil: 7454.105 | HuoHuo: 55.121
Run   44: Team DPAV: 21033.197 | Feixiao: 8855.658 | MortenaxBlade: 4517.223 | Ashveil: 7478.756 | HuoHuo: 55.121
Run   45: Team DPAV: 21074.869 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7538.255 | HuoHuo: 55.121
Run   46: Team DPAV: 20870.610 | Feixiao: 8717.722 | MortenaxBlade: 4517.223 | Ashveil: 7454.105 | HuoHuo: 55.121
Run   47: Team DPAV: 21033.197 | Feixiao: 8855.658 | MortenaxBlade: 4517.223 | Ashveil: 7478.756 | HuoHuo: 55.121
Run   48: Team DPAV: 20870.610 | Feixiao: 8717.722 | MortenaxBlade: 4517.223 | Ashveil: 7454.105 | HuoHuo: 55.121
Run   49: Team DPAV: 21275.044 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7738.431 | HuoHuo: 55.121
Run   50: Team DPAV: 21074.869 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7538.255 | HuoHuo: 55.121
