Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 27339.581 | Feixiao: 10437.481 | MortenaxBlade: 7745.686 | Ashveil: 8608.923 | Lingsha: 387.294
Run    2: Team DPAV: 29214.003 | Feixiao: 11523.003 | MortenaxBlade: 8370.683 | Ashveil: 8748.869 | Lingsha: 383.468
Run    3: Team DPAV: 29767.190 | Feixiao: 11662.837 | MortenaxBlade: 8636.093 | Ashveil: 8896.811 | Lingsha: 383.468
Run    4: Team DPAV: 30227.369 | Feixiao: 11444.680 | MortenaxBlade: 9016.980 | Ashveil: 9217.537 | Lingsha: 387.975
Run    5: Team DPAV: 30168.333 | Feixiao: 11297.588 | MortenaxBlade: 9005.553 | Ashveil: 9317.020 | Lingsha: 387.975
Run    6: Team DPAV: 30108.983 | Feixiao: 11338.716 | MortenaxBlade: 9004.559 | Ashveil: 9217.537 | Lingsha: 387.975
Run    7: Team DPAV: 27417.883 | Feixiao: 10412.601 | MortenaxBlade: 7723.005 | Ashveil: 8733.777 | Lingsha: 388.303
Run    8: Team DPAV: 28314.822 | Feixiao: 11288.179 | MortenaxBlade: 7678.241 | Ashveil: 8799.992 | Lingsha: 388.213
Run    9: Team DPAV: 30086.302 | Feixiao: 11338.716 | MortenaxBlade: 8981.878 | Ashveil: 9217.537 | Lingsha: 387.975
Run   10: Team DPAV: 30125.125 | Feixiao: 11338.716 | MortenaxBlade: 9014.119 | Ashveil: 9224.119 | Lingsha: 387.975
Run   11: Team DPAV: 29204.353 | Feixiao: 11523.003 | MortenaxBlade: 8370.683 | Ashveil: 8739.218 | Lingsha: 383.468
Run   12: Team DPAV: 29630.651 | Feixiao: 11262.915 | MortenaxBlade: 8725.371 | Ashveil: 9094.215 | Lingsha: 387.953
Run   13: Team DPAV: 30118.543 | Feixiao: 11338.716 | MortenaxBlade: 9014.119 | Ashveil: 9217.537 | Lingsha: 387.975
Run   14: Team DPAV: 30740.360 | Feixiao: 11498.510 | MortenaxBlade: 9229.632 | Ashveil: 9444.512 | Lingsha: 407.509
Run   15: Team DPAV: 30891.398 | Feixiao: 11520.318 | MortenaxBlade: 9229.632 | Ashveil: 9573.743 | Lingsha: 407.509
Run   16: Team DPAV: 30924.487 | Feixiao: 11465.308 | MortenaxBlade: 9354.514 | Ashveil: 9536.221 | Lingsha: 408.248
Run   17: Team DPAV: 30924.487 | Feixiao: 11465.308 | MortenaxBlade: 9354.514 | Ashveil: 9536.221 | Lingsha: 408.248
Run   18: Team DPAV: 29204.353 | Feixiao: 11523.003 | MortenaxBlade: 8370.683 | Ashveil: 8739.218 | Lingsha: 383.468
Run   19: Team DPAV: 29626.771 | Feixiao: 11262.915 | MortenaxBlade: 8725.371 | Ashveil: 9090.336 | Lingsha: 387.953
Run   20: Team DPAV: 30540.951 | Feixiao: 11498.510 | MortenaxBlade: 9229.632 | Ashveil: 9245.103 | Lingsha: 407.509
Run   21: Team DPAV: 29648.740 | Feixiao: 11582.421 | MortenaxBlade: 8603.304 | Ashveil: 8891.566 | Lingsha: 383.468
Run   22: Team DPAV: 29214.003 | Feixiao: 11523.003 | MortenaxBlade: 8370.683 | Ashveil: 8748.869 | Lingsha: 383.468
Run   23: Team DPAV: 29626.771 | Feixiao: 11262.915 | MortenaxBlade: 8725.371 | Ashveil: 9090.336 | Lingsha: 387.953
Run   24: Team DPAV: 30118.543 | Feixiao: 11338.716 | MortenaxBlade: 9014.119 | Ashveil: 9217.537 | Lingsha: 387.975
Run   25: Team DPAV: 29729.156 | Feixiao: 11662.837 | MortenaxBlade: 8603.304 | Ashveil: 8891.566 | Lingsha: 383.468
Run   26: Team DPAV: 29085.903 | Feixiao: 11442.587 | MortenaxBlade: 8337.894 | Ashveil: 8733.973 | Lingsha: 383.468
Run   27: Team DPAV: 29630.651 | Feixiao: 11262.915 | MortenaxBlade: 8725.371 | Ashveil: 9094.215 | Lingsha: 387.953
Run   28: Team DPAV: 30537.072 | Feixiao: 11498.510 | MortenaxBlade: 9229.632 | Ashveil: 9241.224 | Lingsha: 407.509
Run   29: Team DPAV: 30168.333 | Feixiao: 11297.588 | MortenaxBlade: 9005.553 | Ashveil: 9317.020 | Lingsha: 387.975
Run   30: Team DPAV: 28753.937 | Feixiao: 11266.372 | MortenaxBlade: 7701.678 | Ashveil: 9237.388 | Lingsha: 388.303
Run   31: Team DPAV: 29095.553 | Feixiao: 11442.587 | MortenaxBlade: 8337.894 | Ashveil: 8743.623 | Lingsha: 383.468
Run   32: Team DPAV: 29204.353 | Feixiao: 11523.003 | MortenaxBlade: 8370.683 | Ashveil: 8739.218 | Lingsha: 383.468
