Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 15055.957 | Feixiao: 6979.097 | MortenaxBlade: 4746.274 | Cipher: 3150.583 | HuoHuo: 53.174
Run    2: Team DPAV: 15798.330 | Feixiao: 7634.474 | MortenaxBlade: 4692.897 | Cipher: 3290.031 | HuoHuo: 54.100
Run    3: Team DPAV: 15603.126 | Feixiao: 7743.087 | MortenaxBlade: 4569.627 | Cipher: 3113.582 | HuoHuo: 50.001
Run    4: Team DPAV: 15798.330 | Feixiao: 7634.474 | MortenaxBlade: 4692.897 | Cipher: 3290.031 | HuoHuo: 54.100
Run    5: Team DPAV: 15553.535 | Feixiao: 7488.741 | MortenaxBlade: 4742.812 | Cipher: 3142.235 | HuoHuo: 52.919
Run    6: Team DPAV: 15610.082 | Feixiao: 7488.741 | MortenaxBlade: 4722.168 | Cipher: 3219.426 | HuoHuo: 52.919
Run    7: Team DPAV: 15087.653 | Feixiao: 6979.097 | MortenaxBlade: 4772.984 | Cipher: 3155.569 | HuoHuo: 53.174
Run    8: Team DPAV: 15117.685 | Feixiao: 7661.192 | MortenaxBlade: 4135.699 | Cipher: 3139.963 | HuoHuo: 54.002
Run    9: Team DPAV: 15836.969 | Feixiao: 7625.979 | MortenaxBlade: 4759.437 | Cipher: 3295.776 | HuoHuo: 53.157
Run   10: Team DPAV: 15135.838 | Feixiao: 7167.106 | MortenaxBlade: 4797.494 | Cipher: 2991.234 | HuoHuo: 53.174
Run   11: Team DPAV: 15553.535 | Feixiao: 7488.741 | MortenaxBlade: 4742.812 | Cipher: 3142.235 | HuoHuo: 52.919
Run   12: Team DPAV: 15080.384 | Feixiao: 7634.474 | MortenaxBlade: 4088.069 | Cipher: 3176.914 | HuoHuo: 54.100
Run   13: Team DPAV: 15836.969 | Feixiao: 7625.979 | MortenaxBlade: 4759.437 | Cipher: 3295.776 | HuoHuo: 53.157
Run   14: Team DPAV: 15460.683 | Feixiao: 7491.962 | MortenaxBlade: 4763.071 | Cipher: 3025.647 | HuoHuo: 53.174
Run   15: Team DPAV: 15798.330 | Feixiao: 7634.474 | MortenaxBlade: 4692.897 | Cipher: 3290.031 | HuoHuo: 54.100
Run   16: Team DPAV: 15836.969 | Feixiao: 7625.979 | MortenaxBlade: 4759.437 | Cipher: 3295.776 | HuoHuo: 53.157
Run   17: Team DPAV: 15135.838 | Feixiao: 7167.106 | MortenaxBlade: 4797.494 | Cipher: 2991.234 | HuoHuo: 53.174
Run   18: Team DPAV: 15135.838 | Feixiao: 7167.106 | MortenaxBlade: 4797.494 | Cipher: 2991.234 | HuoHuo: 53.174
Run   19: Team DPAV: 15109.136 | Feixiao: 7167.106 | MortenaxBlade: 4774.993 | Cipher: 2987.034 | HuoHuo: 53.174
Run   20: Team DPAV: 15610.082 | Feixiao: 7488.741 | MortenaxBlade: 4722.168 | Cipher: 3219.426 | HuoHuo: 52.919
