Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 13604.668 | Feixiao: 6514.596 | MortenaxBlade: 6219.351 | RuanMei: 693.638 | HuoHuo: 80.959
Run    2: Team DPAV: 13990.061 | Feixiao: 6392.014 | MortenaxBlade: 6745.943 | RuanMei: 675.020 | HuoHuo: 80.959
Run    3: Team DPAV: 13545.690 | Feixiao: 6463.006 | MortenaxBlade: 6230.580 | RuanMei: 675.020 | HuoHuo: 80.959
Run    4: Team DPAV: 14199.282 | Feixiao: 6510.525 | MortenaxBlade: 6818.036 | RuanMei: 693.638 | HuoHuo: 80.959
Run    5: Team DPAV: 13310.125 | Feixiao: 6560.278 | MortenaxBlade: 5875.761 | RuanMei: 694.443 | HuoHuo: 78.460
Run    6: Team DPAV: 13310.125 | Feixiao: 6560.278 | MortenaxBlade: 5875.761 | RuanMei: 694.443 | HuoHuo: 78.460
Run    7: Team DPAV: 12777.703 | Feixiao: 6331.040 | MortenaxBlade: 5596.254 | RuanMei: 675.825 | HuoHuo: 78.460
Run    8: Team DPAV: 13774.158 | Feixiao: 6514.596 | MortenaxBlade: 6388.841 | RuanMei: 693.638 | HuoHuo: 80.959
Run    9: Team DPAV: 14099.907 | Feixiao: 6443.604 | MortenaxBlade: 6782.922 | RuanMei: 693.638 | HuoHuo: 83.619
Run   10: Team DPAV: 12777.703 | Feixiao: 6331.040 | MortenaxBlade: 5596.254 | RuanMei: 675.825 | HuoHuo: 78.460
Run   11: Team DPAV: 13254.703 | Feixiao: 6560.278 | MortenaxBlade: 5825.398 | RuanMei: 694.443 | HuoHuo: 78.460
Run   12: Team DPAV: 13457.715 | Feixiao: 6495.521 | MortenaxBlade: 6091.472 | RuanMei: 693.638 | HuoHuo: 80.959
Run   13: Team DPAV: 13774.158 | Feixiao: 6514.596 | MortenaxBlade: 6388.841 | RuanMei: 693.638 | HuoHuo: 80.959
Run   14: Team DPAV: 13310.125 | Feixiao: 6560.278 | MortenaxBlade: 5875.761 | RuanMei: 694.443 | HuoHuo: 78.460
Run   15: Team DPAV: 13310.125 | Feixiao: 6560.278 | MortenaxBlade: 5875.761 | RuanMei: 694.443 | HuoHuo: 78.460
Run   16: Team DPAV: 13808.615 | Feixiao: 6443.931 | MortenaxBlade: 6496.292 | RuanMei: 671.071 | HuoHuo: 80.959
Run   17: Team DPAV: 12507.488 | Feixiao: 6331.040 | MortenaxBlade: 5326.039 | RuanMei: 675.825 | HuoHuo: 78.460
Run   18: Team DPAV: 13310.125 | Feixiao: 6560.278 | MortenaxBlade: 5875.761 | RuanMei: 694.443 | HuoHuo: 78.460
Run   19: Team DPAV: 13254.703 | Feixiao: 6560.278 | MortenaxBlade: 5825.398 | RuanMei: 694.443 | HuoHuo: 78.460
Run   20: Team DPAV: 13310.125 | Feixiao: 6560.278 | MortenaxBlade: 5875.761 | RuanMei: 694.443 | HuoHuo: 78.460
Run   21: Team DPAV: 13922.609 | Feixiao: 6654.445 | MortenaxBlade: 6392.384 | RuanMei: 693.638 | HuoHuo: 80.959
Run   22: Team DPAV: 12777.703 | Feixiao: 6331.040 | MortenaxBlade: 5596.254 | RuanMei: 675.825 | HuoHuo: 78.460
Run   23: Team DPAV: 13753.119 | Feixiao: 6654.445 | MortenaxBlade: 6222.894 | RuanMei: 693.638 | HuoHuo: 80.959
Run   24: Team DPAV: 13753.119 | Feixiao: 6654.445 | MortenaxBlade: 6222.894 | RuanMei: 693.638 | HuoHuo: 80.959
Run   25: Team DPAV: 13310.125 | Feixiao: 6560.278 | MortenaxBlade: 5875.761 | RuanMei: 694.443 | HuoHuo: 78.460
Run   26: Team DPAV: 13922.609 | Feixiao: 6654.445 | MortenaxBlade: 6392.384 | RuanMei: 693.638 | HuoHuo: 80.959
Run   27: Team DPAV: 13790.098 | Feixiao: 6654.445 | MortenaxBlade: 6259.872 | RuanMei: 693.638 | HuoHuo: 80.959
