Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run    2: Team DPAV: 8150.205 | Feixiao: 4799.477 | MortenaxBlade: 2490.985 | Topaz: 829.783 | HuoHuo: 29.960
Run    3: Team DPAV: 8000.323 | Feixiao: 4790.508 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run    4: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run    5: Team DPAV: 7060.786 | Feixiao: 4138.132 | MortenaxBlade: 2112.952 | Topaz: 779.741 | HuoHuo: 29.960
Run    6: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run    7: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run    8: Team DPAV: 8000.323 | Feixiao: 4790.508 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run    9: Team DPAV: 8000.323 | Feixiao: 4790.508 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   10: Team DPAV: 8000.323 | Feixiao: 4790.508 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   11: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   12: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   13: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   14: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   15: Team DPAV: 8000.323 | Feixiao: 4790.508 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   16: Team DPAV: 7959.630 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 826.060 | HuoHuo: 29.960
Run   17: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   18: Team DPAV: 8102.634 | Feixiao: 4799.477 | MortenaxBlade: 2490.985 | Topaz: 782.212 | HuoHuo: 29.960
Run   19: Team DPAV: 7060.786 | Feixiao: 4138.132 | MortenaxBlade: 2112.952 | Topaz: 779.741 | HuoHuo: 29.960
Run   20: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   21: Team DPAV: 7060.786 | Feixiao: 4138.132 | MortenaxBlade: 2112.952 | Topaz: 779.741 | HuoHuo: 29.960
Run   22: Team DPAV: 8000.323 | Feixiao: 4790.508 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   23: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   24: Team DPAV: 8000.323 | Feixiao: 4790.508 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   25: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   26: Team DPAV: 8100.163 | Feixiao: 4799.477 | MortenaxBlade: 2490.985 | Topaz: 779.741 | HuoHuo: 29.960
Run   27: Team DPAV: 7959.630 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 826.060 | HuoHuo: 29.960
Run   28: Team DPAV: 7907.118 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 773.547 | HuoHuo: 29.960
Run   29: Team DPAV: 8100.163 | Feixiao: 4799.477 | MortenaxBlade: 2490.985 | Topaz: 779.741 | HuoHuo: 29.960
Run   30: Team DPAV: 8000.323 | Feixiao: 4790.508 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   31: Team DPAV: 7483.667 | Feixiao: 4703.497 | MortenaxBlade: 1981.678 | Topaz: 768.532 | HuoHuo: 29.960
Run   32: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   33: Team DPAV: 8186.089 | Feixiao: 4703.497 | MortenaxBlade: 2672.892 | Topaz: 779.741 | HuoHuo: 29.960
Run   34: Team DPAV: 8000.323 | Feixiao: 4790.508 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   35: Team DPAV: 8000.323 | Feixiao: 4790.508 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   36: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   37: Team DPAV: 8186.089 | Feixiao: 4703.497 | MortenaxBlade: 2672.892 | Topaz: 779.741 | HuoHuo: 29.960
Run   38: Team DPAV: 8186.089 | Feixiao: 4703.497 | MortenaxBlade: 2672.892 | Topaz: 779.741 | HuoHuo: 29.960
Run   39: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   40: Team DPAV: 8000.323 | Feixiao: 4790.508 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   41: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   42: Team DPAV: 8100.163 | Feixiao: 4799.477 | MortenaxBlade: 2490.985 | Topaz: 779.741 | HuoHuo: 29.960
Run   43: Team DPAV: 7060.786 | Feixiao: 4138.132 | MortenaxBlade: 2112.952 | Topaz: 779.741 | HuoHuo: 29.960
Run   44: Team DPAV: 8000.323 | Feixiao: 4790.508 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   45: Team DPAV: 8000.323 | Feixiao: 4790.508 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   46: Team DPAV: 7483.667 | Feixiao: 4703.497 | MortenaxBlade: 1981.678 | Topaz: 768.532 | HuoHuo: 29.960
Run   47: Team DPAV: 8150.205 | Feixiao: 4799.477 | MortenaxBlade: 2490.985 | Topaz: 829.783 | HuoHuo: 29.960
Run   48: Team DPAV: 8100.163 | Feixiao: 4799.477 | MortenaxBlade: 2490.985 | Topaz: 779.741 | HuoHuo: 29.960
Run   49: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
