Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 14120.440 | Feixiao: 7943.293 | Robin: 1202.778 | Ashveil: 4853.186 | HuoHuo: 37.258
Run    2: Team DPAV: 14881.176 | Feixiao: 7991.425 | Robin: 1289.856 | Ashveil: 5478.712 | HuoHuo: 37.258
Run    3: Team DPAV: 14409.220 | Feixiao: 7968.849 | Robin: 1224.556 | Ashveil: 5094.632 | HuoHuo: 37.258
Run    4: Team DPAV: 14136.858 | Feixiao: 7968.849 | Robin: 1202.744 | Ashveil: 4844.082 | HuoHuo: 37.258
Run    5: Team DPAV: 14305.390 | Feixiao: 7968.849 | Robin: 1202.744 | Ashveil: 5012.613 | HuoHuo: 37.258
Run    6: Team DPAV: 14742.636 | Feixiao: 8174.643 | Robin: 1309.248 | Ashveil: 5138.127 | HuoHuo: 36.692
Run    7: Team DPAV: 14896.897 | Feixiao: 8271.914 | Robin: 1301.955 | Ashveil: 5201.845 | HuoHuo: 37.258
Run    8: Team DPAV: 14896.897 | Feixiao: 8271.914 | Robin: 1301.955 | Ashveil: 5201.845 | HuoHuo: 37.258
Run    9: Team DPAV: 14828.402 | Feixiao: 8271.914 | Robin: 1301.955 | Ashveil: 5133.350 | HuoHuo: 37.258
Run   10: Team DPAV: 12807.008 | Feixiao: 7123.751 | Robin: 1018.841 | Ashveil: 4560.106 | HuoHuo: 32.606
Run   11: Team DPAV: 12832.022 | Feixiao: 7128.514 | Robin: 997.064 | Ashveil: 4602.133 | HuoHuo: 32.606
Run   12: Team DPAV: 12673.030 | Feixiao: 7185.082 | Robin: 994.644 | Ashveil: 4401.786 | HuoHuo: 32.033
Run   13: Team DPAV: 14828.402 | Feixiao: 8271.914 | Robin: 1301.955 | Ashveil: 5133.350 | HuoHuo: 37.258
Run   14: Team DPAV: 14409.220 | Feixiao: 7968.849 | Robin: 1224.556 | Ashveil: 5094.632 | HuoHuo: 37.258
Run   15: Team DPAV: 12607.407 | Feixiao: 7123.751 | Robin: 975.286 | Ashveil: 4404.060 | HuoHuo: 32.606
Run   16: Team DPAV: 14274.386 | Feixiao: 8010.163 | Robin: 1202.744 | Ashveil: 4940.295 | HuoHuo: 37.258
Run   17: Team DPAV: 14395.940 | Feixiao: 8030.579 | Robin: 1224.522 | Ashveil: 5019.656 | HuoHuo: 37.258
Run   18: Team DPAV: 14663.751 | Feixiao: 8276.612 | Robin: 1246.300 | Ashveil: 5019.656 | HuoHuo: 37.258
Run   19: Team DPAV: 15020.775 | Feixiao: 8267.247 | Robin: 1318.927 | Ashveil: 5313.983 | HuoHuo: 36.692
Run   20: Team DPAV: 12905.391 | Feixiao: 7123.751 | Robin: 1055.595 | Ashveil: 4621.735 | HuoHuo: 32.606
Run   21: Team DPAV: 12834.261 | Feixiao: 7123.751 | Robin: 997.064 | Ashveil: 4609.136 | HuoHuo: 32.606
Run   22: Team DPAV: 12657.035 | Feixiao: 7228.144 | Robin: 1052.718 | Ashveil: 4272.434 | HuoHuo: 32.033
Run   23: Team DPAV: 14685.215 | Feixiao: 8200.199 | Robin: 1287.470 | Ashveil: 5076.927 | HuoHuo: 36.692
Run   24: Team DPAV: 14742.636 | Feixiao: 8174.643 | Robin: 1309.248 | Ashveil: 5138.127 | HuoHuo: 36.692
Run   25: Team DPAV: 14667.423 | Feixiao: 8276.612 | Robin: 1246.300 | Ashveil: 5023.327 | HuoHuo: 37.258
Run   26: Team DPAV: 12589.881 | Feixiao: 6885.932 | Robin: 1002.394 | Ashveil: 4597.245 | HuoHuo: 32.606
Run   27: Team DPAV: 14862.165 | Feixiao: 8200.377 | Robin: 1301.989 | Ashveil: 5239.181 | HuoHuo: 36.692
Run   28: Team DPAV: 14896.897 | Feixiao: 8271.914 | Robin: 1301.955 | Ashveil: 5201.845 | HuoHuo: 37.258
Run   29: Team DPAV: 14940.731 | Feixiao: 8274.678 | Robin: 1328.606 | Ashveil: 5216.829 | HuoHuo: 36.692
Run   30: Team DPAV: 12839.481 | Feixiao: 7123.751 | Robin: 997.064 | Ashveil: 4614.356 | HuoHuo: 32.606
Run   31: Team DPAV: 12834.261 | Feixiao: 7123.751 | Robin: 997.064 | Ashveil: 4609.136 | HuoHuo: 32.606
Run   32: Team DPAV: 14593.867 | Feixiao: 8030.579 | Robin: 1268.112 | Ashveil: 5173.992 | HuoHuo: 37.258
Run   33: Team DPAV: 15047.409 | Feixiao: 8262.107 | Robin: 1343.125 | Ashveil: 5321.559 | HuoHuo: 36.692
Run   34: Team DPAV: 14862.165 | Feixiao: 8200.377 | Robin: 1301.989 | Ashveil: 5239.181 | HuoHuo: 36.692
Run   35: Team DPAV: 14804.379 | Feixiao: 8174.643 | Robin: 1309.248 | Ashveil: 5199.870 | HuoHuo: 36.692
Run   36: Team DPAV: 14742.636 | Feixiao: 8174.643 | Robin: 1309.248 | Ashveil: 5138.127 | HuoHuo: 36.692
Run   37: Team DPAV: 14746.958 | Feixiao: 8200.199 | Robin: 1287.470 | Ashveil: 5138.671 | HuoHuo: 36.692
Run   38: Team DPAV: 12607.407 | Feixiao: 7123.751 | Robin: 975.286 | Ashveil: 4404.060 | HuoHuo: 32.606
Run   39: Team DPAV: 14862.165 | Feixiao: 8200.377 | Robin: 1301.989 | Ashveil: 5239.181 | HuoHuo: 36.692
Run   40: Team DPAV: 14199.950 | Feixiao: 8010.163 | Robin: 1224.522 | Ashveil: 4844.082 | HuoHuo: 37.258
Run   41: Team DPAV: 14940.731 | Feixiao: 8274.678 | Robin: 1328.606 | Ashveil: 5216.829 | HuoHuo: 36.692
Run   42: Team DPAV: 14663.751 | Feixiao: 8276.612 | Robin: 1246.300 | Ashveil: 5019.656 | HuoHuo: 37.258
Run   43: Team DPAV: 14785.575 | Feixiao: 8276.790 | Robin: 1258.399 | Ashveil: 5129.202 | HuoHuo: 37.258
Run   44: Team DPAV: 14896.897 | Feixiao: 8271.914 | Robin: 1301.955 | Ashveil: 5201.845 | HuoHuo: 37.258
Run   45: Team DPAV: 14896.897 | Feixiao: 8271.914 | Robin: 1301.955 | Ashveil: 5201.845 | HuoHuo: 37.258
Run   46: Team DPAV: 14667.423 | Feixiao: 8276.612 | Robin: 1246.300 | Ashveil: 5023.327 | HuoHuo: 37.258
Run   47: Team DPAV: 14896.897 | Feixiao: 8271.914 | Robin: 1301.955 | Ashveil: 5201.845 | HuoHuo: 37.258
Run   48: Team DPAV: 14540.638 | Feixiao: 8026.771 | Robin: 1248.720 | Ashveil: 5144.531 | HuoHuo: 36.692
Run   49: Team DPAV: 14868.436 | Feixiao: 8271.736 | Robin: 1311.634 | Ashveil: 5163.882 | HuoHuo: 37.258
Run   50: Team DPAV: 12807.008 | Feixiao: 7123.751 | Robin: 1018.841 | Ashveil: 4560.106 | HuoHuo: 32.606
Run   51: Team DPAV: 14593.867 | Feixiao: 8030.579 | Robin: 1268.112 | Ashveil: 5173.992 | HuoHuo: 37.258
