Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 33607.259 | Gilgamesh: 20817.081 | Ashveil: 7424.301 | Cipher: 4830.662 | HuoHuo: 0.000
Run    2: Team DPAV: 32207.191 | Gilgamesh: 19882.908 | Ashveil: 6780.920 | Cipher: 4986.348 | HuoHuo: 0.000
Run    3: Team DPAV: 33382.152 | Gilgamesh: 20700.342 | Ashveil: 7307.726 | Cipher: 4817.070 | HuoHuo: 0.000
Run    4: Team DPAV: 33485.271 | Gilgamesh: 20695.093 | Ashveil: 7424.301 | Cipher: 4830.662 | HuoHuo: 0.000
Run    5: Team DPAV: 33195.828 | Gilgamesh: 20471.139 | Ashveil: 7321.329 | Cipher: 4850.149 | HuoHuo: 0.000
Run    6: Team DPAV: 34369.579 | Gilgamesh: 20207.304 | Ashveil: 7439.442 | Cipher: 6169.621 | HuoHuo: 0.000
Run    7: Team DPAV: 33244.632 | Gilgamesh: 19989.363 | Ashveil: 6985.108 | Cipher: 5701.735 | HuoHuo: 0.000
Run    8: Team DPAV: 33195.828 | Gilgamesh: 20471.139 | Ashveil: 7321.329 | Cipher: 4850.149 | HuoHuo: 0.000
Run    9: Team DPAV: 32858.765 | Gilgamesh: 20722.614 | Ashveil: 6822.117 | Cipher: 4762.216 | HuoHuo: 0.000
Run   10: Team DPAV: 34355.512 | Gilgamesh: 20130.214 | Ashveil: 7522.571 | Cipher: 6129.109 | HuoHuo: 0.000
Run   11: Team DPAV: 33627.230 | Gilgamesh: 19989.363 | Ashveil: 7245.216 | Cipher: 5824.225 | HuoHuo: 0.000
Run   12: Team DPAV: 33585.604 | Gilgamesh: 19453.082 | Ashveil: 7546.963 | Cipher: 6032.348 | HuoHuo: 0.000
Run   13: Team DPAV: 33055.229 | Gilgamesh: 20879.866 | Ashveil: 6860.888 | Cipher: 4795.862 | HuoHuo: 0.000
Run   14: Team DPAV: 32976.845 | Gilgamesh: 19981.644 | Ashveil: 7452.028 | Cipher: 5006.565 | HuoHuo: 0.000
Run   15: Team DPAV: 34355.512 | Gilgamesh: 20130.214 | Ashveil: 7522.571 | Cipher: 6129.109 | HuoHuo: 0.000
Run   16: Team DPAV: 32528.753 | Gilgamesh: 20485.821 | Ashveil: 6800.625 | Cipher: 4673.881 | HuoHuo: 0.000
Run   17: Team DPAV: 32528.753 | Gilgamesh: 20485.821 | Ashveil: 6800.625 | Cipher: 4673.881 | HuoHuo: 0.000
Run   18: Team DPAV: 33753.343 | Gilgamesh: 20170.824 | Ashveil: 7016.770 | Cipher: 5997.324 | HuoHuo: 0.000
Run   19: Team DPAV: 33937.782 | Gilgamesh: 20180.880 | Ashveil: 7159.597 | Cipher: 6012.277 | HuoHuo: 0.000
Run   20: Team DPAV: 32443.989 | Gilgamesh: 20328.963 | Ashveil: 6804.414 | Cipher: 4774.002 | HuoHuo: 0.000
Run   21: Team DPAV: 33785.775 | Gilgamesh: 20665.606 | Ashveil: 7602.026 | Cipher: 4955.935 | HuoHuo: 0.000
Run   22: Team DPAV: 33753.343 | Gilgamesh: 20170.824 | Ashveil: 7016.770 | Cipher: 5997.324 | HuoHuo: 0.000
Run   23: Team DPAV: 33907.332 | Gilgamesh: 20711.228 | Ashveil: 7680.486 | Cipher: 4958.603 | HuoHuo: 0.000
