Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 57869.395 | Gilgamesh: 32463.690 | Ashveil: 12224.990 | MortenaxBlade: 12438.374 | HuoHuo: 0.000
Run    2: Team DPAV: 58848.456 | Gilgamesh: 32524.917 | Ashveil: 12323.489 | MortenaxBlade: 13241.817 | HuoHuo: 0.000
Run    3: Team DPAV: 58632.348 | Gilgamesh: 31850.779 | Ashveil: 12048.824 | MortenaxBlade: 13985.107 | HuoHuo: 0.000
Run    4: Team DPAV: 57869.395 | Gilgamesh: 32463.690 | Ashveil: 12224.990 | MortenaxBlade: 12438.374 | HuoHuo: 0.000
Run    5: Team DPAV: 58850.482 | Gilgamesh: 32626.130 | Ashveil: 12240.666 | MortenaxBlade: 13230.750 | HuoHuo: 0.000
Run    6: Team DPAV: 59141.337 | Gilgamesh: 32138.214 | Ashveil: 12225.078 | MortenaxBlade: 14030.407 | HuoHuo: 0.000
Run    7: Team DPAV: 59141.337 | Gilgamesh: 32138.214 | Ashveil: 12225.078 | MortenaxBlade: 14030.407 | HuoHuo: 0.000
Run    8: Team DPAV: 58848.456 | Gilgamesh: 32524.917 | Ashveil: 12323.489 | MortenaxBlade: 13241.817 | HuoHuo: 0.000
Run    9: Team DPAV: 56729.803 | Gilgamesh: 31850.779 | Ashveil: 11753.027 | MortenaxBlade: 12378.358 | HuoHuo: 0.000
Run   10: Team DPAV: 58850.482 | Gilgamesh: 32626.130 | Ashveil: 12240.666 | MortenaxBlade: 13230.750 | HuoHuo: 0.000
Run   11: Team DPAV: 58927.696 | Gilgamesh: 32672.926 | Ashveil: 12221.584 | MortenaxBlade: 13285.548 | HuoHuo: 0.000
Run   12: Team DPAV: 57665.332 | Gilgamesh: 32381.019 | Ashveil: 12065.174 | MortenaxBlade: 12445.014 | HuoHuo: 0.000
Run   13: Team DPAV: 65811.620 | Gilgamesh: 40405.915 | Ashveil: 12224.990 | MortenaxBlade: 12438.374 | HuoHuo: 0.000
Run   14: Team DPAV: 58848.456 | Gilgamesh: 32524.917 | Ashveil: 12323.489 | MortenaxBlade: 13241.817 | HuoHuo: 0.000
Run   15: Team DPAV: 58824.675 | Gilgamesh: 32524.917 | Ashveil: 12339.545 | MortenaxBlade: 13201.980 | HuoHuo: 0.000
Run   16: Team DPAV: 67366.825 | Gilgamesh: 42270.553 | Ashveil: 12153.777 | MortenaxBlade: 12163.610 | HuoHuo: 0.000
Run   17: Team DPAV: 56702.989 | Gilgamesh: 31169.408 | Ashveil: 11979.268 | MortenaxBlade: 12801.378 | HuoHuo: 0.000
Run   18: Team DPAV: 66514.909 | Gilgamesh: 39511.786 | Ashveil: 12225.078 | MortenaxBlade: 14030.407 | HuoHuo: 0.000
Run   19: Team DPAV: 58437.269 | Gilgamesh: 32502.561 | Ashveil: 12322.211 | MortenaxBlade: 12849.503 | HuoHuo: 0.000
Run   20: Team DPAV: 58824.675 | Gilgamesh: 32524.917 | Ashveil: 12339.545 | MortenaxBlade: 13201.980 | HuoHuo: 0.000
Run   21: Team DPAV: 58826.628 | Gilgamesh: 32369.931 | Ashveil: 12486.821 | MortenaxBlade: 13216.941 | HuoHuo: 0.000
Run   22: Team DPAV: 57869.395 | Gilgamesh: 32463.690 | Ashveil: 12224.990 | MortenaxBlade: 12438.374 | HuoHuo: 0.000
Run   23: Team DPAV: 57209.678 | Gilgamesh: 32138.214 | Ashveil: 11900.167 | MortenaxBlade: 12423.659 | HuoHuo: 0.000
Run   24: Team DPAV: 59025.283 | Gilgamesh: 32545.823 | Ashveil: 12527.288 | MortenaxBlade: 13199.236 | HuoHuo: 0.000
Run   25: Team DPAV: 57869.395 | Gilgamesh: 32463.690 | Ashveil: 12224.990 | MortenaxBlade: 12438.374 | HuoHuo: 0.000
Run   26: Team DPAV: 57869.395 | Gilgamesh: 32463.690 | Ashveil: 12224.990 | MortenaxBlade: 12438.374 | HuoHuo: 0.000
Run   27: Team DPAV: 58824.675 | Gilgamesh: 32524.917 | Ashveil: 12339.545 | MortenaxBlade: 13201.980 | HuoHuo: 0.000
Run   28: Team DPAV: 58824.675 | Gilgamesh: 32524.917 | Ashveil: 12339.545 | MortenaxBlade: 13201.980 | HuoHuo: 0.000
Run   29: Team DPAV: 56655.741 | Gilgamesh: 31128.799 | Ashveil: 11979.268 | MortenaxBlade: 12794.738 | HuoHuo: 0.000
Run   30: Team DPAV: 58692.386 | Gilgamesh: 32590.254 | Ashveil: 12061.768 | MortenaxBlade: 13292.188 | HuoHuo: 0.000
Run   31: Team DPAV: 57869.395 | Gilgamesh: 32463.690 | Ashveil: 12224.990 | MortenaxBlade: 12438.374 | HuoHuo: 0.000
Run   32: Team DPAV: 57869.395 | Gilgamesh: 32463.690 | Ashveil: 12224.990 | MortenaxBlade: 12438.374 | HuoHuo: 0.000
Run   33: Team DPAV: 58824.675 | Gilgamesh: 32524.917 | Ashveil: 12339.545 | MortenaxBlade: 13201.980 | HuoHuo: 0.000
Run   34: Team DPAV: 56655.741 | Gilgamesh: 31128.799 | Ashveil: 11979.268 | MortenaxBlade: 12794.738 | HuoHuo: 0.000
Run   35: Team DPAV: 53261.825 | Gilgamesh: 31142.460 | Ashveil: 10190.848 | MortenaxBlade: 11170.284 | HuoHuo: 0.000
Run   36: Team DPAV: 53261.825 | Gilgamesh: 31142.460 | Ashveil: 10190.848 | MortenaxBlade: 11170.284 | HuoHuo: 0.000
Run   37: Team DPAV: 57869.395 | Gilgamesh: 32463.690 | Ashveil: 12224.990 | MortenaxBlade: 12438.374 | HuoHuo: 0.000
Run   38: Team DPAV: 59080.817 | Gilgamesh: 32668.951 | Ashveil: 12425.095 | MortenaxBlade: 13228.537 | HuoHuo: 0.000
Run   39: Team DPAV: 53228.628 | Gilgamesh: 31142.460 | Ashveil: 10190.848 | MortenaxBlade: 11137.087 | HuoHuo: 0.000
Run   40: Team DPAV: 58824.675 | Gilgamesh: 32524.917 | Ashveil: 12339.545 | MortenaxBlade: 13201.980 | HuoHuo: 0.000
Run   41: Team DPAV: 57703.556 | Gilgamesh: 31575.826 | Ashveil: 12245.848 | MortenaxBlade: 13128.946 | HuoHuo: 0.000
Run   42: Team DPAV: 53382.343 | Gilgamesh: 31189.256 | Ashveil: 10217.419 | MortenaxBlade: 11207.377 | HuoHuo: 0.000
Run   43: Team DPAV: 58632.348 | Gilgamesh: 31850.779 | Ashveil: 12048.824 | MortenaxBlade: 13985.107 | HuoHuo: 0.000
Run   44: Team DPAV: 53261.825 | Gilgamesh: 31142.460 | Ashveil: 10190.848 | MortenaxBlade: 11170.284 | HuoHuo: 0.000
Run   45: Team DPAV: 56702.989 | Gilgamesh: 31169.408 | Ashveil: 11979.268 | MortenaxBlade: 12801.378 | HuoHuo: 0.000
Run   46: Team DPAV: 57869.395 | Gilgamesh: 32463.690 | Ashveil: 12224.990 | MortenaxBlade: 12438.374 | HuoHuo: 0.000
Run   47: Team DPAV: 58848.137 | Gilgamesh: 32672.926 | Ashveil: 12195.140 | MortenaxBlade: 13232.434 | HuoHuo: 0.000
Run   48: Team DPAV: 58824.675 | Gilgamesh: 32524.917 | Ashveil: 12339.545 | MortenaxBlade: 13201.980 | HuoHuo: 0.000
Run   49: Team DPAV: 55303.657 | Gilgamesh: 32117.613 | Ashveil: 11243.881 | MortenaxBlade: 11163.277 | HuoHuo: 0.000
Run   50: Team DPAV: 67568.492 | Gilgamesh: 40565.369 | Ashveil: 12225.078 | MortenaxBlade: 14030.407 | HuoHuo: 0.000
Run   51: Team DPAV: 58815.259 | Gilgamesh: 32524.917 | Ashveil: 12323.489 | MortenaxBlade: 13208.620 | HuoHuo: 0.000
Run   52: Team DPAV: 57869.395 | Gilgamesh: 32463.690 | Ashveil: 12224.990 | MortenaxBlade: 12438.374 | HuoHuo: 0.000
Run   53: Team DPAV: 58824.675 | Gilgamesh: 32524.917 | Ashveil: 12339.545 | MortenaxBlade: 13201.980 | HuoHuo: 0.000
Run   54: Team DPAV: 58824.675 | Gilgamesh: 32524.917 | Ashveil: 12339.545 | MortenaxBlade: 13201.980 | HuoHuo: 0.000
Run   55: Team DPAV: 59090.609 | Gilgamesh: 32138.214 | Ashveil: 12194.267 | MortenaxBlade: 14010.489 | HuoHuo: 0.000
Run   56: Team DPAV: 58971.872 | Gilgamesh: 33389.549 | Ashveil: 12374.857 | MortenaxBlade: 12444.473 | HuoHuo: 0.000
Run   57: Team DPAV: 58808.786 | Gilgamesh: 32369.931 | Ashveil: 12486.821 | MortenaxBlade: 13183.744 | HuoHuo: 0.000
Run   58: Team DPAV: 58848.456 | Gilgamesh: 32524.917 | Ashveil: 12323.489 | MortenaxBlade: 13241.817 | HuoHuo: 0.000
Run   59: Team DPAV: 65977.326 | Gilgamesh: 40571.622 | Ashveil: 12224.990 | MortenaxBlade: 12438.374 | HuoHuo: 0.000
Run   60: Team DPAV: 56702.989 | Gilgamesh: 31169.408 | Ashveil: 11979.268 | MortenaxBlade: 12801.378 | HuoHuo: 0.000
Run   61: Team DPAV: 59141.337 | Gilgamesh: 32138.214 | Ashveil: 12225.078 | MortenaxBlade: 14030.407 | HuoHuo: 0.000
Run   62: Team DPAV: 53261.825 | Gilgamesh: 31142.460 | Ashveil: 10190.848 | MortenaxBlade: 11170.284 | HuoHuo: 0.000
