Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 18448.585 | Gilgamesh: 12952.557 | Ashveil: 4764.367 | Robin: 399.277 | HuoHuo: 0.000
Run    2: Team DPAV: 23924.623 | Gilgamesh: 17498.388 | Ashveil: 5612.803 | Robin: 452.428 | HuoHuo: 0.000
Run    3: Team DPAV: 24032.263 | Gilgamesh: 17649.806 | Ashveil: 5579.262 | Robin: 452.428 | HuoHuo: 0.000
Run    4: Team DPAV: 18463.384 | Gilgamesh: 12952.557 | Ashveil: 4779.165 | Robin: 399.277 | HuoHuo: 0.000
Run    5: Team DPAV: 18448.585 | Gilgamesh: 12952.557 | Ashveil: 4764.367 | Robin: 399.277 | HuoHuo: 0.000
Run    6: Team DPAV: 22456.580 | Gilgamesh: 16109.674 | Ashveil: 5592.680 | Robin: 405.549 | HuoHuo: 0.000
Run    7: Team DPAV: 24027.255 | Gilgamesh: 17551.398 | Ashveil: 5670.571 | Robin: 452.428 | HuoHuo: 0.000
Run    8: Team DPAV: 18448.585 | Gilgamesh: 12952.557 | Ashveil: 4764.367 | Robin: 399.277 | HuoHuo: 0.000
Run    9: Team DPAV: 22593.549 | Gilgamesh: 16063.996 | Ashveil: 5770.152 | Robin: 400.487 | HuoHuo: 0.000
Run   10: Team DPAV: 22464.409 | Gilgamesh: 16110.901 | Ashveil: 5614.890 | Robin: 398.088 | HuoHuo: 0.000
Run   11: Team DPAV: 23469.539 | Gilgamesh: 17278.369 | Ashveil: 5387.975 | Robin: 452.428 | HuoHuo: 0.000
Run   12: Team DPAV: 24032.263 | Gilgamesh: 17649.806 | Ashveil: 5579.262 | Robin: 452.428 | HuoHuo: 0.000
Run   13: Team DPAV: 23924.623 | Gilgamesh: 17498.388 | Ashveil: 5612.803 | Robin: 452.428 | HuoHuo: 0.000
Run   14: Team DPAV: 18390.516 | Gilgamesh: 13035.003 | Ashveil: 4602.937 | Robin: 401.808 | HuoHuo: 0.000
Run   15: Team DPAV: 20127.840 | Gilgamesh: 14754.343 | Ashveil: 4569.974 | Robin: 448.576 | HuoHuo: 0.000
Run   16: Team DPAV: 18448.585 | Gilgamesh: 12952.557 | Ashveil: 4764.367 | Robin: 399.277 | HuoHuo: 0.000
Run   17: Team DPAV: 18448.585 | Gilgamesh: 12952.557 | Ashveil: 4764.367 | Robin: 399.277 | HuoHuo: 0.000
Run   18: Team DPAV: 18463.384 | Gilgamesh: 12952.557 | Ashveil: 4779.165 | Robin: 399.277 | HuoHuo: 0.000
Run   19: Team DPAV: 18561.170 | Gilgamesh: 13035.003 | Ashveil: 4773.591 | Robin: 401.808 | HuoHuo: 0.000
Run   20: Team DPAV: 18448.585 | Gilgamesh: 12952.557 | Ashveil: 4764.367 | Robin: 399.277 | HuoHuo: 0.000
Run   21: Team DPAV: 20127.840 | Gilgamesh: 14754.343 | Ashveil: 4569.974 | Robin: 448.576 | HuoHuo: 0.000
Run   22: Team DPAV: 18448.585 | Gilgamesh: 12952.557 | Ashveil: 4764.367 | Robin: 399.277 | HuoHuo: 0.000
Run   23: Team DPAV: 18332.435 | Gilgamesh: 13002.859 | Ashveil: 4571.173 | Robin: 399.277 | HuoHuo: 0.000
Run   24: Team DPAV: 18463.384 | Gilgamesh: 12952.557 | Ashveil: 4779.165 | Robin: 399.277 | HuoHuo: 0.000
Run   25: Team DPAV: 18448.585 | Gilgamesh: 12952.557 | Ashveil: 4764.367 | Robin: 399.277 | HuoHuo: 0.000
Run   26: Team DPAV: 23930.198 | Gilgamesh: 17529.356 | Ashveil: 5597.647 | Robin: 452.428 | HuoHuo: 0.000
