Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 31397.983 | Gilgamesh: 20304.376 | Ashveil: 9049.298 | Tribbie: 1498.896 | HuoHuo: 14.442
Run    2: Team DPAV: 29998.650 | Gilgamesh: 19654.234 | Ashveil: 8360.353 | Tribbie: 1448.757 | HuoHuo: 14.442
Run    3: Team DPAV: 31633.599 | Gilgamesh: 20341.076 | Ashveil: 9263.197 | Tribbie: 1500.467 | HuoHuo: 14.390
Run    4: Team DPAV: 32121.683 | Gilgamesh: 20292.550 | Ashveil: 9805.754 | Tribbie: 1501.206 | HuoHuo: 14.442
Run    5: Team DPAV: 31658.492 | Gilgamesh: 20341.076 | Ashveil: 9284.498 | Tribbie: 1504.059 | HuoHuo: 14.390
Run    6: Team DPAV: 30426.488 | Gilgamesh: 20652.241 | Ashveil: 7765.344 | Tribbie: 1486.440 | HuoHuo: 14.390
Run    7: Team DPAV: 29998.650 | Gilgamesh: 19654.234 | Ashveil: 8360.353 | Tribbie: 1448.757 | HuoHuo: 14.442
Run    8: Team DPAV: 32121.683 | Gilgamesh: 20292.550 | Ashveil: 9805.754 | Tribbie: 1501.206 | HuoHuo: 14.442
Run    9: Team DPAV: 29640.706 | Gilgamesh: 19935.711 | Ashveil: 7772.935 | Tribbie: 1409.597 | HuoHuo: 14.390
Run   10: Team DPAV: 30956.019 | Gilgamesh: 19676.122 | Ashveil: 9263.197 | Tribbie: 1487.841 | HuoHuo: 14.390
Run   11: Team DPAV: 31606.428 | Gilgamesh: 20280.302 | Ashveil: 9234.796 | Tribbie: 1562.419 | HuoHuo: 14.442
Run   12: Team DPAV: 31489.333 | Gilgamesh: 20252.799 | Ashveil: 9259.172 | Tribbie: 1448.451 | HuoHuo: 14.442
Run   13: Team DPAV: 30159.717 | Gilgamesh: 19631.354 | Ashveil: 8552.553 | Tribbie: 1446.898 | HuoHuo: 14.442
Run   14: Team DPAV: 31522.419 | Gilgamesh: 20392.653 | Ashveil: 9081.160 | Tribbie: 1503.245 | HuoHuo: 14.390
Run   15: Team DPAV: 32051.034 | Gilgamesh: 20292.550 | Ashveil: 9784.721 | Tribbie: 1451.590 | HuoHuo: 14.442
Run   16: Team DPAV: 30411.947 | Gilgamesh: 19631.354 | Ashveil: 8804.783 | Tribbie: 1446.898 | HuoHuo: 14.442
Run   17: Team DPAV: 31561.894 | Gilgamesh: 20252.799 | Ashveil: 9280.473 | Tribbie: 1499.711 | HuoHuo: 14.442
Run   18: Team DPAV: 31541.590 | Gilgamesh: 20392.653 | Ashveil: 9100.331 | Tribbie: 1503.245 | HuoHuo: 14.390
Run   19: Team DPAV: 31522.419 | Gilgamesh: 20392.653 | Ashveil: 9081.160 | Tribbie: 1503.245 | HuoHuo: 14.390
Run   20: Team DPAV: 30255.057 | Gilgamesh: 19681.736 | Ashveil: 8591.960 | Tribbie: 1452.450 | HuoHuo: 14.442
Run   21: Team DPAV: 30411.947 | Gilgamesh: 19631.354 | Ashveil: 8804.783 | Tribbie: 1446.898 | HuoHuo: 14.442
Run   22: Team DPAV: 30903.533 | Gilgamesh: 19642.139 | Ashveil: 9292.089 | Tribbie: 1460.265 | HuoHuo: 14.442
