Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 44906.909 | Gilgamesh: 30965.522 | MortenaxBlade: 5204.012 | Cipher: 8305.077 | HuoHuo: 0.000
Run    2: Team DPAV: 43027.889 | Gilgamesh: 29888.451 | MortenaxBlade: 4513.569 | Cipher: 8193.572 | HuoHuo: 0.000
Run    3: Team DPAV: 43553.858 | Gilgamesh: 29773.601 | MortenaxBlade: 5201.492 | Cipher: 8117.240 | HuoHuo: 0.000
Run    4: Team DPAV: 42542.504 | Gilgamesh: 28839.169 | MortenaxBlade: 5310.932 | Cipher: 7964.468 | HuoHuo: 0.000
Run    5: Team DPAV: 45168.294 | Gilgamesh: 31032.964 | MortenaxBlade: 5318.295 | Cipher: 8384.737 | HuoHuo: 0.000
Run    6: Team DPAV: 45299.024 | Gilgamesh: 31978.319 | MortenaxBlade: 4491.683 | Cipher: 8379.271 | HuoHuo: 0.000
Run    7: Team DPAV: 44197.253 | Gilgamesh: 31084.338 | MortenaxBlade: 4460.492 | Cipher: 8220.126 | HuoHuo: 0.000
Run    8: Team DPAV: 42871.885 | Gilgamesh: 29824.749 | MortenaxBlade: 4610.885 | Cipher: 8007.002 | HuoHuo: 0.000
Run    9: Team DPAV: 42678.223 | Gilgamesh: 28953.540 | MortenaxBlade: 5310.932 | Cipher: 7985.817 | HuoHuo: 0.000
Run   10: Team DPAV: 39017.601 | Gilgamesh: 26216.656 | MortenaxBlade: 5134.590 | Cipher: 7216.604 | HuoHuo: 0.000
Run   11: Team DPAV: 44169.848 | Gilgamesh: 30782.432 | MortenaxBlade: 4578.406 | Cipher: 8359.259 | HuoHuo: 0.000
Run   12: Team DPAV: 43719.857 | Gilgamesh: 29824.749 | MortenaxBlade: 5325.468 | Cipher: 8140.391 | HuoHuo: 0.000
Run   13: Team DPAV: 42599.577 | Gilgamesh: 28879.450 | MortenaxBlade: 5318.295 | Cipher: 7973.898 | HuoHuo: 0.000
Run   14: Team DPAV: 42754.739 | Gilgamesh: 29668.544 | MortenaxBlade: 4524.158 | Cipher: 8150.241 | HuoHuo: 0.000
Run   15: Team DPAV: 41561.021 | Gilgamesh: 28122.522 | MortenaxBlade: 5257.989 | Cipher: 7718.984 | HuoHuo: 0.000
Run   16: Team DPAV: 43184.478 | Gilgamesh: 29852.845 | MortenaxBlade: 4633.546 | Cipher: 8286.292 | HuoHuo: 0.000
Run   17: Team DPAV: 45111.221 | Gilgamesh: 30992.684 | MortenaxBlade: 5310.932 | Cipher: 8375.307 | HuoHuo: 0.000
Run   18: Team DPAV: 44495.740 | Gilgamesh: 30441.009 | MortenaxBlade: 5325.468 | Cipher: 8317.466 | HuoHuo: 0.000
Run   19: Team DPAV: 45111.221 | Gilgamesh: 30992.684 | MortenaxBlade: 5310.932 | Cipher: 8375.307 | HuoHuo: 0.000
Run   20: Team DPAV: 42867.388 | Gilgamesh: 29774.581 | MortenaxBlade: 4532.358 | Cipher: 8128.151 | HuoHuo: 0.000
Run   21: Team DPAV: 43719.857 | Gilgamesh: 29824.749 | MortenaxBlade: 5325.468 | Cipher: 8140.391 | HuoHuo: 0.000
Run   22: Team DPAV: 42390.298 | Gilgamesh: 29345.780 | MortenaxBlade: 4549.669 | Cipher: 8045.098 | HuoHuo: 0.000
Run   23: Team DPAV: 42542.504 | Gilgamesh: 28839.169 | MortenaxBlade: 5310.932 | Cipher: 7964.468 | HuoHuo: 0.000
Run   24: Team DPAV: 45111.221 | Gilgamesh: 30992.684 | MortenaxBlade: 5310.932 | Cipher: 8375.307 | HuoHuo: 0.000
Run   25: Team DPAV: 45111.221 | Gilgamesh: 30992.684 | MortenaxBlade: 5310.932 | Cipher: 8375.307 | HuoHuo: 0.000
Run   26: Team DPAV: 43579.223 | Gilgamesh: 29773.601 | MortenaxBlade: 5222.866 | Cipher: 8121.230 | HuoHuo: 0.000
Run   27: Team DPAV: 43855.577 | Gilgamesh: 29939.119 | MortenaxBlade: 5325.468 | Cipher: 8161.740 | HuoHuo: 0.000
