Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 26361.427 | MortenaxBlade: 25190.032 | Lingsha: 760.504 | RuanMei: 410.892 | Sparkle: 0.000
Run    2: Team DPAV: 28184.016 | MortenaxBlade: 26991.260 | Lingsha: 785.600 | RuanMei: 407.155 | Sparkle: 0.000
Run    3: Team DPAV: 23597.962 | MortenaxBlade: 22416.199 | Lingsha: 767.270 | RuanMei: 414.493 | Sparkle: 0.000
Run    4: Team DPAV: 27742.352 | MortenaxBlade: 26515.712 | Lingsha: 807.918 | RuanMei: 418.722 | Sparkle: 0.000
Run    5: Team DPAV: 23223.938 | MortenaxBlade: 21933.573 | Lingsha: 884.999 | RuanMei: 405.366 | Sparkle: 0.000
Run    6: Team DPAV: 25948.234 | MortenaxBlade: 24770.486 | Lingsha: 766.856 | RuanMei: 410.892 | Sparkle: 0.000
Run    7: Team DPAV: 27244.113 | MortenaxBlade: 25967.515 | Lingsha: 862.388 | RuanMei: 414.211 | Sparkle: 0.000
Run    8: Team DPAV: 27538.539 | MortenaxBlade: 26288.696 | Lingsha: 835.632 | RuanMei: 414.211 | Sparkle: 0.000
Run    9: Team DPAV: 26110.690 | MortenaxBlade: 24932.943 | Lingsha: 766.856 | RuanMei: 410.892 | Sparkle: 0.000
Run   10: Team DPAV: 27409.510 | MortenaxBlade: 26200.259 | Lingsha: 793.355 | RuanMei: 415.895 | Sparkle: 0.000
Run   11: Team DPAV: 26316.522 | MortenaxBlade: 25170.083 | Lingsha: 752.154 | RuanMei: 394.285 | Sparkle: 0.000
Run   12: Team DPAV: 26434.957 | MortenaxBlade: 25131.351 | Lingsha: 898.241 | RuanMei: 405.366 | Sparkle: 0.000
Run   13: Team DPAV: 29428.752 | MortenaxBlade: 28128.535 | Lingsha: 880.745 | RuanMei: 419.471 | Sparkle: 0.000
Run   14: Team DPAV: 26536.192 | MortenaxBlade: 25350.698 | Lingsha: 777.209 | RuanMei: 408.285 | Sparkle: 0.000
Run   15: Team DPAV: 26360.340 | MortenaxBlade: 25190.032 | Lingsha: 759.417 | RuanMei: 410.892 | Sparkle: 0.000
Run   16: Team DPAV: 26257.705 | MortenaxBlade: 25069.425 | Lingsha: 773.786 | RuanMei: 414.493 | Sparkle: 0.000
Run   17: Team DPAV: 27518.181 | MortenaxBlade: 26288.696 | Lingsha: 810.687 | RuanMei: 418.799 | Sparkle: 0.000
Run   18: Team DPAV: 26364.537 | MortenaxBlade: 25190.032 | Lingsha: 770.495 | RuanMei: 404.010 | Sparkle: 0.000
Run   19: Team DPAV: 27451.693 | MortenaxBlade: 26233.146 | Lingsha: 799.748 | RuanMei: 418.799 | Sparkle: 0.000
Run   20: Team DPAV: 21780.284 | MortenaxBlade: 20612.370 | Lingsha: 757.022 | RuanMei: 410.892 | Sparkle: 0.000
Run   21: Team DPAV: 27623.827 | MortenaxBlade: 26458.812 | Lingsha: 745.543 | RuanMei: 419.471 | Sparkle: 0.000
Run   22: Team DPAV: 26361.427 | MortenaxBlade: 25190.032 | Lingsha: 760.504 | RuanMei: 410.892 | Sparkle: 0.000
Run   23: Team DPAV: 26552.402 | MortenaxBlade: 25369.702 | Lingsha: 763.901 | RuanMei: 418.799 | Sparkle: 0.000
Run   24: Team DPAV: 20887.997 | MortenaxBlade: 19750.837 | Lingsha: 726.361 | RuanMei: 410.799 | Sparkle: 0.000
Run   25: Team DPAV: 22870.724 | MortenaxBlade: 21580.360 | Lingsha: 884.999 | RuanMei: 405.366 | Sparkle: 0.000
Run   26: Team DPAV: 21683.004 | MortenaxBlade: 20489.384 | Lingsha: 779.563 | RuanMei: 414.057 | Sparkle: 0.000
Run   27: Team DPAV: 21302.340 | MortenaxBlade: 20123.422 | Lingsha: 768.462 | RuanMei: 410.456 | Sparkle: 0.000
Run   28: Team DPAV: 27205.244 | MortenaxBlade: 25966.898 | Lingsha: 819.547 | RuanMei: 418.799 | Sparkle: 0.000
Run   29: Team DPAV: 26366.361 | MortenaxBlade: 25190.032 | Lingsha: 765.438 | RuanMei: 410.892 | Sparkle: 0.000
Run   30: Team DPAV: 21771.915 | MortenaxBlade: 20458.232 | Lingsha: 895.115 | RuanMei: 418.568 | Sparkle: 0.000
Run   31: Team DPAV: 21168.034 | MortenaxBlade: 19988.549 | Lingsha: 769.029 | RuanMei: 410.456 | Sparkle: 0.000
Run   32: Team DPAV: 22863.297 | MortenaxBlade: 21580.360 | Lingsha: 877.572 | RuanMei: 405.366 | Sparkle: 0.000
Run   33: Team DPAV: 24480.089 | MortenaxBlade: 23269.347 | Lingsha: 791.944 | RuanMei: 418.799 | Sparkle: 0.000
Run   34: Team DPAV: 26650.994 | MortenaxBlade: 25474.065 | Lingsha: 766.037 | RuanMei: 410.892 | Sparkle: 0.000
Run   35: Team DPAV: 27534.740 | MortenaxBlade: 26288.696 | Lingsha: 836.420 | RuanMei: 409.623 | Sparkle: 0.000
Run   36: Team DPAV: 20696.021 | MortenaxBlade: 19631.766 | Lingsha: 664.925 | RuanMei: 399.330 | Sparkle: 0.000
Run   37: Team DPAV: 21572.961 | MortenaxBlade: 20370.313 | Lingsha: 783.331 | RuanMei: 419.318 | Sparkle: 0.000
Run   38: Team DPAV: 21285.940 | MortenaxBlade: 20107.621 | Lingsha: 767.864 | RuanMei: 410.456 | Sparkle: 0.000
Run   39: Team DPAV: 24989.783 | MortenaxBlade: 23808.019 | Lingsha: 767.270 | RuanMei: 414.493 | Sparkle: 0.000
Run   40: Team DPAV: 26278.569 | MortenaxBlade: 25072.872 | Lingsha: 789.129 | RuanMei: 416.568 | Sparkle: 0.000
Run   41: Team DPAV: 27542.874 | MortenaxBlade: 26288.696 | Lingsha: 839.967 | RuanMei: 414.211 | Sparkle: 0.000
Run   42: Team DPAV: 21699.370 | MortenaxBlade: 20489.384 | Lingsha: 790.668 | RuanMei: 419.318 | Sparkle: 0.000
Run   43: Team DPAV: 26339.431 | MortenaxBlade: 25118.469 | Lingsha: 822.007 | RuanMei: 398.955 | Sparkle: 0.000
Run   44: Team DPAV: 27124.141 | MortenaxBlade: 25885.795 | Lingsha: 819.547 | RuanMei: 418.799 | Sparkle: 0.000
Run   45: Team DPAV: 27489.501 | MortenaxBlade: 26219.630 | Lingsha: 851.073 | RuanMei: 418.799 | Sparkle: 0.000
Run   46: Team DPAV: 27916.293 | MortenaxBlade: 26662.461 | Lingsha: 835.033 | RuanMei: 418.799 | Sparkle: 0.000
Run   47: Team DPAV: 21574.748 | MortenaxBlade: 20370.313 | Lingsha: 785.791 | RuanMei: 418.645 | Sparkle: 0.000
Run   48: Team DPAV: 27448.320 | MortenaxBlade: 26169.594 | Lingsha: 859.928 | RuanMei: 418.799 | Sparkle: 0.000
Run   49: Team DPAV: 26427.530 | MortenaxBlade: 25131.351 | Lingsha: 890.813 | RuanMei: 405.366 | Sparkle: 0.000
Run   50: Team DPAV: 26685.245 | MortenaxBlade: 25517.048 | Lingsha: 757.306 | RuanMei: 410.892 | Sparkle: 0.000
Run   51: Team DPAV: 21617.730 | MortenaxBlade: 20489.384 | Lingsha: 709.702 | RuanMei: 418.645 | Sparkle: 0.000
