Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 26944.704 | MortenaxBlade: 21337.458 | RuanMei: 1613.570 | Tribbie: 3883.097 | HuoHuo: 0.000
Run    2: Team DPAV: 25590.060 | MortenaxBlade: 20169.743 | RuanMei: 1566.084 | Tribbie: 3733.616 | HuoHuo: 0.000
Run    3: Team DPAV: 24417.016 | MortenaxBlade: 18946.379 | RuanMei: 1566.084 | Tribbie: 3783.936 | HuoHuo: 0.000
Run    4: Team DPAV: 20859.508 | MortenaxBlade: 16064.046 | RuanMei: 1386.314 | Tribbie: 3306.138 | HuoHuo: 0.000
Run    5: Team DPAV: 26622.175 | MortenaxBlade: 21121.894 | RuanMei: 1613.570 | Tribbie: 3779.917 | HuoHuo: 0.000
Run    6: Team DPAV: 25354.918 | MortenaxBlade: 19954.179 | RuanMei: 1563.565 | Tribbie: 3716.557 | HuoHuo: 0.000
Run    7: Team DPAV: 26944.704 | MortenaxBlade: 21337.458 | RuanMei: 1613.570 | Tribbie: 3883.097 | HuoHuo: 0.000
Run    8: Team DPAV: 20859.508 | MortenaxBlade: 16064.046 | RuanMei: 1386.314 | Tribbie: 3306.138 | HuoHuo: 0.000
Run    9: Team DPAV: 26944.704 | MortenaxBlade: 21337.458 | RuanMei: 1613.570 | Tribbie: 3883.097 | HuoHuo: 0.000
Run   10: Team DPAV: 26390.244 | MortenaxBlade: 20939.516 | RuanMei: 1563.565 | Tribbie: 3766.546 | HuoHuo: 0.000
Run   11: Team DPAV: 24398.128 | MortenaxBlade: 18960.674 | RuanMei: 1566.084 | Tribbie: 3754.538 | HuoHuo: 0.000
Run   12: Team DPAV: 26660.839 | MortenaxBlade: 21121.894 | RuanMei: 1611.051 | Tribbie: 3817.315 | HuoHuo: 0.000
Run   13: Team DPAV: 26941.653 | MortenaxBlade: 21337.458 | RuanMei: 1614.514 | Tribbie: 3879.102 | HuoHuo: 0.000
Run   14: Team DPAV: 26364.650 | MortenaxBlade: 20910.927 | RuanMei: 1566.084 | Tribbie: 3767.022 | HuoHuo: 0.000
Run   15: Team DPAV: 26944.704 | MortenaxBlade: 21337.458 | RuanMei: 1613.570 | Tribbie: 3883.097 | HuoHuo: 0.000
Run   16: Team DPAV: 23658.440 | MortenaxBlade: 18346.406 | RuanMei: 1545.711 | Tribbie: 3659.528 | HuoHuo: 0.000
Run   17: Team DPAV: 26944.704 | MortenaxBlade: 21337.458 | RuanMei: 1613.570 | Tribbie: 3883.097 | HuoHuo: 0.000
Run   18: Team DPAV: 26390.244 | MortenaxBlade: 20939.516 | RuanMei: 1563.565 | Tribbie: 3766.546 | HuoHuo: 0.000
Run   19: Team DPAV: 24428.227 | MortenaxBlade: 18960.674 | RuanMei: 1563.565 | Tribbie: 3783.371 | HuoHuo: 0.000
Run   20: Team DPAV: 26378.038 | MortenaxBlade: 20925.222 | RuanMei: 1566.084 | Tribbie: 3766.116 | HuoHuo: 0.000
Run   21: Team DPAV: 24135.053 | MortenaxBlade: 18745.027 | RuanMei: 1602.648 | Tribbie: 3680.584 | HuoHuo: 0.000
Run   22: Team DPAV: 23553.676 | MortenaxBlade: 18346.406 | RuanMei: 1548.230 | Tribbie: 3552.246 | HuoHuo: 0.000
Run   23: Team DPAV: 26357.866 | MortenaxBlade: 20910.927 | RuanMei: 1563.565 | Tribbie: 3762.757 | HuoHuo: 0.000
Run   24: Team DPAV: 26884.313 | MortenaxBlade: 21276.123 | RuanMei: 1614.514 | Tribbie: 3883.097 | HuoHuo: 0.000
Run   25: Team DPAV: 26397.028 | MortenaxBlade: 20939.516 | RuanMei: 1566.084 | Tribbie: 3770.810 | HuoHuo: 0.000
Run   26: Team DPAV: 26884.313 | MortenaxBlade: 21276.123 | RuanMei: 1614.514 | Tribbie: 3883.097 | HuoHuo: 0.000
Run   27: Team DPAV: 25380.067 | MortenaxBlade: 20098.233 | RuanMei: 1570.238 | Tribbie: 3601.017 | HuoHuo: 0.000
Run   28: Team DPAV: 26935.915 | MortenaxBlade: 21337.458 | RuanMei: 1613.570 | Tribbie: 3874.308 | HuoHuo: 0.000
Run   29: Team DPAV: 26884.313 | MortenaxBlade: 21276.123 | RuanMei: 1614.514 | Tribbie: 3883.097 | HuoHuo: 0.000
Run   30: Team DPAV: 25590.060 | MortenaxBlade: 20169.743 | RuanMei: 1566.084 | Tribbie: 3733.616 | HuoHuo: 0.000
Run   31: Team DPAV: 26884.313 | MortenaxBlade: 21276.123 | RuanMei: 1614.514 | Tribbie: 3883.097 | HuoHuo: 0.000
Run   32: Team DPAV: 26903.818 | MortenaxBlade: 21341.164 | RuanMei: 1614.514 | Tribbie: 3823.739 | HuoHuo: 0.000
Run   33: Team DPAV: 25318.035 | MortenaxBlade: 19954.179 | RuanMei: 1563.565 | Tribbie: 3683.459 | HuoHuo: 0.000
Run   34: Team DPAV: 24391.344 | MortenaxBlade: 18960.674 | RuanMei: 1563.565 | Tribbie: 3750.274 | HuoHuo: 0.000
Run   35: Team DPAV: 26389.250 | MortenaxBlade: 20939.516 | RuanMei: 1563.565 | Tribbie: 3765.551 | HuoHuo: 0.000
Run   36: Team DPAV: 21607.162 | MortenaxBlade: 16751.516 | RuanMei: 1440.732 | Tribbie: 3291.829 | HuoHuo: 0.000
Run   37: Team DPAV: 23606.267 | MortenaxBlade: 18301.425 | RuanMei: 1545.711 | Tribbie: 3652.337 | HuoHuo: 0.000
Run   38: Team DPAV: 26357.866 | MortenaxBlade: 20910.927 | RuanMei: 1563.565 | Tribbie: 3762.757 | HuoHuo: 0.000
Run   39: Team DPAV: 25727.810 | MortenaxBlade: 20351.526 | RuanMei: 1449.181 | Tribbie: 3816.523 | HuoHuo: 0.000
