Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run    2: Team DPAV: 32041.983 | MortenaxBlade: 31948.816 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run    3: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run    4: Team DPAV: 32705.645 | MortenaxBlade: 32616.246 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run    5: Team DPAV: 33722.583 | MortenaxBlade: 33630.469 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run    6: Team DPAV: 31921.581 | MortenaxBlade: 31829.924 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run    7: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run    8: Team DPAV: 33512.127 | MortenaxBlade: 33420.699 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run    9: Team DPAV: 32933.978 | MortenaxBlade: 32844.960 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   10: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   11: Team DPAV: 32578.281 | MortenaxBlade: 32488.882 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   12: Team DPAV: 32060.232 | MortenaxBlade: 31968.575 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   13: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   14: Team DPAV: 30561.309 | MortenaxBlade: 30468.141 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   15: Team DPAV: 29759.122 | MortenaxBlade: 29701.471 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   16: Team DPAV: 32041.983 | MortenaxBlade: 31948.816 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   17: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   18: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   19: Team DPAV: 32041.983 | MortenaxBlade: 31948.816 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   20: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   21: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   22: Team DPAV: 32041.983 | MortenaxBlade: 31948.816 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   23: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   24: Team DPAV: 34070.869 | MortenaxBlade: 33979.441 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   25: Team DPAV: 30561.309 | MortenaxBlade: 30468.141 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   26: Team DPAV: 32705.645 | MortenaxBlade: 32616.246 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   27: Team DPAV: 32578.281 | MortenaxBlade: 32488.882 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   28: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   29: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   30: Team DPAV: 32041.983 | MortenaxBlade: 31948.816 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   31: Team DPAV: 30561.309 | MortenaxBlade: 30468.141 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   32: Team DPAV: 32041.983 | MortenaxBlade: 31948.816 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   33: Team DPAV: 32041.983 | MortenaxBlade: 31948.816 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   34: Team DPAV: 32041.983 | MortenaxBlade: 31948.816 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   35: Team DPAV: 32705.645 | MortenaxBlade: 32616.246 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   36: Team DPAV: 32041.983 | MortenaxBlade: 31948.816 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   37: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   38: Team DPAV: 32705.645 | MortenaxBlade: 32616.246 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   39: Team DPAV: 32041.983 | MortenaxBlade: 31948.816 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   40: Team DPAV: 34070.869 | MortenaxBlade: 33979.441 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   41: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   42: Team DPAV: 33605.105 | MortenaxBlade: 33512.990 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   43: Team DPAV: 34070.183 | MortenaxBlade: 33979.441 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   44: Team DPAV: 32705.645 | MortenaxBlade: 32616.246 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   45: Team DPAV: 34060.985 | MortenaxBlade: 33969.557 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   46: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   47: Team DPAV: 32041.983 | MortenaxBlade: 31948.816 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   48: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   49: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   50: Team DPAV: 34070.869 | MortenaxBlade: 33979.441 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   51: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   52: Team DPAV: 30561.309 | MortenaxBlade: 30468.141 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   53: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
