Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 44433.288 | MortenaxBlade: 40914.951 | Sunday: 0.000 | Tribbie: 3351.533 | HuoHuo: 30.600
Run    2: Team DPAV: 44524.815 | MortenaxBlade: 40868.685 | Sunday: 0.000 | Tribbie: 3472.300 | HuoHuo: 30.600
Run    3: Team DPAV: 45313.090 | MortenaxBlade: 41759.682 | Sunday: 0.000 | Tribbie: 3377.036 | HuoHuo: 31.655
Run    4: Team DPAV: 46106.164 | MortenaxBlade: 42307.244 | Sunday: 0.000 | Tribbie: 3614.036 | HuoHuo: 31.655
Run    5: Team DPAV: 50857.625 | MortenaxBlade: 47030.541 | Sunday: 0.000 | Tribbie: 3659.225 | HuoHuo: 31.655
Run    6: Team DPAV: 46388.140 | MortenaxBlade: 42813.206 | Sunday: 0.000 | Tribbie: 3408.130 | HuoHuo: 30.600
Run    7: Team DPAV: 45510.026 | MortenaxBlade: 41937.643 | Sunday: 0.000 | Tribbie: 3396.011 | HuoHuo: 31.655
Run    8: Team DPAV: 44339.682 | MortenaxBlade: 40726.637 | Sunday: 0.000 | Tribbie: 3445.187 | HuoHuo: 31.655
Run    9: Team DPAV: 45144.716 | MortenaxBlade: 41612.707 | Sunday: 0.000 | Tribbie: 3355.638 | HuoHuo: 31.655
Run   10: Team DPAV: 45575.915 | MortenaxBlade: 42032.633 | Sunday: 0.000 | Tribbie: 3366.911 | HuoHuo: 31.655
Run   11: Team DPAV: 44445.560 | MortenaxBlade: 40907.916 | Sunday: 0.000 | Tribbie: 3370.840 | HuoHuo: 30.600
Run   12: Team DPAV: 44429.728 | MortenaxBlade: 40914.951 | Sunday: 0.000 | Tribbie: 3347.973 | HuoHuo: 30.600
Run   13: Team DPAV: 44413.837 | MortenaxBlade: 40914.951 | Sunday: 0.000 | Tribbie: 3332.082 | HuoHuo: 30.600
Run   14: Team DPAV: 47656.656 | MortenaxBlade: 43807.262 | Sunday: 0.000 | Tribbie: 3665.565 | HuoHuo: 30.600
Run   15: Team DPAV: 42857.060 | MortenaxBlade: 39327.135 | Sunday: 0.000 | Tribbie: 3345.041 | HuoHuo: 31.655
Run   16: Team DPAV: 40499.424 | MortenaxBlade: 37036.640 | Sunday: 0.000 | Tribbie: 3277.899 | HuoHuo: 31.655
Run   17: Team DPAV: 45844.863 | MortenaxBlade: 42215.188 | Sunday: 0.000 | Tribbie: 3444.790 | HuoHuo: 31.655
Run   18: Team DPAV: 48012.496 | MortenaxBlade: 44300.440 | Sunday: 0.000 | Tribbie: 3527.172 | HuoHuo: 31.655
Run   19: Team DPAV: 43555.193 | MortenaxBlade: 39805.581 | Sunday: 0.000 | Tribbie: 3565.782 | HuoHuo: 30.600
Run   20: Team DPAV: 56105.719 | MortenaxBlade: 51799.886 | Sunday: 0.000 | Tribbie: 4120.948 | HuoHuo: 31.655
Run   21: Team DPAV: 44429.728 | MortenaxBlade: 40914.951 | Sunday: 0.000 | Tribbie: 3347.973 | HuoHuo: 30.600
Run   22: Team DPAV: 40781.068 | MortenaxBlade: 37161.021 | Sunday: 0.000 | Tribbie: 3436.218 | HuoHuo: 30.600
Run   23: Team DPAV: 44501.651 | MortenaxBlade: 40797.461 | Sunday: 0.000 | Tribbie: 3520.361 | HuoHuo: 30.600
Run   24: Team DPAV: 44433.288 | MortenaxBlade: 40914.951 | Sunday: 0.000 | Tribbie: 3351.533 | HuoHuo: 30.600
Run   25: Team DPAV: 46737.639 | MortenaxBlade: 42813.206 | Sunday: 0.000 | Tribbie: 3757.630 | HuoHuo: 30.600
Run   26: Team DPAV: 41956.503 | MortenaxBlade: 38372.951 | Sunday: 0.000 | Tribbie: 3407.180 | HuoHuo: 31.655
Run   27: Team DPAV: 44524.815 | MortenaxBlade: 40868.685 | Sunday: 0.000 | Tribbie: 3472.300 | HuoHuo: 30.600
Run   28: Team DPAV: 40525.127 | MortenaxBlade: 37057.952 | Sunday: 0.000 | Tribbie: 3282.291 | HuoHuo: 31.655
Run   29: Team DPAV: 40335.036 | MortenaxBlade: 36897.429 | Sunday: 0.000 | Tribbie: 3252.722 | HuoHuo: 31.655
Run   30: Team DPAV: 50149.372 | MortenaxBlade: 46317.977 | Sunday: 0.000 | Tribbie: 3637.998 | HuoHuo: 31.655
Run   31: Team DPAV: 41088.134 | MortenaxBlade: 37565.107 | Sunday: 0.000 | Tribbie: 3346.655 | HuoHuo: 31.655
Run   32: Team DPAV: 45285.965 | MortenaxBlade: 41713.583 | Sunday: 0.000 | Tribbie: 3396.011 | HuoHuo: 31.655
Run   33: Team DPAV: 45380.038 | MortenaxBlade: 41638.622 | Sunday: 0.000 | Tribbie: 3557.587 | HuoHuo: 30.600
Run   34: Team DPAV: 45605.821 | MortenaxBlade: 41862.683 | Sunday: 0.000 | Tribbie: 3559.309 | HuoHuo: 30.600
Run   35: Team DPAV: 42752.306 | MortenaxBlade: 39224.142 | Sunday: 0.000 | Tribbie: 3343.280 | HuoHuo: 31.655
Run   36: Team DPAV: 43815.352 | MortenaxBlade: 40139.949 | Sunday: 0.000 | Tribbie: 3491.574 | HuoHuo: 30.600
Run   37: Team DPAV: 42645.598 | MortenaxBlade: 39143.997 | Sunday: 0.000 | Tribbie: 3325.230 | HuoHuo: 31.655
Run   38: Team DPAV: 40525.127 | MortenaxBlade: 37057.952 | Sunday: 0.000 | Tribbie: 3282.291 | HuoHuo: 31.655
Run   39: Team DPAV: 43354.644 | MortenaxBlade: 39631.995 | Sunday: 0.000 | Tribbie: 3537.765 | HuoHuo: 31.655
Run   40: Team DPAV: 43016.749 | MortenaxBlade: 39554.847 | Sunday: 0.000 | Tribbie: 3278.073 | HuoHuo: 30.600
Run   41: Team DPAV: 47707.993 | MortenaxBlade: 43677.244 | Sunday: 0.000 | Tribbie: 3845.865 | HuoHuo: 31.655
Run   42: Team DPAV: 44794.868 | MortenaxBlade: 41072.562 | Sunday: 0.000 | Tribbie: 3538.477 | HuoHuo: 30.600
Run   43: Team DPAV: 45269.216 | MortenaxBlade: 41713.583 | Sunday: 0.000 | Tribbie: 3379.261 | HuoHuo: 31.655
Run   44: Team DPAV: 45076.222 | MortenaxBlade: 41516.595 | Sunday: 0.000 | Tribbie: 3374.742 | HuoHuo: 31.655
Run   45: Team DPAV: 41088.134 | MortenaxBlade: 37565.107 | Sunday: 0.000 | Tribbie: 3346.655 | HuoHuo: 31.655
Run   46: Team DPAV: 44279.210 | MortenaxBlade: 40535.950 | Sunday: 0.000 | Tribbie: 3575.401 | HuoHuo: 31.655
Run   47: Team DPAV: 45065.680 | MortenaxBlade: 41448.468 | Sunday: 0.000 | Tribbie: 3432.328 | HuoHuo: 31.655
Run   48: Team DPAV: 40833.543 | MortenaxBlade: 37373.008 | Sunday: 0.000 | Tribbie: 3275.651 | HuoHuo: 31.655
Run   49: Team DPAV: 43492.526 | MortenaxBlade: 39838.021 | Sunday: 0.000 | Tribbie: 3487.701 | HuoHuo: 30.600
Run   50: Team DPAV: 42150.481 | MortenaxBlade: 38742.997 | Sunday: 0.000 | Tribbie: 3222.599 | HuoHuo: 31.655
Run   51: Team DPAV: 43016.749 | MortenaxBlade: 39554.847 | Sunday: 0.000 | Tribbie: 3278.073 | HuoHuo: 30.600
Run   52: Team DPAV: 42984.592 | MortenaxBlade: 39170.220 | Sunday: 0.000 | Tribbie: 3629.488 | HuoHuo: 31.655
Run   53: Team DPAV: 42978.534 | MortenaxBlade: 39333.357 | Sunday: 0.000 | Tribbie: 3468.805 | HuoHuo: 31.655
Run   54: Team DPAV: 45453.359 | MortenaxBlade: 41937.643 | Sunday: 0.000 | Tribbie: 3339.344 | HuoHuo: 31.655
Run   55: Team DPAV: 44017.171 | MortenaxBlade: 40198.735 | Sunday: 0.000 | Tribbie: 3633.551 | HuoHuo: 31.655
Run   56: Team DPAV: 44396.490 | MortenaxBlade: 40908.520 | Sunday: 0.000 | Tribbie: 3311.598 | HuoHuo: 31.655
Run   57: Team DPAV: 46370.684 | MortenaxBlade: 42546.271 | Sunday: 0.000 | Tribbie: 3656.555 | HuoHuo: 31.655
Run   58: Team DPAV: 43897.147 | MortenaxBlade: 40359.759 | Sunday: 0.000 | Tribbie: 3361.016 | HuoHuo: 31.655
Run   59: Team DPAV: 46388.140 | MortenaxBlade: 42813.206 | Sunday: 0.000 | Tribbie: 3408.130 | HuoHuo: 30.600
Run   60: Team DPAV: 48266.753 | MortenaxBlade: 44327.466 | Sunday: 0.000 | Tribbie: 3754.403 | HuoHuo: 31.655
Run   61: Team DPAV: 45493.276 | MortenaxBlade: 41937.643 | Sunday: 0.000 | Tribbie: 3379.261 | HuoHuo: 31.655
Run   62: Team DPAV: 44431.953 | MortenaxBlade: 40914.951 | Sunday: 0.000 | Tribbie: 3350.198 | HuoHuo: 30.600
Run   63: Team DPAV: 42978.534 | MortenaxBlade: 39333.357 | Sunday: 0.000 | Tribbie: 3468.805 | HuoHuo: 31.655
