Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 23575.646 | RinTohsaka: 18785.130 | Sparkle: 0.000 | Cipher: 4756.695 | HuoHuo: 27.455
Run    2: Team DPAV: 24690.128 | RinTohsaka: 19936.405 | Sparkle: 0.000 | Cipher: 4719.902 | HuoHuo: 27.455
Run    3: Team DPAV: 23463.318 | RinTohsaka: 18693.829 | Sparkle: 0.000 | Cipher: 4735.174 | HuoHuo: 27.949
Run    4: Team DPAV: 27333.566 | RinTohsaka: 21821.124 | Sparkle: 0.000 | Cipher: 5476.551 | HuoHuo: 29.525
Run    5: Team DPAV: 22975.620 | RinTohsaka: 18295.565 | Sparkle: 0.000 | Cipher: 4646.235 | HuoHuo: 27.455
Run    6: Team DPAV: 25788.795 | RinTohsaka: 20581.364 | Sparkle: 0.000 | Cipher: 5173.162 | HuoHuo: 27.903
Run    7: Team DPAV: 24417.862 | RinTohsaka: 19473.668 | Sparkle: 0.000 | Cipher: 4909.827 | HuoHuo: 28.002
Run    8: Team DPAV: 24603.049 | RinTohsaka: 19869.159 | Sparkle: 0.000 | Cipher: 4700.069 | HuoHuo: 27.455
Run    9: Team DPAV: 25365.622 | RinTohsaka: 20272.483 | Sparkle: 0.000 | Cipher: 5058.772 | HuoHuo: 28.002
Run   10: Team DPAV: 24115.557 | RinTohsaka: 19471.320 | Sparkle: 0.000 | Cipher: 4610.415 | HuoHuo: 27.455
Run   11: Team DPAV: 25587.505 | RinTohsaka: 20450.764 | Sparkle: 0.000 | Cipher: 5102.374 | HuoHuo: 28.002
Run   12: Team DPAV: 24010.421 | RinTohsaka: 19135.994 | Sparkle: 0.000 | Cipher: 4840.607 | HuoHuo: 27.455
Run   13: Team DPAV: 25264.460 | RinTohsaka: 20193.882 | Sparkle: 0.000 | Cipher: 5036.429 | HuoHuo: 27.783
Run   14: Team DPAV: 22910.595 | RinTohsaka: 18244.806 | Sparkle: 0.000 | Cipher: 4631.969 | HuoHuo: 27.455
