Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 39767.099 | RinTohsaka: 35163.332 | Sparkle: 0.000 | MortenaxBlade: 4555.061 | HuoHuo: 48.706
Run    2: Team DPAV: 36780.834 | RinTohsaka: 30753.324 | Sparkle: 0.000 | MortenaxBlade: 5977.579 | HuoHuo: 49.931
Run    3: Team DPAV: 36741.322 | RinTohsaka: 30948.335 | Sparkle: 0.000 | MortenaxBlade: 5742.130 | HuoHuo: 50.857
Run    4: Team DPAV: 35567.962 | RinTohsaka: 30941.368 | Sparkle: 0.000 | MortenaxBlade: 4579.133 | HuoHuo: 47.461
Run    5: Team DPAV: 39643.066 | RinTohsaka: 33590.295 | Sparkle: 0.000 | MortenaxBlade: 6001.052 | HuoHuo: 51.718
Run    6: Team DPAV: 35972.989 | RinTohsaka: 31366.954 | Sparkle: 0.000 | MortenaxBlade: 4558.574 | HuoHuo: 47.461
Run    7: Team DPAV: 37238.983 | RinTohsaka: 31012.315 | Sparkle: 0.000 | MortenaxBlade: 6176.737 | HuoHuo: 49.931
Run    8: Team DPAV: 36674.872 | RinTohsaka: 30538.894 | Sparkle: 0.000 | MortenaxBlade: 6084.259 | HuoHuo: 51.718
Run    9: Team DPAV: 37210.690 | RinTohsaka: 30918.199 | Sparkle: 0.000 | MortenaxBlade: 6242.560 | HuoHuo: 49.931
Run   10: Team DPAV: 35090.095 | RinTohsaka: 30448.613 | Sparkle: 0.000 | MortenaxBlade: 4592.776 | HuoHuo: 48.706
Run   11: Team DPAV: 35926.639 | RinTohsaka: 31270.753 | Sparkle: 0.000 | MortenaxBlade: 4608.426 | HuoHuo: 47.461
Run   12: Team DPAV: 35580.528 | RinTohsaka: 30979.707 | Sparkle: 0.000 | MortenaxBlade: 4553.360 | HuoHuo: 47.461
Run   13: Team DPAV: 36055.947 | RinTohsaka: 30074.970 | Sparkle: 0.000 | MortenaxBlade: 5927.943 | HuoHuo: 53.033
Run   14: Team DPAV: 35131.476 | RinTohsaka: 30404.354 | Sparkle: 0.000 | MortenaxBlade: 4674.088 | HuoHuo: 53.033
Run   15: Team DPAV: 39643.066 | RinTohsaka: 33590.295 | Sparkle: 0.000 | MortenaxBlade: 6001.052 | HuoHuo: 51.718
Run   16: Team DPAV: 36502.619 | RinTohsaka: 30404.354 | Sparkle: 0.000 | MortenaxBlade: 6049.558 | HuoHuo: 48.706
Run   17: Team DPAV: 35614.024 | RinTohsaka: 30986.509 | Sparkle: 0.000 | MortenaxBlade: 4580.054 | HuoHuo: 47.461
Run   18: Team DPAV: 35302.587 | RinTohsaka: 30540.903 | Sparkle: 0.000 | MortenaxBlade: 4712.978 | HuoHuo: 48.706
Run   19: Team DPAV: 36857.501 | RinTohsaka: 31031.650 | Sparkle: 0.000 | MortenaxBlade: 5774.994 | HuoHuo: 50.857
Run   20: Team DPAV: 36020.525 | RinTohsaka: 29925.264 | Sparkle: 0.000 | MortenaxBlade: 6043.542 | HuoHuo: 51.718
Run   21: Team DPAV: 35964.901 | RinTohsaka: 31277.555 | Sparkle: 0.000 | MortenaxBlade: 4639.885 | HuoHuo: 47.461
Run   22: Team DPAV: 37000.441 | RinTohsaka: 30918.199 | Sparkle: 0.000 | MortenaxBlade: 6032.310 | HuoHuo: 49.931
Run   23: Team DPAV: 37000.441 | RinTohsaka: 30918.199 | Sparkle: 0.000 | MortenaxBlade: 6032.310 | HuoHuo: 49.931
Run   24: Team DPAV: 34773.803 | RinTohsaka: 30074.970 | Sparkle: 0.000 | MortenaxBlade: 4650.126 | HuoHuo: 48.706
Run   25: Team DPAV: 37291.764 | RinTohsaka: 31315.893 | Sparkle: 0.000 | MortenaxBlade: 5928.410 | HuoHuo: 47.461
Run   26: Team DPAV: 37282.595 | RinTohsaka: 31277.555 | Sparkle: 0.000 | MortenaxBlade: 5954.183 | HuoHuo: 50.857
Run   27: Team DPAV: 34781.957 | RinTohsaka: 30113.309 | Sparkle: 0.000 | MortenaxBlade: 4619.942 | HuoHuo: 48.706
Run   28: Team DPAV: 35094.507 | RinTohsaka: 30448.613 | Sparkle: 0.000 | MortenaxBlade: 4597.188 | HuoHuo: 48.706
Run   29: Team DPAV: 36380.808 | RinTohsaka: 30203.590 | Sparkle: 0.000 | MortenaxBlade: 6124.185 | HuoHuo: 53.033
Run   30: Team DPAV: 35614.024 | RinTohsaka: 30986.509 | Sparkle: 0.000 | MortenaxBlade: 4580.054 | HuoHuo: 47.461
Run   31: Team DPAV: 36252.738 | RinTohsaka: 30106.245 | Sparkle: 0.000 | MortenaxBlade: 6094.775 | HuoHuo: 51.718
Run   32: Team DPAV: 35081.941 | RinTohsaka: 30410.275 | Sparkle: 0.000 | MortenaxBlade: 4622.960 | HuoHuo: 48.706
Run   33: Team DPAV: 36484.471 | RinTohsaka: 30144.583 | Sparkle: 0.000 | MortenaxBlade: 6288.170 | HuoHuo: 51.718
Run   34: Team DPAV: 35315.152 | RinTohsaka: 30579.241 | Sparkle: 0.000 | MortenaxBlade: 4687.205 | HuoHuo: 48.706
Run   35: Team DPAV: 35183.306 | RinTohsaka: 30449.495 | Sparkle: 0.000 | MortenaxBlade: 4685.105 | HuoHuo: 48.706
Run   36: Team DPAV: 34773.803 | RinTohsaka: 30074.970 | Sparkle: 0.000 | MortenaxBlade: 4650.126 | HuoHuo: 48.706
Run   37: Team DPAV: 35580.528 | RinTohsaka: 30979.707 | Sparkle: 0.000 | MortenaxBlade: 4553.360 | HuoHuo: 47.461
Run   38: Team DPAV: 35183.306 | RinTohsaka: 30449.495 | Sparkle: 0.000 | MortenaxBlade: 4685.105 | HuoHuo: 48.706
Run   39: Team DPAV: 34731.076 | RinTohsaka: 30221.955 | Sparkle: 0.000 | MortenaxBlade: 4460.415 | HuoHuo: 48.706
Run   40: Team DPAV: 34773.803 | RinTohsaka: 30074.970 | Sparkle: 0.000 | MortenaxBlade: 4650.126 | HuoHuo: 48.706
Run   41: Team DPAV: 36999.660 | RinTohsaka: 30918.199 | Sparkle: 0.000 | MortenaxBlade: 6032.310 | HuoHuo: 49.151
Run   42: Team DPAV: 35964.901 | RinTohsaka: 31277.555 | Sparkle: 0.000 | MortenaxBlade: 4639.885 | HuoHuo: 47.461
Run   43: Team DPAV: 35580.528 | RinTohsaka: 30979.707 | Sparkle: 0.000 | MortenaxBlade: 4553.360 | HuoHuo: 47.461
Run   44: Team DPAV: 36549.834 | RinTohsaka: 30410.275 | Sparkle: 0.000 | MortenaxBlade: 6086.525 | HuoHuo: 53.033
Run   45: Team DPAV: 36863.811 | RinTohsaka: 30728.919 | Sparkle: 0.000 | MortenaxBlade: 6084.961 | HuoHuo: 49.931
Run   46: Team DPAV: 35664.850 | RinTohsaka: 31031.650 | Sparkle: 0.000 | MortenaxBlade: 4585.740 | HuoHuo: 47.461
Run   47: Team DPAV: 35914.074 | RinTohsaka: 31232.414 | Sparkle: 0.000 | MortenaxBlade: 4634.199 | HuoHuo: 47.461
Run   48: Team DPAV: 36801.282 | RinTohsaka: 31000.278 | Sparkle: 0.000 | MortenaxBlade: 5751.016 | HuoHuo: 49.988
Run   49: Team DPAV: 35132.479 | RinTohsaka: 30404.354 | Sparkle: 0.000 | MortenaxBlade: 4679.419 | HuoHuo: 48.706
Run   50: Team DPAV: 35926.639 | RinTohsaka: 31270.753 | Sparkle: 0.000 | MortenaxBlade: 4608.426 | HuoHuo: 47.461
Run   51: Team DPAV: 39643.066 | RinTohsaka: 33590.295 | Sparkle: 0.000 | MortenaxBlade: 6001.052 | HuoHuo: 51.718
Run   52: Team DPAV: 37223.256 | RinTohsaka: 30956.537 | Sparkle: 0.000 | MortenaxBlade: 6216.787 | HuoHuo: 49.931
Run   53: Team DPAV: 35985.554 | RinTohsaka: 31405.293 | Sparkle: 0.000 | MortenaxBlade: 4532.801 | HuoHuo: 47.461
Run   54: Team DPAV: 36007.518 | RinTohsaka: 29822.849 | Sparkle: 0.000 | MortenaxBlade: 6132.951 | HuoHuo: 51.718
Run   55: Team DPAV: 39666.377 | RinTohsaka: 33590.295 | Sparkle: 0.000 | MortenaxBlade: 6024.364 | HuoHuo: 51.718
Run   56: Team DPAV: 35191.395 | RinTohsaka: 30538.894 | Sparkle: 0.000 | MortenaxBlade: 4603.794 | HuoHuo: 48.706
Run   57: Team DPAV: 34883.256 | RinTohsaka: 30203.590 | Sparkle: 0.000 | MortenaxBlade: 4630.960 | HuoHuo: 48.706
Run   58: Team DPAV: 36424.021 | RinTohsaka: 30505.372 | Sparkle: 0.000 | MortenaxBlade: 5865.615 | HuoHuo: 53.033
Run   59: Team DPAV: 36391.798 | RinTohsaka: 30106.245 | Sparkle: 0.000 | MortenaxBlade: 6233.835 | HuoHuo: 51.718
Run   60: Team DPAV: 35806.588 | RinTohsaka: 30851.548 | Sparkle: 0.000 | MortenaxBlade: 4902.006 | HuoHuo: 53.033
Run   61: Team DPAV: 35170.741 | RinTohsaka: 30411.157 | Sparkle: 0.000 | MortenaxBlade: 4710.878 | HuoHuo: 48.706
Run   62: Team DPAV: 35580.528 | RinTohsaka: 30979.707 | Sparkle: 0.000 | MortenaxBlade: 4553.360 | HuoHuo: 47.461
Run   63: Team DPAV: 35012.170 | RinTohsaka: 30294.998 | Sparkle: 0.000 | MortenaxBlade: 4668.466 | HuoHuo: 48.706
Run   64: Team DPAV: 38394.753 | RinTohsaka: 33648.433 | Sparkle: 0.000 | MortenaxBlade: 4697.614 | HuoHuo: 48.706
Run   65: Team DPAV: 35677.416 | RinTohsaka: 31069.988 | Sparkle: 0.000 | MortenaxBlade: 4559.967 | HuoHuo: 47.461
Run   66: Team DPAV: 35305.012 | RinTohsaka: 30579.241 | Sparkle: 0.000 | MortenaxBlade: 4677.065 | HuoHuo: 48.706
Run   67: Team DPAV: 35008.018 | RinTohsaka: 30540.903 | Sparkle: 0.000 | MortenaxBlade: 4418.409 | HuoHuo: 48.706
Run   68: Team DPAV: 36863.811 | RinTohsaka: 30728.919 | Sparkle: 0.000 | MortenaxBlade: 6084.961 | HuoHuo: 49.931
Run   69: Team DPAV: 35010.032 | RinTohsaka: 30333.336 | Sparkle: 0.000 | MortenaxBlade: 4627.990 | HuoHuo: 48.706
Run   70: Team DPAV: 37210.690 | RinTohsaka: 30918.199 | Sparkle: 0.000 | MortenaxBlade: 6242.560 | HuoHuo: 49.931
Run   71: Team DPAV: 35183.306 | RinTohsaka: 30449.495 | Sparkle: 0.000 | MortenaxBlade: 4685.105 | HuoHuo: 48.706
Run   72: Team DPAV: 34878.845 | RinTohsaka: 30203.590 | Sparkle: 0.000 | MortenaxBlade: 4626.549 | HuoHuo: 48.706
Run   73: Team DPAV: 35994.953 | RinTohsaka: 29784.511 | Sparkle: 0.000 | MortenaxBlade: 6158.724 | HuoHuo: 51.718
Run   74: Team DPAV: 36979.148 | RinTohsaka: 31031.650 | Sparkle: 0.000 | MortenaxBlade: 5900.037 | HuoHuo: 47.461
Run   75: Team DPAV: 35002.537 | RinTohsaka: 30294.998 | Sparkle: 0.000 | MortenaxBlade: 4658.833 | HuoHuo: 48.706
Run   76: Team DPAV: 36999.660 | RinTohsaka: 30918.199 | Sparkle: 0.000 | MortenaxBlade: 6032.310 | HuoHuo: 49.151
Run   77: Team DPAV: 36231.354 | RinTohsaka: 30158.449 | Sparkle: 0.000 | MortenaxBlade: 6024.199 | HuoHuo: 48.706
Run   78: Team DPAV: 34870.691 | RinTohsaka: 30165.252 | Sparkle: 0.000 | MortenaxBlade: 4656.733 | HuoHuo: 48.706
Run   79: Team DPAV: 34786.368 | RinTohsaka: 30113.309 | Sparkle: 0.000 | MortenaxBlade: 4624.353 | HuoHuo: 48.706
Run   80: Team DPAV: 36870.066 | RinTohsaka: 31069.988 | Sparkle: 0.000 | MortenaxBlade: 5749.221 | HuoHuo: 50.857
Run   81: Team DPAV: 34878.845 | RinTohsaka: 30203.590 | Sparkle: 0.000 | MortenaxBlade: 4626.549 | HuoHuo: 48.706
Run   82: Team DPAV: 36351.148 | RinTohsaka: 30203.590 | Sparkle: 0.000 | MortenaxBlade: 6094.525 | HuoHuo: 53.033
Run   83: Team DPAV: 36404.363 | RinTohsaka: 30144.583 | Sparkle: 0.000 | MortenaxBlade: 6208.062 | HuoHuo: 51.718
Run   84: Team DPAV: 35964.901 | RinTohsaka: 31277.555 | Sparkle: 0.000 | MortenaxBlade: 4639.885 | HuoHuo: 47.461
