Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 27194.173 | RinTohsaka: 23521.653 | Sparkle: 0.000 | MortenaxBlade: 3225.638 | Lingsha: 446.883
Run    2: Team DPAV: 29024.961 | RinTohsaka: 24995.324 | Sparkle: 0.000 | MortenaxBlade: 3439.105 | Lingsha: 590.531
Run    3: Team DPAV: 25009.210 | RinTohsaka: 21032.497 | Sparkle: 0.000 | MortenaxBlade: 3389.308 | Lingsha: 587.404
Run    4: Team DPAV: 29021.842 | RinTohsaka: 24995.324 | Sparkle: 0.000 | MortenaxBlade: 3439.105 | Lingsha: 587.412
Run    5: Team DPAV: 25141.886 | RinTohsaka: 21569.813 | Sparkle: 0.000 | MortenaxBlade: 3066.411 | Lingsha: 505.663
Run    6: Team DPAV: 25033.011 | RinTohsaka: 21206.448 | Sparkle: 0.000 | MortenaxBlade: 3246.016 | Lingsha: 580.547
Run    7: Team DPAV: 25583.785 | RinTohsaka: 21636.966 | Sparkle: 0.000 | MortenaxBlade: 3309.355 | Lingsha: 637.465
Run    8: Team DPAV: 24825.166 | RinTohsaka: 20809.845 | Sparkle: 0.000 | MortenaxBlade: 3414.708 | Lingsha: 600.613
Run    9: Team DPAV: 25321.994 | RinTohsaka: 21338.625 | Sparkle: 0.000 | MortenaxBlade: 3407.685 | Lingsha: 575.684
Run   10: Team DPAV: 24822.118 | RinTohsaka: 20926.228 | Sparkle: 0.000 | MortenaxBlade: 3302.778 | Lingsha: 593.112
Run   11: Team DPAV: 25892.428 | RinTohsaka: 21785.274 | Sparkle: 0.000 | MortenaxBlade: 3524.315 | Lingsha: 582.838
Run   12: Team DPAV: 29397.895 | RinTohsaka: 25360.905 | Sparkle: 0.000 | MortenaxBlade: 3438.461 | Lingsha: 598.528
Run   13: Team DPAV: 25085.952 | RinTohsaka: 21191.681 | Sparkle: 0.000 | MortenaxBlade: 3306.867 | Lingsha: 587.404
Run   14: Team DPAV: 28565.074 | RinTohsaka: 24571.117 | Sparkle: 0.000 | MortenaxBlade: 3422.418 | Lingsha: 571.539
Run   15: Team DPAV: 25400.368 | RinTohsaka: 21349.722 | Sparkle: 0.000 | MortenaxBlade: 3441.878 | Lingsha: 608.768
Run   16: Team DPAV: 28482.604 | RinTohsaka: 24348.277 | Sparkle: 0.000 | MortenaxBlade: 3604.437 | Lingsha: 529.889
Run   17: Team DPAV: 24847.006 | RinTohsaka: 21036.381 | Sparkle: 0.000 | MortenaxBlade: 3237.128 | Lingsha: 573.498
Run   18: Team DPAV: 28097.755 | RinTohsaka: 24171.226 | Sparkle: 0.000 | MortenaxBlade: 3423.942 | Lingsha: 502.587
Run   19: Team DPAV: 24713.299 | RinTohsaka: 20816.754 | Sparkle: 0.000 | MortenaxBlade: 3399.146 | Lingsha: 497.399
Run   20: Team DPAV: 28815.583 | RinTohsaka: 24790.977 | Sparkle: 0.000 | MortenaxBlade: 3436.949 | Lingsha: 587.657
Run   21: Team DPAV: 25457.576 | RinTohsaka: 21442.907 | Sparkle: 0.000 | MortenaxBlade: 3501.144 | Lingsha: 513.525
Run   22: Team DPAV: 26257.807 | RinTohsaka: 22192.769 | Sparkle: 0.000 | MortenaxBlade: 3534.773 | Lingsha: 530.265
Run   23: Team DPAV: 25321.994 | RinTohsaka: 21338.625 | Sparkle: 0.000 | MortenaxBlade: 3407.685 | Lingsha: 575.684
