Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 23557.704 | RinTohsaka: 23225.377 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run    2: Team DPAV: 23660.743 | RinTohsaka: 23293.418 | Sparkle: 0.000 | Robin: 327.942 | HuoHuo: 39.383
Run    3: Team DPAV: 23684.253 | RinTohsaka: 23351.171 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 39.383
Run    4: Team DPAV: 22724.727 | RinTohsaka: 22447.573 | Sparkle: 0.000 | Robin: 244.817 | HuoHuo: 32.337
Run    5: Team DPAV: 22685.823 | RinTohsaka: 22321.013 | Sparkle: 0.000 | Robin: 325.427 | HuoHuo: 39.383
Run    6: Team DPAV: 23207.515 | RinTohsaka: 22875.188 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run    7: Team DPAV: 22904.958 | RinTohsaka: 22586.261 | Sparkle: 0.000 | Robin: 280.070 | HuoHuo: 38.628
Run    8: Team DPAV: 22786.994 | RinTohsaka: 22474.587 | Sparkle: 0.000 | Robin: 280.070 | HuoHuo: 32.337
Run    9: Team DPAV: 22933.848 | RinTohsaka: 22615.151 | Sparkle: 0.000 | Robin: 280.070 | HuoHuo: 38.628
Run   10: Team DPAV: 21619.705 | RinTohsaka: 21287.377 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   11: Team DPAV: 23223.313 | RinTohsaka: 22910.907 | Sparkle: 0.000 | Robin: 280.070 | HuoHuo: 32.337
Run   12: Team DPAV: 21028.218 | RinTohsaka: 20707.733 | Sparkle: 0.000 | Robin: 282.382 | HuoHuo: 38.103
Run   13: Team DPAV: 23654.088 | RinTohsaka: 23321.761 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   14: Team DPAV: 23065.357 | RinTohsaka: 22733.030 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   15: Team DPAV: 21619.705 | RinTohsaka: 21287.377 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   16: Team DPAV: 23535.212 | RinTohsaka: 23202.885 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   17: Team DPAV: 24783.198 | RinTohsaka: 24400.291 | Sparkle: 0.000 | Robin: 343.525 | HuoHuo: 39.383
Run   18: Team DPAV: 23646.312 | RinTohsaka: 23313.985 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   19: Team DPAV: 23367.884 | RinTohsaka: 23034.802 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 39.383
Run   20: Team DPAV: 22035.036 | RinTohsaka: 21670.227 | Sparkle: 0.000 | Robin: 325.427 | HuoHuo: 39.383
Run   21: Team DPAV: 23524.035 | RinTohsaka: 23191.708 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   22: Team DPAV: 23265.097 | RinTohsaka: 22932.770 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   23: Team DPAV: 23684.253 | RinTohsaka: 23351.171 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 39.383
Run   24: Team DPAV: 23152.600 | RinTohsaka: 22762.643 | Sparkle: 0.000 | Robin: 350.575 | HuoHuo: 39.383
Run   25: Team DPAV: 23450.077 | RinTohsaka: 23096.127 | Sparkle: 0.000 | Robin: 315.322 | HuoHuo: 38.628
Run   26: Team DPAV: 22731.686 | RinTohsaka: 22409.463 | Sparkle: 0.000 | Robin: 283.595 | HuoHuo: 38.628
Run   27: Team DPAV: 23683.498 | RinTohsaka: 23351.171 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   28: Team DPAV: 23623.819 | RinTohsaka: 23291.492 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   29: Team DPAV: 24226.582 | RinTohsaka: 23837.379 | Sparkle: 0.000 | Robin: 350.575 | HuoHuo: 38.628
Run   30: Team DPAV: 23998.093 | RinTohsaka: 23630.768 | Sparkle: 0.000 | Robin: 327.942 | HuoHuo: 39.383
Run   31: Team DPAV: 23515.475 | RinTohsaka: 23183.148 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   32: Team DPAV: 22470.290 | RinTohsaka: 22119.110 | Sparkle: 0.000 | Robin: 311.797 | HuoHuo: 39.383
Run   33: Team DPAV: 22967.208 | RinTohsaka: 22648.511 | Sparkle: 0.000 | Robin: 280.070 | HuoHuo: 38.628
Run   34: Team DPAV: 23337.714 | RinTohsaka: 23005.387 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   35: Team DPAV: 22317.456 | RinTohsaka: 22005.050 | Sparkle: 0.000 | Robin: 280.070 | HuoHuo: 32.337
Run   36: Team DPAV: 22973.499 | RinTohsaka: 22641.172 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   37: Team DPAV: 22009.567 | RinTohsaka: 21677.240 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   38: Team DPAV: 23282.552 | RinTohsaka: 22949.470 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 39.383
Run   39: Team DPAV: 22419.947 | RinTohsaka: 22142.793 | Sparkle: 0.000 | Robin: 244.817 | HuoHuo: 32.337
Run   40: Team DPAV: 23646.312 | RinTohsaka: 23313.985 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   41: Team DPAV: 22570.084 | RinTohsaka: 22254.152 | Sparkle: 0.000 | Robin: 283.595 | HuoHuo: 32.337
