Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 26305.265 | RinTohsaka: 26282.020 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run    2: Team DPAV: 27210.876 | RinTohsaka: 27188.451 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 22.425
Run    3: Team DPAV: 26485.026 | RinTohsaka: 26461.781 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run    4: Team DPAV: 26512.145 | RinTohsaka: 26488.900 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run    5: Team DPAV: 27368.101 | RinTohsaka: 27344.856 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run    6: Team DPAV: 27094.882 | RinTohsaka: 27071.803 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.080
Run    7: Team DPAV: 26760.090 | RinTohsaka: 26736.789 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.302
Run    8: Team DPAV: 26410.938 | RinTohsaka: 26387.693 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run    9: Team DPAV: 25052.092 | RinTohsaka: 25028.847 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   10: Team DPAV: 28291.026 | RinTohsaka: 28267.781 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   11: Team DPAV: 27386.428 | RinTohsaka: 27363.183 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   12: Team DPAV: 25101.545 | RinTohsaka: 25078.300 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   13: Team DPAV: 25786.328 | RinTohsaka: 25763.083 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   14: Team DPAV: 25123.205 | RinTohsaka: 25099.960 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   15: Team DPAV: 26737.382 | RinTohsaka: 26714.957 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 22.425
Run   16: Team DPAV: 27368.101 | RinTohsaka: 27344.856 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   17: Team DPAV: 26410.938 | RinTohsaka: 26387.693 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   18: Team DPAV: 28265.625 | RinTohsaka: 28242.380 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   19: Team DPAV: 24932.197 | RinTohsaka: 24909.773 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 22.425
Run   20: Team DPAV: 25967.120 | RinTohsaka: 25943.875 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   21: Team DPAV: 25823.032 | RinTohsaka: 25799.730 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.302
Run   22: Team DPAV: 26432.989 | RinTohsaka: 26409.744 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   23: Team DPAV: 26121.626 | RinTohsaka: 26099.201 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 22.425
Run   24: Team DPAV: 26457.881 | RinTohsaka: 26434.636 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   25: Team DPAV: 28235.410 | RinTohsaka: 28212.108 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.302
Run   26: Team DPAV: 25870.433 | RinTohsaka: 25847.131 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.302
Run   27: Team DPAV: 27373.332 | RinTohsaka: 27350.087 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   28: Team DPAV: 26427.752 | RinTohsaka: 26404.450 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.302
Run   29: Team DPAV: 26666.018 | RinTohsaka: 26642.716 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.302
Run   30: Team DPAV: 26432.989 | RinTohsaka: 26409.744 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   31: Team DPAV: 27368.101 | RinTohsaka: 27344.856 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   32: Team DPAV: 26419.385 | RinTohsaka: 26396.140 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   33: Team DPAV: 26485.026 | RinTohsaka: 26461.781 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   34: Team DPAV: 28265.625 | RinTohsaka: 28242.380 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   35: Team DPAV: 25772.912 | RinTohsaka: 25749.610 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.302
