Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 23631.171 | RinTohsaka: 23393.730 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run    2: Team DPAV: 25615.040 | RinTohsaka: 25375.953 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 239.088
Run    3: Team DPAV: 27238.896 | RinTohsaka: 26996.835 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061
Run    4: Team DPAV: 23631.171 | RinTohsaka: 23393.730 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run    5: Team DPAV: 23837.280 | RinTohsaka: 23595.219 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061
Run    6: Team DPAV: 25823.818 | RinTohsaka: 25586.377 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run    7: Team DPAV: 23884.821 | RinTohsaka: 23647.380 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run    8: Team DPAV: 23947.853 | RinTohsaka: 23705.792 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061
Run    9: Team DPAV: 25291.290 | RinTohsaka: 25052.203 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 239.088
Run   10: Team DPAV: 24182.610 | RinTohsaka: 23945.169 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   11: Team DPAV: 24002.694 | RinTohsaka: 23765.253 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   12: Team DPAV: 28837.176 | RinTohsaka: 28598.088 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 239.088
Run   13: Team DPAV: 25342.737 | RinTohsaka: 25101.713 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 241.024
Run   14: Team DPAV: 23947.853 | RinTohsaka: 23705.792 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061
Run   15: Team DPAV: 23867.152 | RinTohsaka: 23629.711 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   16: Team DPAV: 28679.459 | RinTohsaka: 28434.453 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 245.006
Run   17: Team DPAV: 23707.189 | RinTohsaka: 23465.129 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061
Run   18: Team DPAV: 25248.559 | RinTohsaka: 25011.118 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   19: Team DPAV: 25965.155 | RinTohsaka: 25720.148 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 245.006
Run   20: Team DPAV: 24182.610 | RinTohsaka: 23945.169 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   21: Team DPAV: 24249.915 | RinTohsaka: 24012.474 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   22: Team DPAV: 26123.044 | RinTohsaka: 25878.320 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 244.724
Run   23: Team DPAV: 24159.378 | RinTohsaka: 23921.937 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   24: Team DPAV: 23265.194 | RinTohsaka: 23023.133 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061
Run   25: Team DPAV: 26244.403 | RinTohsaka: 26003.378 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 241.024
Run   26: Team DPAV: 26289.934 | RinTohsaka: 26050.846 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 239.088
Run   27: Team DPAV: 24334.922 | RinTohsaka: 24090.198 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 244.724
Run   28: Team DPAV: 23110.426 | RinTohsaka: 22868.365 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061
Run   29: Team DPAV: 23970.616 | RinTohsaka: 23729.663 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 240.954
Run   30: Team DPAV: 23837.280 | RinTohsaka: 23595.219 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061
Run   31: Team DPAV: 28525.252 | RinTohsaka: 28286.164 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 239.088
Run   32: Team DPAV: 24028.000 | RinTohsaka: 23790.559 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   33: Team DPAV: 23390.666 | RinTohsaka: 23148.605 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061
Run   34: Team DPAV: 23682.817 | RinTohsaka: 23445.376 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   35: Team DPAV: 28039.079 | RinTohsaka: 27799.992 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 239.088
Run   36: Team DPAV: 24500.278 | RinTohsaka: 24258.217 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061
Run   37: Team DPAV: 25042.390 | RinTohsaka: 24800.330 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061
Run   38: Team DPAV: 27905.649 | RinTohsaka: 27660.924 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 244.724
Run   39: Team DPAV: 23867.152 | RinTohsaka: 23629.711 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   40: Team DPAV: 24249.915 | RinTohsaka: 24012.474 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   41: Team DPAV: 24191.326 | RinTohsaka: 23948.432 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.895
Run   42: Team DPAV: 24002.694 | RinTohsaka: 23765.253 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   43: Team DPAV: 24431.145 | RinTohsaka: 24193.704 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   44: Team DPAV: 23707.189 | RinTohsaka: 23465.129 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061
Run   45: Team DPAV: 23872.962 | RinTohsaka: 23635.521 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   46: Team DPAV: 25619.060 | RinTohsaka: 25376.999 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061
Run   47: Team DPAV: 24427.111 | RinTohsaka: 24185.050 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061
Run   48: Team DPAV: 24334.922 | RinTohsaka: 24090.198 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 244.724
Run   49: Team DPAV: 23110.426 | RinTohsaka: 22868.365 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061
Run   50: Team DPAV: 23803.625 | RinTohsaka: 23561.564 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061
Run   51: Team DPAV: 24159.378 | RinTohsaka: 23921.937 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   52: Team DPAV: 24936.755 | RinTohsaka: 24699.314 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   53: Team DPAV: 24302.061 | RinTohsaka: 24064.620 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
