Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 22985.517 | RinTohsaka: 21195.265 | Sparkle: 0.000 | Tribbie: 1756.889 | HuoHuo: 33.363
Run    2: Team DPAV: 23574.865 | RinTohsaka: 21834.753 | Sparkle: 0.000 | Tribbie: 1706.694 | HuoHuo: 33.417
Run    3: Team DPAV: 23903.170 | RinTohsaka: 22248.466 | Sparkle: 0.000 | Tribbie: 1622.768 | HuoHuo: 31.935
Run    4: Team DPAV: 21068.887 | RinTohsaka: 19439.374 | Sparkle: 0.000 | Tribbie: 1597.320 | HuoHuo: 32.192
Run    5: Team DPAV: 23366.692 | RinTohsaka: 21607.924 | Sparkle: 0.000 | Tribbie: 1726.908 | HuoHuo: 31.859
Run    6: Team DPAV: 24546.546 | RinTohsaka: 22764.557 | Sparkle: 0.000 | Tribbie: 1750.439 | HuoHuo: 31.550
Run    7: Team DPAV: 25112.872 | RinTohsaka: 23384.384 | Sparkle: 0.000 | Tribbie: 1697.194 | HuoHuo: 31.293
Run    8: Team DPAV: 24784.801 | RinTohsaka: 22943.775 | Sparkle: 0.000 | Tribbie: 1808.576 | HuoHuo: 32.449
Run    9: Team DPAV: 21439.198 | RinTohsaka: 19632.188 | Sparkle: 0.000 | Tribbie: 1775.540 | HuoHuo: 31.470
Run   10: Team DPAV: 24799.997 | RinTohsaka: 22986.266 | Sparkle: 0.000 | Tribbie: 1782.004 | HuoHuo: 31.727
Run   11: Team DPAV: 23338.217 | RinTohsaka: 21806.308 | Sparkle: 0.000 | Tribbie: 1499.981 | HuoHuo: 31.928
Run   12: Team DPAV: 24495.358 | RinTohsaka: 22850.954 | Sparkle: 0.000 | Tribbie: 1612.544 | HuoHuo: 31.859
Run   13: Team DPAV: 23201.220 | RinTohsaka: 21360.525 | Sparkle: 0.000 | Tribbie: 1808.658 | HuoHuo: 32.037
Run   14: Team DPAV: 21357.772 | RinTohsaka: 19777.230 | Sparkle: 0.000 | Tribbie: 1549.316 | HuoHuo: 31.226
Run   15: Team DPAV: 23342.505 | RinTohsaka: 21598.207 | Sparkle: 0.000 | Tribbie: 1713.596 | HuoHuo: 30.702
Run   16: Team DPAV: 23090.165 | RinTohsaka: 21340.523 | Sparkle: 0.000 | Tribbie: 1716.208 | HuoHuo: 33.434
Run   17: Team DPAV: 22214.776 | RinTohsaka: 20523.810 | Sparkle: 0.000 | Tribbie: 1658.602 | HuoHuo: 32.364
Run   18: Team DPAV: 22910.167 | RinTohsaka: 21265.343 | Sparkle: 0.000 | Tribbie: 1613.531 | HuoHuo: 31.293
Run   19: Team DPAV: 24801.355 | RinTohsaka: 23064.206 | Sparkle: 0.000 | Tribbie: 1704.785 | HuoHuo: 32.364
Run   20: Team DPAV: 22966.128 | RinTohsaka: 21467.846 | Sparkle: 0.000 | Tribbie: 1465.926 | HuoHuo: 32.355
Run   21: Team DPAV: 21510.316 | RinTohsaka: 19779.227 | Sparkle: 0.000 | Tribbie: 1699.618 | HuoHuo: 31.470
Run   22: Team DPAV: 23407.021 | RinTohsaka: 21747.802 | Sparkle: 0.000 | Tribbie: 1627.926 | HuoHuo: 31.293
Run   23: Team DPAV: 22096.764 | RinTohsaka: 20367.298 | Sparkle: 0.000 | Tribbie: 1697.987 | HuoHuo: 31.479
Run   24: Team DPAV: 21827.785 | RinTohsaka: 20086.554 | Sparkle: 0.000 | Tribbie: 1707.961 | HuoHuo: 33.270
Run   25: Team DPAV: 20781.181 | RinTohsaka: 19111.463 | Sparkle: 0.000 | Tribbie: 1636.997 | HuoHuo: 32.721
Run   26: Team DPAV: 21146.669 | RinTohsaka: 19400.350 | Sparkle: 0.000 | Tribbie: 1714.849 | HuoHuo: 31.470
Run   27: Team DPAV: 25148.026 | RinTohsaka: 23322.146 | Sparkle: 0.000 | Tribbie: 1792.891 | HuoHuo: 32.989
Run   28: Team DPAV: 21118.817 | RinTohsaka: 19567.427 | Sparkle: 0.000 | Tribbie: 1520.164 | HuoHuo: 31.226
Run   29: Team DPAV: 23007.762 | RinTohsaka: 21340.897 | Sparkle: 0.000 | Tribbie: 1635.266 | HuoHuo: 31.599
Run   30: Team DPAV: 23248.587 | RinTohsaka: 21555.896 | Sparkle: 0.000 | Tribbie: 1659.421 | HuoHuo: 33.270
Run   31: Team DPAV: 23267.339 | RinTohsaka: 21599.572 | Sparkle: 0.000 | Tribbie: 1636.218 | HuoHuo: 31.550
Run   32: Team DPAV: 22099.487 | RinTohsaka: 20412.646 | Sparkle: 0.000 | Tribbie: 1655.105 | HuoHuo: 31.736
Run   33: Team DPAV: 22667.685 | RinTohsaka: 21104.870 | Sparkle: 0.000 | Tribbie: 1530.880 | HuoHuo: 31.935
Run   34: Team DPAV: 22795.658 | RinTohsaka: 21005.878 | Sparkle: 0.000 | Tribbie: 1756.417 | HuoHuo: 33.363
Run   35: Team DPAV: 22056.115 | RinTohsaka: 20414.126 | Sparkle: 0.000 | Tribbie: 1610.696 | HuoHuo: 31.293
Run   36: Team DPAV: 21860.429 | RinTohsaka: 20103.426 | Sparkle: 0.000 | Tribbie: 1725.453 | HuoHuo: 31.550
