Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 16216.825 | RinTohsaka: 12901.430 | Sunday: 0.000 | Cipher: 3285.893 | HuoHuo: 24.376
Run    2: Team DPAV: 15877.615 | RinTohsaka: 12660.637 | Sunday: 0.000 | Cipher: 3188.468 | HuoHuo: 23.385
Run    3: Team DPAV: 16013.723 | RinTohsaka: 12741.592 | Sunday: 0.000 | Cipher: 3243.095 | HuoHuo: 23.910
Run    4: Team DPAV: 16703.638 | RinTohsaka: 13339.297 | Sunday: 0.000 | Cipher: 3335.831 | HuoHuo: 23.385
Run    5: Team DPAV: 16009.528 | RinTohsaka: 12738.769 | Sunday: 0.000 | Cipher: 3241.257 | HuoHuo: 24.376
Run    6: Team DPAV: 16942.086 | RinTohsaka: 13506.760 | Sunday: 0.000 | Cipher: 3406.729 | HuoHuo: 23.471
Run    7: Team DPAV: 16364.426 | RinTohsaka: 13060.033 | Sunday: 0.000 | Cipher: 3275.883 | HuoHuo: 23.385
Run    8: Team DPAV: 16076.855 | RinTohsaka: 12789.125 | Sunday: 0.000 | Cipher: 3258.694 | HuoHuo: 23.910
Run    9: Team DPAV: 16285.309 | RinTohsaka: 12998.643 | Sunday: 0.000 | Cipher: 3258.155 | HuoHuo: 23.385
Run   10: Team DPAV: 16423.536 | RinTohsaka: 13113.768 | Sunday: 0.000 | Cipher: 3281.257 | HuoHuo: 23.385
Run   11: Team DPAV: 16070.325 | RinTohsaka: 12818.548 | Sunday: 0.000 | Cipher: 3223.267 | HuoHuo: 23.385
Run   12: Team DPAV: 16165.524 | RinTohsaka: 12868.737 | Sunday: 0.000 | Cipher: 3267.286 | HuoHuo: 24.376
Run   13: Team DPAV: 16683.786 | RinTohsaka: 13287.407 | Sunday: 0.000 | Cipher: 3366.877 | HuoHuo: 24.376
Run   14: Team DPAV: 16141.070 | RinTohsaka: 12882.619 | Sunday: 0.000 | Cipher: 3229.941 | HuoHuo: 23.385
Run   15: Team DPAV: 16090.437 | RinTohsaka: 12835.467 | Sunday: 0.000 | Cipher: 3226.459 | HuoHuo: 23.385
Run   16: Team DPAV: 16042.004 | RinTohsaka: 12793.545 | Sunday: 0.000 | Cipher: 3219.948 | HuoHuo: 23.385
Run   17: Team DPAV: 16603.072 | RinTohsaka: 13219.200 | Sunday: 0.000 | Cipher: 3354.370 | HuoHuo: 24.376
Run   18: Team DPAV: 15841.443 | RinTohsaka: 12629.736 | Sunday: 0.000 | Cipher: 3183.196 | HuoHuo: 23.385
Run   19: Team DPAV: 16349.707 | RinTohsaka: 13050.201 | Sunday: 0.000 | Cipher: 3270.995 | HuoHuo: 23.385
Run   20: Team DPAV: 16860.570 | RinTohsaka: 13471.929 | Sunday: 0.000 | Cipher: 3360.131 | HuoHuo: 23.385
Run   21: Team DPAV: 16192.384 | RinTohsaka: 12917.101 | Sunday: 0.000 | Cipher: 3246.772 | HuoHuo: 23.385
Run   22: Team DPAV: 16740.875 | RinTohsaka: 13341.565 | Sunday: 0.000 | Cipher: 3370.714 | HuoHuo: 23.471
Run   23: Team DPAV: 16680.475 | RinTohsaka: 13295.830 | Sunday: 0.000 | Cipher: 3356.048 | HuoHuo: 23.471
Run   24: Team DPAV: 16204.602 | RinTohsaka: 12929.683 | Sunday: 0.000 | Cipher: 3246.408 | HuoHuo: 23.385
