Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 22499.683 | RinTohsaka: 19487.993 | Sunday: 0.000 | MortenaxBlade: 2972.627 | HuoHuo: 39.063
Run    2: Team DPAV: 23566.482 | RinTohsaka: 20640.543 | Sunday: 0.000 | MortenaxBlade: 2886.876 | HuoHuo: 39.063
Run    3: Team DPAV: 22935.638 | RinTohsaka: 20011.868 | Sunday: 0.000 | MortenaxBlade: 2884.708 | HuoHuo: 39.063
Run    4: Team DPAV: 22805.037 | RinTohsaka: 20353.188 | Sunday: 0.000 | MortenaxBlade: 2412.786 | HuoHuo: 39.063
Run    5: Team DPAV: 22572.232 | RinTohsaka: 19556.531 | Sunday: 0.000 | MortenaxBlade: 2976.638 | HuoHuo: 39.063
Run    6: Team DPAV: 21083.341 | RinTohsaka: 18625.717 | Sunday: 0.000 | MortenaxBlade: 2418.561 | HuoHuo: 39.063
Run    7: Team DPAV: 22610.276 | RinTohsaka: 19540.852 | Sunday: 0.000 | MortenaxBlade: 3030.362 | HuoHuo: 39.063
Run    8: Team DPAV: 22711.618 | RinTohsaka: 19563.488 | Sunday: 0.000 | MortenaxBlade: 3102.774 | HuoHuo: 45.355
Run    9: Team DPAV: 23385.950 | RinTohsaka: 20315.012 | Sunday: 0.000 | MortenaxBlade: 3028.805 | HuoHuo: 42.134
Run   10: Team DPAV: 22106.962 | RinTohsaka: 19186.752 | Sunday: 0.000 | MortenaxBlade: 2881.973 | HuoHuo: 38.238
Run   11: Team DPAV: 22935.638 | RinTohsaka: 20011.868 | Sunday: 0.000 | MortenaxBlade: 2884.708 | HuoHuo: 39.063
Run   12: Team DPAV: 22575.304 | RinTohsaka: 19556.531 | Sunday: 0.000 | MortenaxBlade: 2976.638 | HuoHuo: 42.134
Run   13: Team DPAV: 22485.746 | RinTohsaka: 20124.588 | Sunday: 0.000 | MortenaxBlade: 2322.083 | HuoHuo: 39.074
Run   14: Team DPAV: 22805.037 | RinTohsaka: 20353.188 | Sunday: 0.000 | MortenaxBlade: 2412.786 | HuoHuo: 39.063
Run   15: Team DPAV: 23566.482 | RinTohsaka: 20640.543 | Sunday: 0.000 | MortenaxBlade: 2886.876 | HuoHuo: 39.063
Run   16: Team DPAV: 23689.416 | RinTohsaka: 20640.543 | Sunday: 0.000 | MortenaxBlade: 3006.738 | HuoHuo: 42.134
Run   17: Team DPAV: 22956.184 | RinTohsaka: 19930.488 | Sunday: 0.000 | MortenaxBlade: 2986.520 | HuoHuo: 39.176
Run   18: Team DPAV: 22686.017 | RinTohsaka: 19643.171 | Sunday: 0.000 | MortenaxBlade: 3000.712 | HuoHuo: 42.134
Run   19: Team DPAV: 22961.078 | RinTohsaka: 20011.868 | Sunday: 0.000 | MortenaxBlade: 2910.147 | HuoHuo: 39.063
Run   20: Team DPAV: 23566.482 | RinTohsaka: 20640.543 | Sunday: 0.000 | MortenaxBlade: 2886.876 | HuoHuo: 39.063
Run   21: Team DPAV: 23589.754 | RinTohsaka: 20640.543 | Sunday: 0.000 | MortenaxBlade: 2910.147 | HuoHuo: 39.063
Run   22: Team DPAV: 23689.416 | RinTohsaka: 20640.543 | Sunday: 0.000 | MortenaxBlade: 3006.738 | HuoHuo: 42.134
Run   23: Team DPAV: 22174.315 | RinTohsaka: 19556.531 | Sunday: 0.000 | MortenaxBlade: 2578.721 | HuoHuo: 39.063
Run   24: Team DPAV: 22238.390 | RinTohsaka: 19226.700 | Sunday: 0.000 | MortenaxBlade: 2972.627 | HuoHuo: 39.063
Run   25: Team DPAV: 20461.571 | RinTohsaka: 17952.500 | Sunday: 0.000 | MortenaxBlade: 2470.008 | HuoHuo: 39.063
Run   26: Team DPAV: 23154.353 | RinTohsaka: 20640.543 | Sunday: 0.000 | MortenaxBlade: 2474.747 | HuoHuo: 39.063
Run   27: Team DPAV: 22518.405 | RinTohsaka: 19506.714 | Sunday: 0.000 | MortenaxBlade: 2972.627 | HuoHuo: 39.063
Run   28: Team DPAV: 23689.416 | RinTohsaka: 20640.543 | Sunday: 0.000 | MortenaxBlade: 3006.738 | HuoHuo: 42.134
Run   29: Team DPAV: 22505.029 | RinTohsaka: 19492.135 | Sunday: 0.000 | MortenaxBlade: 2973.831 | HuoHuo: 39.063
