Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 15121.897 | RinTohsaka: 14050.209 | Sunday: 0.000 | Tribbie: 1046.138 | HuoHuo: 25.550
Run    2: Team DPAV: 15810.872 | RinTohsaka: 14668.111 | Sunday: 0.000 | Tribbie: 1117.570 | HuoHuo: 25.191
Run    3: Team DPAV: 15138.687 | RinTohsaka: 14008.867 | Sunday: 0.000 | Tribbie: 1104.748 | HuoHuo: 25.072
Run    4: Team DPAV: 14985.454 | RinTohsaka: 13924.416 | Sunday: 0.000 | Tribbie: 1035.907 | HuoHuo: 25.131
Run    5: Team DPAV: 14951.758 | RinTohsaka: 13872.067 | Sunday: 0.000 | Tribbie: 1054.560 | HuoHuo: 25.131
Run    6: Team DPAV: 14809.941 | RinTohsaka: 13747.234 | Sunday: 0.000 | Tribbie: 1037.157 | HuoHuo: 25.550
Run    7: Team DPAV: 16349.783 | RinTohsaka: 15143.472 | Sunday: 0.000 | Tribbie: 1176.458 | HuoHuo: 29.853
Run    8: Team DPAV: 14982.313 | RinTohsaka: 13919.080 | Sunday: 0.000 | Tribbie: 1038.161 | HuoHuo: 25.072
Run    9: Team DPAV: 15208.541 | RinTohsaka: 14125.393 | Sunday: 0.000 | Tribbie: 1058.017 | HuoHuo: 25.131
Run   10: Team DPAV: 14957.609 | RinTohsaka: 13902.503 | Sunday: 0.000 | Tribbie: 1029.556 | HuoHuo: 25.550
Run   11: Team DPAV: 15050.085 | RinTohsaka: 14060.265 | Sunday: 0.000 | Tribbie: 964.270 | HuoHuo: 25.550
Run   12: Team DPAV: 15254.999 | RinTohsaka: 14102.448 | Sunday: 0.000 | Tribbie: 1127.479 | HuoHuo: 25.072
Run   13: Team DPAV: 14399.374 | RinTohsaka: 13480.223 | Sunday: 0.000 | Tribbie: 894.078 | HuoHuo: 25.072
Run   14: Team DPAV: 14406.198 | RinTohsaka: 13569.032 | Sunday: 0.000 | Tribbie: 811.615 | HuoHuo: 25.550
Run   15: Team DPAV: 14563.609 | RinTohsaka: 13528.421 | Sunday: 0.000 | Tribbie: 1010.057 | HuoHuo: 25.131
Run   16: Team DPAV: 15223.801 | RinTohsaka: 14137.224 | Sunday: 0.000 | Tribbie: 1061.445 | HuoHuo: 25.131
Run   17: Team DPAV: 14921.828 | RinTohsaka: 13876.575 | Sunday: 0.000 | Tribbie: 1019.703 | HuoHuo: 25.550
Run   18: Team DPAV: 14917.763 | RinTohsaka: 13810.939 | Sunday: 0.000 | Tribbie: 1081.752 | HuoHuo: 25.072
Run   19: Team DPAV: 16022.817 | RinTohsaka: 14814.535 | Sunday: 0.000 | Tribbie: 1183.210 | HuoHuo: 25.072
Run   20: Team DPAV: 14973.671 | RinTohsaka: 13919.494 | Sunday: 0.000 | Tribbie: 1028.626 | HuoHuo: 25.550
Run   21: Team DPAV: 14936.808 | RinTohsaka: 13801.236 | Sunday: 0.000 | Tribbie: 1110.441 | HuoHuo: 25.131
Run   22: Team DPAV: 15151.650 | RinTohsaka: 14132.821 | Sunday: 0.000 | Tribbie: 993.757 | HuoHuo: 25.072
Run   23: Team DPAV: 15237.800 | RinTohsaka: 14066.128 | Sunday: 0.000 | Tribbie: 1146.600 | HuoHuo: 25.072
Run   24: Team DPAV: 15193.699 | RinTohsaka: 14125.393 | Sunday: 0.000 | Tribbie: 1043.233 | HuoHuo: 25.072
Run   25: Team DPAV: 15202.368 | RinTohsaka: 14165.119 | Sunday: 0.000 | Tribbie: 1012.117 | HuoHuo: 25.131
Run   26: Team DPAV: 15026.248 | RinTohsaka: 13857.244 | Sunday: 0.000 | Tribbie: 1143.932 | HuoHuo: 25.072
Run   27: Team DPAV: 15070.938 | RinTohsaka: 13932.830 | Sunday: 0.000 | Tribbie: 1112.977 | HuoHuo: 25.131
Run   28: Team DPAV: 15259.959 | RinTohsaka: 14184.507 | Sunday: 0.000 | Tribbie: 1050.380 | HuoHuo: 25.072
Run   29: Team DPAV: 15192.842 | RinTohsaka: 14110.479 | Sunday: 0.000 | Tribbie: 1057.291 | HuoHuo: 25.072
Run   30: Team DPAV: 14757.458 | RinTohsaka: 13696.620 | Sunday: 0.000 | Tribbie: 1035.707 | HuoHuo: 25.131
Run   31: Team DPAV: 15064.731 | RinTohsaka: 13919.494 | Sunday: 0.000 | Tribbie: 1119.686 | HuoHuo: 25.550
Run   32: Team DPAV: 15141.300 | RinTohsaka: 14008.867 | Sunday: 0.000 | Tribbie: 1107.361 | HuoHuo: 25.072
Run   33: Team DPAV: 14967.917 | RinTohsaka: 13848.729 | Sunday: 0.000 | Tribbie: 1089.276 | HuoHuo: 29.913
Run   34: Team DPAV: 15612.014 | RinTohsaka: 14535.145 | Sunday: 0.000 | Tribbie: 1051.797 | HuoHuo: 25.072
Run   35: Team DPAV: 15201.888 | RinTohsaka: 14125.393 | Sunday: 0.000 | Tribbie: 1051.422 | HuoHuo: 25.072
Run   36: Team DPAV: 15785.241 | RinTohsaka: 14596.818 | Sunday: 0.000 | Tribbie: 1163.292 | HuoHuo: 25.131
Run   37: Team DPAV: 14627.920 | RinTohsaka: 13548.115 | Sunday: 0.000 | Tribbie: 1054.673 | HuoHuo: 25.131
Run   38: Team DPAV: 14631.929 | RinTohsaka: 13566.165 | Sunday: 0.000 | Tribbie: 1040.633 | HuoHuo: 25.131
Run   39: Team DPAV: 15047.785 | RinTohsaka: 13987.190 | Sunday: 0.000 | Tribbie: 1035.523 | HuoHuo: 25.072
Run   40: Team DPAV: 14689.792 | RinTohsaka: 13571.613 | Sunday: 0.000 | Tribbie: 1093.107 | HuoHuo: 25.072
Run   41: Team DPAV: 15587.514 | RinTohsaka: 14437.826 | Sunday: 0.000 | Tribbie: 1124.616 | HuoHuo: 25.072
Run   42: Team DPAV: 15390.450 | RinTohsaka: 14278.887 | Sunday: 0.000 | Tribbie: 1086.490 | HuoHuo: 25.072
Run   43: Team DPAV: 15124.225 | RinTohsaka: 14052.472 | Sunday: 0.000 | Tribbie: 1046.143 | HuoHuo: 25.610
