Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 28929.801 | Saber: 15075.014 | Gilgamesh: 9604.666 | Cipher: 4015.690 | HuoHuo: 0.000
Run    2: Team DPAV: 27944.184 | Saber: 15065.275 | Gilgamesh: 8597.139 | Cipher: 4047.340 | HuoHuo: 0.000
Run    3: Team DPAV: 28919.649 | Saber: 16014.971 | Gilgamesh: 8390.831 | Cipher: 4279.416 | HuoHuo: 0.000
Run    4: Team DPAV: 24045.904 | Saber: 10992.972 | Gilgamesh: 8542.081 | Cipher: 4276.420 | HuoHuo: 0.000
Run    5: Team DPAV: 24110.053 | Saber: 11089.642 | Gilgamesh: 8451.481 | Cipher: 4334.499 | HuoHuo: 0.000
Run    6: Team DPAV: 29959.879 | Saber: 15857.989 | Gilgamesh: 9629.055 | Cipher: 4238.405 | HuoHuo: 0.000
Run    7: Team DPAV: 27367.179 | Saber: 14880.635 | Gilgamesh: 8204.585 | Cipher: 4047.528 | HuoHuo: 0.000
Run    8: Team DPAV: 27916.387 | Saber: 14788.260 | Gilgamesh: 8434.526 | Cipher: 4459.170 | HuoHuo: 0.000
Run    9: Team DPAV: 29313.056 | Saber: 13880.628 | Gilgamesh: 9994.115 | Cipher: 5189.176 | HuoHuo: 0.000
Run   10: Team DPAV: 28919.649 | Saber: 16014.971 | Gilgamesh: 8390.831 | Cipher: 4279.416 | HuoHuo: 0.000
Run   11: Team DPAV: 28899.200 | Saber: 15058.381 | Gilgamesh: 9595.826 | Cipher: 4010.563 | HuoHuo: 0.000
Run   12: Team DPAV: 27913.584 | Saber: 15048.642 | Gilgamesh: 8588.298 | Cipher: 4042.213 | HuoHuo: 0.000
Run   13: Team DPAV: 28678.562 | Saber: 14934.527 | Gilgamesh: 9540.650 | Cipher: 3968.955 | HuoHuo: 0.000
Run   14: Team DPAV: 28899.200 | Saber: 15058.381 | Gilgamesh: 9595.826 | Cipher: 4010.563 | HuoHuo: 0.000
Run   15: Team DPAV: 24400.096 | Saber: 11089.642 | Gilgamesh: 8735.114 | Cipher: 4340.909 | HuoHuo: 0.000
Run   16: Team DPAV: 28929.801 | Saber: 15075.014 | Gilgamesh: 9604.666 | Cipher: 4015.690 | HuoHuo: 0.000
Run   17: Team DPAV: 28899.200 | Saber: 15058.381 | Gilgamesh: 9595.826 | Cipher: 4010.563 | HuoHuo: 0.000
Run   18: Team DPAV: 27944.184 | Saber: 15065.275 | Gilgamesh: 8597.139 | Cipher: 4047.340 | HuoHuo: 0.000
Run   19: Team DPAV: 28678.562 | Saber: 14934.527 | Gilgamesh: 9540.650 | Cipher: 3968.955 | HuoHuo: 0.000
Run   20: Team DPAV: 27833.549 | Saber: 14934.527 | Gilgamesh: 8580.183 | Cipher: 4084.409 | HuoHuo: 0.000
