Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 43804.350 | Saber: 22447.138 | Gilgamesh: 15738.201 | MortenaxBlade: 5313.699 | HuoHuo: 43.173
Run    2: Team DPAV: 41220.970 | Saber: 20148.983 | Gilgamesh: 15541.082 | MortenaxBlade: 5240.419 | HuoHuo: 45.511
Run    3: Team DPAV: 45834.181 | Saber: 23475.471 | Gilgamesh: 16694.763 | MortenaxBlade: 5358.636 | HuoHuo: 43.173
Run    4: Team DPAV: 42205.057 | Saber: 20192.128 | Gilgamesh: 16643.860 | MortenaxBlade: 5063.159 | HuoHuo: 43.771
Run    5: Team DPAV: 48493.606 | Saber: 22560.019 | Gilgamesh: 20372.485 | MortenaxBlade: 5255.790 | HuoHuo: 43.173
Run    6: Team DPAV: 47618.370 | Saber: 24450.083 | Gilgamesh: 17501.876 | MortenaxBlade: 5320.535 | HuoHuo: 49.411
Run    7: Team DPAV: 51118.677 | Saber: 24697.049 | Gilgamesh: 20700.381 | MortenaxBlade: 5409.697 | HuoHuo: 49.411
Run    8: Team DPAV: 45834.181 | Saber: 23475.471 | Gilgamesh: 16694.763 | MortenaxBlade: 5358.636 | HuoHuo: 43.173
Run    9: Team DPAV: 39928.173 | Saber: 19228.721 | Gilgamesh: 15201.019 | MortenaxBlade: 5186.883 | HuoHuo: 49.411
Run   10: Team DPAV: 42046.481 | Saber: 19791.393 | Gilgamesh: 16617.441 | MortenaxBlade: 5326.097 | HuoHuo: 49.411
Run   11: Team DPAV: 44982.449 | Saber: 22662.854 | Gilgamesh: 16694.763 | MortenaxBlade: 5319.521 | HuoHuo: 43.173
Run   12: Team DPAV: 45834.181 | Saber: 23475.471 | Gilgamesh: 16694.763 | MortenaxBlade: 5358.636 | HuoHuo: 43.173
Run   13: Team DPAV: 40600.358 | Saber: 19337.080 | Gilgamesh: 15797.596 | MortenaxBlade: 5154.132 | HuoHuo: 49.411
Run   14: Team DPAV: 43380.629 | Saber: 21935.478 | Gilgamesh: 15908.257 | MortenaxBlade: 5243.169 | HuoHuo: 48.748
Run   15: Team DPAV: 45834.181 | Saber: 23475.471 | Gilgamesh: 16694.763 | MortenaxBlade: 5358.636 | HuoHuo: 43.173
Run   16: Team DPAV: 35348.137 | Saber: 14960.763 | Gilgamesh: 15059.548 | MortenaxBlade: 5039.678 | HuoHuo: 43.173
Run   17: Team DPAV: 47865.711 | Saber: 24521.435 | Gilgamesh: 17501.876 | MortenaxBlade: 5496.525 | HuoHuo: 49.411
Run   18: Team DPAV: 49713.672 | Saber: 25044.680 | Gilgamesh: 19317.829 | MortenaxBlade: 5057.663 | HuoHuo: 48.525
Run   19: Team DPAV: 44982.449 | Saber: 22662.854 | Gilgamesh: 16694.763 | MortenaxBlade: 5319.521 | HuoHuo: 43.173
Run   20: Team DPAV: 44982.449 | Saber: 22662.854 | Gilgamesh: 16694.763 | MortenaxBlade: 5319.521 | HuoHuo: 43.173
