Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 23846.307 | Saber: 13315.607 | Gilgamesh: 9985.906 | Robin: 338.801 | HuoHuo: 24.186
Run    2: Team DPAV: 18858.306 | Saber: 9753.779 | Gilgamesh: 8616.992 | Robin: 281.106 | HuoHuo: 24.622
Run    3: Team DPAV: 18615.372 | Saber: 8936.285 | Gilgamesh: 9091.528 | Robin: 381.566 | HuoHuo: 24.186
Run    4: Team DPAV: 19364.682 | Saber: 9868.387 | Gilgamesh: 9001.372 | Robin: 288.493 | HuoHuo: 24.622
Run    5: Team DPAV: 21023.679 | Saber: 11777.665 | Gilgamesh: 8745.840 | Robin: 284.081 | HuoHuo: 24.679
Run    6: Team DPAV: 20892.386 | Saber: 11650.683 | Gilgamesh: 8706.779 | Robin: 318.888 | HuoHuo: 24.622
Run    7: Team DPAV: 19038.819 | Saber: 9603.207 | Gilgamesh: 8975.876 | Robin: 253.685 | HuoHuo: 24.243
Run    8: Team DPAV: 18249.831 | Saber: 9147.727 | Gilgamesh: 8636.766 | Robin: 249.739 | HuoHuo: 24.186
Run    9: Team DPAV: 19364.682 | Saber: 9868.387 | Gilgamesh: 9001.372 | Robin: 288.493 | HuoHuo: 24.622
Run   10: Team DPAV: 19516.489 | Saber: 9884.314 | Gilgamesh: 9125.657 | Robin: 290.482 | HuoHuo: 24.622
Run   11: Team DPAV: 19273.514 | Saber: 9753.779 | Gilgamesh: 9001.372 | Robin: 311.934 | HuoHuo: 24.622
Run   12: Team DPAV: 19273.514 | Saber: 9753.779 | Gilgamesh: 9001.372 | Robin: 311.934 | HuoHuo: 24.622
Run   13: Team DPAV: 22685.534 | Saber: 13399.799 | Gilgamesh: 8755.438 | Robin: 324.303 | HuoHuo: 24.186
Run   14: Team DPAV: 19364.682 | Saber: 9868.387 | Gilgamesh: 9001.372 | Robin: 288.493 | HuoHuo: 24.622
Run   15: Team DPAV: 23287.655 | Saber: 13050.420 | Gilgamesh: 9676.880 | Robin: 344.319 | HuoHuo: 24.622
Run   16: Team DPAV: 21500.057 | Saber: 11614.529 | Gilgamesh: 9297.969 | Robin: 381.566 | HuoHuo: 24.186
Run   17: Team DPAV: 17935.179 | Saber: 8435.892 | Gilgamesh: 9001.372 | Robin: 291.486 | HuoHuo: 24.622
Run   18: Team DPAV: 23900.802 | Saber: 12865.738 | Gilgamesh: 10371.151 | Robin: 438.707 | HuoHuo: 24.186
Run   19: Team DPAV: 20662.337 | Saber: 10983.250 | Gilgamesh: 9091.528 | Robin: 381.566 | HuoHuo: 24.186
Run   20: Team DPAV: 21076.902 | Saber: 11517.874 | Gilgamesh: 8971.469 | Robin: 381.566 | HuoHuo: 24.186
Run   21: Team DPAV: 19110.616 | Saber: 9612.051 | Gilgamesh: 9001.372 | Robin: 290.763 | HuoHuo: 24.622
Run   22: Team DPAV: 18317.205 | Saber: 8734.082 | Gilgamesh: 9047.609 | Robin: 295.465 | HuoHuo: 48.637
Run   23: Team DPAV: 19950.660 | Saber: 10162.156 | Gilgamesh: 9182.288 | Robin: 381.012 | HuoHuo: 24.186
Run   24: Team DPAV: 18419.064 | Saber: 9215.970 | Gilgamesh: 8730.985 | Robin: 265.622 | HuoHuo: 24.679
Run   25: Team DPAV: 19978.487 | Saber: 10707.111 | Gilgamesh: 8755.438 | Robin: 309.945 | HuoHuo: 24.186
Run   26: Team DPAV: 20239.944 | Saber: 10124.940 | Gilgamesh: 9508.787 | Robin: 381.012 | HuoHuo: 24.186
Run   27: Team DPAV: 19097.396 | Saber: 9612.051 | Gilgamesh: 9025.609 | Robin: 253.685 | HuoHuo: 24.243
Run   28: Team DPAV: 19110.616 | Saber: 9612.051 | Gilgamesh: 9001.372 | Robin: 290.763 | HuoHuo: 24.622
Run   29: Team DPAV: 20608.029 | Saber: 11161.406 | Gilgamesh: 8880.196 | Robin: 341.223 | HuoHuo: 24.186
Run   30: Team DPAV: 21292.238 | Saber: 11094.679 | Gilgamesh: 9589.353 | Robin: 383.002 | HuoHuo: 24.186
Run   31: Team DPAV: 19169.389 | Saber: 9884.314 | Gilgamesh: 8778.557 | Robin: 290.482 | HuoHuo: 24.622
Run   32: Team DPAV: 18823.177 | Saber: 9562.220 | Gilgamesh: 8726.033 | Robin: 318.888 | HuoHuo: 24.622
Run   33: Team DPAV: 18858.306 | Saber: 9753.779 | Gilgamesh: 8616.992 | Robin: 281.106 | HuoHuo: 24.622
Run   34: Team DPAV: 21564.914 | Saber: 11655.877 | Gilgamesh: 9443.699 | Robin: 249.739 | HuoHuo: 24.186
Run   35: Team DPAV: 18611.210 | Saber: 9350.253 | Gilgamesh: 8726.033 | Robin: 318.888 | HuoHuo: 24.622
Run   36: Team DPAV: 19364.682 | Saber: 9868.387 | Gilgamesh: 9001.372 | Robin: 288.493 | HuoHuo: 24.622
Run   37: Team DPAV: 19364.682 | Saber: 9868.387 | Gilgamesh: 9001.372 | Robin: 288.493 | HuoHuo: 24.622
Run   38: Team DPAV: 18592.909 | Saber: 9482.765 | Gilgamesh: 8625.112 | Robin: 278.545 | HuoHuo: 24.679
Run   39: Team DPAV: 20526.046 | Saber: 11003.278 | Gilgamesh: 8969.939 | Robin: 336.794 | HuoHuo: 24.622
Run   40: Team DPAV: 18823.177 | Saber: 9562.220 | Gilgamesh: 8726.033 | Robin: 318.888 | HuoHuo: 24.622
Run   41: Team DPAV: 19074.766 | Saber: 9612.051 | Gilgamesh: 8965.522 | Robin: 290.763 | HuoHuo: 24.622
Run   42: Team DPAV: 20080.435 | Saber: 9934.014 | Gilgamesh: 9600.152 | Robin: 340.219 | HuoHuo: 24.243
Run   43: Team DPAV: 19110.616 | Saber: 9612.051 | Gilgamesh: 9001.372 | Robin: 290.763 | HuoHuo: 24.622
Run   44: Team DPAV: 18615.372 | Saber: 8936.285 | Gilgamesh: 9091.528 | Robin: 381.566 | HuoHuo: 24.186
Run   45: Team DPAV: 23132.350 | Saber: 12679.790 | Gilgamesh: 9905.341 | Robin: 340.790 | HuoHuo: 24.622
Run   46: Team DPAV: 18695.408 | Saber: 9612.051 | Gilgamesh: 8616.992 | Robin: 259.935 | HuoHuo: 24.622
Run   47: Team DPAV: 17935.179 | Saber: 8435.892 | Gilgamesh: 9001.372 | Robin: 291.486 | HuoHuo: 24.622
Run   48: Team DPAV: 19125.765 | Saber: 9608.342 | Gilgamesh: 9024.490 | Robin: 286.503 | HuoHuo: 24.622
Run   49: Team DPAV: 20896.835 | Saber: 11588.292 | Gilgamesh: 8823.433 | Robin: 279.116 | HuoHuo: 24.186
Run   50: Team DPAV: 19935.830 | Saber: 9912.954 | Gilgamesh: 9407.620 | Robin: 380.009 | HuoHuo: 24.622
Run   51: Team DPAV: 19364.682 | Saber: 9868.387 | Gilgamesh: 9001.372 | Robin: 288.493 | HuoHuo: 24.622
Run   52: Team DPAV: 18411.862 | Saber: 9435.234 | Gilgamesh: 8491.519 | Robin: 279.116 | HuoHuo: 24.186
Run   53: Team DPAV: 19207.595 | Saber: 10024.928 | Gilgamesh: 8697.558 | Robin: 279.116 | HuoHuo: 24.186
Run   54: Team DPAV: 23287.655 | Saber: 13050.420 | Gilgamesh: 9676.880 | Robin: 344.319 | HuoHuo: 24.622
Run   55: Team DPAV: 18568.837 | Saber: 9350.253 | Gilgamesh: 8683.661 | Robin: 318.888 | HuoHuo: 24.622
Run   56: Team DPAV: 19038.819 | Saber: 9603.207 | Gilgamesh: 8975.876 | Robin: 253.685 | HuoHuo: 24.243
Run   57: Team DPAV: 18611.210 | Saber: 9350.253 | Gilgamesh: 8726.033 | Robin: 318.888 | HuoHuo: 24.622
Run   58: Team DPAV: 19007.741 | Saber: 9634.234 | Gilgamesh: 8858.975 | Robin: 298.440 | HuoHuo: 24.679
Run   59: Team DPAV: 19097.396 | Saber: 9612.051 | Gilgamesh: 9025.609 | Robin: 253.685 | HuoHuo: 24.243
Run   60: Team DPAV: 21329.453 | Saber: 11131.894 | Gilgamesh: 9589.353 | Robin: 383.002 | HuoHuo: 24.186
Run   61: Team DPAV: 19364.682 | Saber: 9868.387 | Gilgamesh: 9001.372 | Robin: 288.493 | HuoHuo: 24.622
Run   62: Team DPAV: 18824.427 | Saber: 9624.029 | Gilgamesh: 8736.096 | Robin: 248.703 | HuoHuo: 24.186
Run   63: Team DPAV: 20660.252 | Saber: 10964.757 | Gilgamesh: 9183.104 | Robin: 306.398 | HuoHuo: 24.186
Run   64: Team DPAV: 20897.362 | Saber: 11758.774 | Gilgamesh: 8653.884 | Robin: 269.105 | HuoHuo: 24.186
Run   65: Team DPAV: 19097.396 | Saber: 9612.051 | Gilgamesh: 9025.609 | Robin: 253.685 | HuoHuo: 24.243
Run   66: Team DPAV: 23032.635 | Saber: 13399.799 | Gilgamesh: 9102.539 | Robin: 324.303 | HuoHuo: 24.186
Run   67: Team DPAV: 19002.969 | Saber: 9603.207 | Gilgamesh: 8940.027 | Robin: 253.685 | HuoHuo: 24.243
Run   68: Team DPAV: 18858.306 | Saber: 9753.779 | Gilgamesh: 8616.992 | Robin: 281.106 | HuoHuo: 24.622
Run   69: Team DPAV: 23900.802 | Saber: 12865.738 | Gilgamesh: 10371.151 | Robin: 438.707 | HuoHuo: 24.186
Run   70: Team DPAV: 20892.386 | Saber: 11650.683 | Gilgamesh: 8706.779 | Robin: 318.888 | HuoHuo: 24.622
Run   71: Team DPAV: 20945.623 | Saber: 11586.987 | Gilgamesh: 8847.292 | Robin: 300.430 | HuoHuo: 29.108
Run   72: Team DPAV: 23287.655 | Saber: 13050.420 | Gilgamesh: 9676.880 | Robin: 344.319 | HuoHuo: 24.622
Run   73: Team DPAV: 19110.616 | Saber: 9612.051 | Gilgamesh: 9001.372 | Robin: 290.763 | HuoHuo: 24.622
Run   74: Team DPAV: 19868.207 | Saber: 10503.010 | Gilgamesh: 8875.182 | Robin: 283.528 | HuoHuo: 24.679
Run   75: Team DPAV: 19207.595 | Saber: 10024.928 | Gilgamesh: 8697.558 | Robin: 279.116 | HuoHuo: 24.186
Run   76: Team DPAV: 18823.177 | Saber: 9562.220 | Gilgamesh: 8726.033 | Robin: 318.888 | HuoHuo: 24.622
Run   77: Team DPAV: 20250.224 | Saber: 10774.698 | Gilgamesh: 8887.967 | Robin: 381.566 | HuoHuo: 24.186
Run   78: Team DPAV: 22700.276 | Saber: 13400.939 | Gilgamesh: 8713.609 | Robin: 369.629 | HuoHuo: 24.685
Run   79: Team DPAV: 18568.837 | Saber: 9350.253 | Gilgamesh: 8683.661 | Robin: 318.888 | HuoHuo: 24.622
Run   80: Team DPAV: 20045.434 | Saber: 9967.186 | Gilgamesh: 9430.739 | Robin: 388.247 | HuoHuo: 48.637
Run   81: Team DPAV: 19097.396 | Saber: 9612.051 | Gilgamesh: 9025.609 | Robin: 253.685 | HuoHuo: 24.243
Run   82: Team DPAV: 19273.514 | Saber: 9753.779 | Gilgamesh: 9001.372 | Robin: 311.934 | HuoHuo: 24.622
Run   83: Team DPAV: 19524.664 | Saber: 10668.496 | Gilgamesh: 8371.058 | Robin: 279.116 | HuoHuo: 24.186
Run   84: Team DPAV: 19038.819 | Saber: 9603.207 | Gilgamesh: 8975.876 | Robin: 253.685 | HuoHuo: 24.243
Run   85: Team DPAV: 19007.741 | Saber: 9634.234 | Gilgamesh: 8858.975 | Robin: 298.440 | HuoHuo: 24.679
Run   86: Team DPAV: 19033.119 | Saber: 9864.544 | Gilgamesh: 8728.791 | Robin: 233.791 | HuoHuo: 24.186
Run   87: Team DPAV: 21234.720 | Saber: 11641.587 | Gilgamesh: 8991.489 | Robin: 385.545 | HuoHuo: 24.685
Run   88: Team DPAV: 23032.635 | Saber: 13399.799 | Gilgamesh: 9102.539 | Robin: 324.303 | HuoHuo: 24.186
Run   89: Team DPAV: 18858.306 | Saber: 9753.779 | Gilgamesh: 8616.992 | Robin: 281.106 | HuoHuo: 24.622
Run   90: Team DPAV: 20934.759 | Saber: 11650.683 | Gilgamesh: 8749.152 | Robin: 318.888 | HuoHuo: 24.622
Run   91: Team DPAV: 19733.727 | Saber: 10500.930 | Gilgamesh: 8746.610 | Robin: 270.587 | HuoHuo: 24.186
Run   92: Team DPAV: 20279.916 | Saber: 10164.912 | Gilgamesh: 9508.787 | Robin: 381.012 | HuoHuo: 24.186
Run   93: Team DPAV: 18858.306 | Saber: 9753.779 | Gilgamesh: 8616.992 | Robin: 281.106 | HuoHuo: 24.622
Run   94: Team DPAV: 18611.210 | Saber: 9350.253 | Gilgamesh: 8726.033 | Robin: 318.888 | HuoHuo: 24.622
Run   95: Team DPAV: 23512.371 | Saber: 12688.994 | Gilgamesh: 10155.486 | Robin: 442.686 | HuoHuo: 24.186
Run   96: Team DPAV: 19191.772 | Saber: 9696.981 | Gilgamesh: 9023.460 | Robin: 255.675 | HuoHuo: 24.243
Run   97: Team DPAV: 22465.697 | Saber: 12015.563 | Gilgamesh: 9905.341 | Robin: 338.801 | HuoHuo: 24.186
Run   98: Team DPAV: 19894.541 | Saber: 10092.515 | Gilgamesh: 9214.466 | Robin: 381.566 | HuoHuo: 24.186
Run   99: Team DPAV: 23792.651 | Saber: 12771.344 | Gilgamesh: 10324.146 | Robin: 437.899 | HuoHuo: 48.637
Run  100: Team DPAV: 19364.682 | Saber: 9868.387 | Gilgamesh: 9001.372 | Robin: 288.493 | HuoHuo: 24.622

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 20021.607
Average Saber DPAV: 10454.898 Percentage: 52.218%
Average Gilgamesh DPAV: 9040.832 Percentage: 45.155%
Average Robin DPAV: 313.485 Percentage: 1.566%
Average HuoHuo DPAV: 25.206 Percentage: 0.126%

Min Team DPAV: 17935.179
Max Team DPAV: 23900.802
