Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 32441.829 | Saber: 17254.153 | Gilgamesh: 14278.000 | RuanMei: 559.210 | HuoHuo: 35.123
Run    2: Team DPAV: 33418.829 | Saber: 17149.361 | Gilgamesh: 15353.515 | RuanMei: 559.210 | HuoHuo: 36.874
Run    3: Team DPAV: 34726.602 | Saber: 18489.533 | Gilgamesh: 15322.865 | RuanMei: 559.210 | HuoHuo: 35.123
Run    4: Team DPAV: 32936.652 | Saber: 18920.440 | Gilgamesh: 13199.499 | RuanMei: 509.609 | HuoHuo: 37.068
Run    5: Team DPAV: 32936.652 | Saber: 18920.440 | Gilgamesh: 13199.499 | RuanMei: 509.609 | HuoHuo: 37.068
Run    6: Team DPAV: 33418.829 | Saber: 17149.361 | Gilgamesh: 15353.515 | RuanMei: 559.210 | HuoHuo: 36.874
Run    7: Team DPAV: 34589.544 | Saber: 18394.377 | Gilgamesh: 15322.865 | RuanMei: 506.309 | HuoHuo: 37.068
Run    8: Team DPAV: 33281.771 | Saber: 17054.204 | Gilgamesh: 15353.515 | RuanMei: 506.309 | HuoHuo: 38.819
Run    9: Team DPAV: 30720.776 | Saber: 17255.394 | Gilgamesh: 12647.938 | RuanMei: 510.533 | HuoHuo: 36.874
Run   10: Team DPAV: 34687.253 | Saber: 18489.533 | Gilgamesh: 15288.044 | RuanMei: 559.210 | HuoHuo: 35.123
Run   11: Team DPAV: 32142.171 | Saber: 16880.168 | Gilgamesh: 14201.836 | RuanMei: 642.243 | HuoHuo: 77.673
Run   12: Team DPAV: 26321.431 | Saber: 13653.075 | Gilgamesh: 11821.474 | RuanMei: 490.980 | HuoHuo: 33.761
Run   13: Team DPAV: 25888.911 | Saber: 12721.836 | Gilgamesh: 12240.268 | RuanMei: 556.446 | HuoHuo: 34.637
Run   14: Team DPAV: 32975.423 | Saber: 18920.440 | Gilgamesh: 13238.270 | RuanMei: 509.609 | HuoHuo: 37.068
Run   15: Team DPAV: 33155.784 | Saber: 17260.707 | Gilgamesh: 14986.023 | RuanMei: 560.860 | HuoHuo: 35.123
Run   16: Team DPAV: 31315.823 | Saber: 17455.533 | Gilgamesh: 13049.125 | RuanMei: 510.533 | HuoHuo: 35.123
Run   17: Team DPAV: 31456.610 | Saber: 17847.380 | Gilgamesh: 12786.239 | RuanMei: 509.609 | HuoHuo: 38.819
Run   18: Team DPAV: 32975.423 | Saber: 18920.440 | Gilgamesh: 13238.270 | RuanMei: 509.609 | HuoHuo: 37.068
