Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 29940.206 | Saber: 15844.371 | Gilgamesh: 12752.311 | Tribbie: 1009.097 | HuoHuo: 25.493
Run    2: Team DPAV: 26227.482 | Saber: 14881.726 | Gilgamesh: 10074.753 | Tribbie: 944.786 | HuoHuo: 63.738
Run    3: Team DPAV: 29689.673 | Saber: 15660.392 | Gilgamesh: 12733.130 | Tribbie: 962.190 | HuoHuo: 25.026
Run    4: Team DPAV: 30490.436 | Saber: 16644.526 | Gilgamesh: 12522.056 | Tribbie: 1004.919 | HuoHuo: 25.486
Run    5: Team DPAV: 30585.505 | Saber: 16081.706 | Gilgamesh: 13155.625 | Tribbie: 1028.771 | HuoHuo: 25.953
Run    6: Team DPAV: 30045.449 | Saber: 16064.628 | Gilgamesh: 12680.780 | Tribbie: 981.105 | HuoHuo: 25.486
Run    7: Team DPAV: 21056.847 | Saber: 10189.150 | Gilgamesh: 9732.344 | Tribbie: 847.387 | HuoHuo: 25.486
Run    8: Team DPAV: 30673.160 | Saber: 16441.008 | Gilgamesh: 12876.168 | Tribbie: 1022.023 | HuoHuo: 25.026
Run    9: Team DPAV: 33480.400 | Saber: 19273.086 | Gilgamesh: 12819.095 | Tribbie: 1053.793 | HuoHuo: 25.493
Run   10: Team DPAV: 29763.433 | Saber: 15905.278 | Gilgamesh: 12574.157 | Tribbie: 964.596 | HuoHuo: 25.953
Run   11: Team DPAV: 29915.317 | Saber: 15767.266 | Gilgamesh: 12809.187 | Tribbie: 1004.904 | HuoHuo: 25.026
Run   12: Team DPAV: 32863.775 | Saber: 19019.756 | Gilgamesh: 12440.205 | Tribbie: 1069.387 | HuoHuo: 25.493
Run   13: Team DPAV: 29332.270 | Saber: 15951.245 | Gilgamesh: 12093.797 | Tribbie: 953.268 | HuoHuo: 25.026
Run   14: Team DPAV: 30101.193 | Saber: 15874.140 | Gilgamesh: 12885.243 | Tribbie: 1007.850 | HuoHuo: 25.026
Run   15: Team DPAV: 33002.905 | Saber: 19127.582 | Gilgamesh: 12490.890 | Tribbie: 1050.005 | HuoHuo: 25.493
Run   16: Team DPAV: 31092.850 | Saber: 16648.383 | Gilgamesh: 13125.288 | Tribbie: 985.219 | HuoHuo: 25.026
Run   17: Team DPAV: 32149.373 | Saber: 18265.939 | Gilgamesh: 12479.363 | Tribbie: 1070.111 | HuoHuo: 25.026
Run   18: Team DPAV: 30211.200 | Saber: 15895.616 | Gilgamesh: 12958.272 | Tribbie: 1022.885 | HuoHuo: 25.493
Run   19: Team DPAV: 33480.400 | Saber: 19273.086 | Gilgamesh: 12819.095 | Tribbie: 1053.793 | HuoHuo: 25.493
Run   20: Team DPAV: 32104.703 | Saber: 18361.545 | Gilgamesh: 12377.929 | Tribbie: 1030.802 | HuoHuo: 25.493
Run   21: Team DPAV: 30818.330 | Saber: 16779.112 | Gilgamesh: 12689.465 | Tribbie: 1015.792 | HuoHuo: 25.026
Run   22: Team DPAV: 30723.277 | Saber: 16441.008 | Gilgamesh: 12926.285 | Tribbie: 1022.023 | HuoHuo: 25.026
Run   23: Team DPAV: 28616.588 | Saber: 16175.496 | Gilgamesh: 11109.581 | Tribbie: 1005.292 | HuoHuo: 63.738
Run   24: Team DPAV: 30603.156 | Saber: 16441.008 | Gilgamesh: 12851.235 | Tribbie: 976.953 | HuoHuo: 25.026
Run   25: Team DPAV: 29556.481 | Saber: 15660.392 | Gilgamesh: 12530.298 | Tribbie: 1031.364 | HuoHuo: 25.493
Run   26: Team DPAV: 30192.871 | Saber: 16444.715 | Gilgamesh: 12440.241 | Tribbie: 973.956 | HuoHuo: 25.026
Run   27: Team DPAV: 33133.254 | Saber: 18950.801 | Gilgamesh: 12791.352 | Tribbie: 1057.142 | HuoHuo: 25.026
Run   28: Team DPAV: 29929.265 | Saber: 15965.863 | Gilgamesh: 12640.736 | Tribbie: 1003.731 | HuoHuo: 25.486
Run   29: Team DPAV: 28629.377 | Saber: 16175.496 | Gilgamesh: 11148.739 | Tribbie: 978.924 | HuoHuo: 63.738
Run   30: Team DPAV: 29433.730 | Saber: 15628.416 | Gilgamesh: 12513.095 | Tribbie: 957.792 | HuoHuo: 25.493
