Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 14748.751 | Saber: 12345.512 | Sunday: 0.000 | MortenaxBlade: 2229.789 | HuoHuo: 39.673
Run    2: Team DPAV: 13820.165 | Saber: 11418.437 | Sunday: 0.000 | MortenaxBlade: 2187.488 | HuoHuo: 42.241
Run    3: Team DPAV: 14735.625 | Saber: 12345.512 | Sunday: 0.000 | MortenaxBlade: 2216.663 | HuoHuo: 39.673
Run    4: Team DPAV: 13820.165 | Saber: 11418.437 | Sunday: 0.000 | MortenaxBlade: 2187.488 | HuoHuo: 42.241
Run    5: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241
Run    6: Team DPAV: 13338.948 | Saber: 11427.376 | Sunday: 0.000 | MortenaxBlade: 1719.011 | HuoHuo: 39.673
Run    7: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241
Run    8: Team DPAV: 13714.781 | Saber: 11833.030 | Sunday: 0.000 | MortenaxBlade: 1705.733 | HuoHuo: 42.241
Run    9: Team DPAV: 14207.641 | Saber: 11759.584 | Sunday: 0.000 | MortenaxBlade: 2214.707 | HuoHuo: 42.241
Run   10: Team DPAV: 13712.832 | Saber: 11833.030 | Sunday: 0.000 | MortenaxBlade: 1705.733 | HuoHuo: 42.241
Run   11: Team DPAV: 13820.165 | Saber: 11418.437 | Sunday: 0.000 | MortenaxBlade: 2187.488 | HuoHuo: 42.241
Run   12: Team DPAV: 14405.337 | Saber: 11985.399 | Sunday: 0.000 | MortenaxBlade: 2186.588 | HuoHuo: 42.241
Run   13: Team DPAV: 14458.894 | Saber: 12010.837 | Sunday: 0.000 | MortenaxBlade: 2214.707 | HuoHuo: 42.241
Run   14: Team DPAV: 14458.894 | Saber: 12010.837 | Sunday: 0.000 | MortenaxBlade: 2214.707 | HuoHuo: 42.241
Run   15: Team DPAV: 13338.948 | Saber: 11427.376 | Sunday: 0.000 | MortenaxBlade: 1719.011 | HuoHuo: 39.673
Run   16: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241
Run   17: Team DPAV: 14405.337 | Saber: 11985.399 | Sunday: 0.000 | MortenaxBlade: 2186.588 | HuoHuo: 42.241
Run   18: Team DPAV: 13714.781 | Saber: 11833.030 | Sunday: 0.000 | MortenaxBlade: 1705.733 | HuoHuo: 42.241
Run   19: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241
Run   20: Team DPAV: 13714.781 | Saber: 11833.030 | Sunday: 0.000 | MortenaxBlade: 1705.733 | HuoHuo: 42.241
Run   21: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241
Run   22: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241
Run   23: Team DPAV: 14354.881 | Saber: 11951.958 | Sunday: 0.000 | MortenaxBlade: 2210.363 | HuoHuo: 39.673
Run   24: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241
Run   25: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241
Run   26: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241
Run   27: Team DPAV: 13714.781 | Saber: 11833.030 | Sunday: 0.000 | MortenaxBlade: 1705.733 | HuoHuo: 42.241
Run   28: Team DPAV: 13714.781 | Saber: 11833.030 | Sunday: 0.000 | MortenaxBlade: 1705.733 | HuoHuo: 42.241
Run   29: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241
Run   30: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241
Run   31: Team DPAV: 13909.397 | Saber: 11943.848 | Sunday: 0.000 | MortenaxBlade: 1734.766 | HuoHuo: 39.673
Run   32: Team DPAV: 13338.948 | Saber: 11427.376 | Sunday: 0.000 | MortenaxBlade: 1719.011 | HuoHuo: 39.673
Run   33: Team DPAV: 14458.894 | Saber: 12010.837 | Sunday: 0.000 | MortenaxBlade: 2214.707 | HuoHuo: 42.241
Run   34: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241
Run   35: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241
Run   36: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241
Run   37: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241
Run   38: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241
Run   39: Team DPAV: 14400.404 | Saber: 12001.979 | Sunday: 0.000 | MortenaxBlade: 2221.465 | HuoHuo: 43.182
Run   40: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241
Run   41: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241
Run   42: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241
Run   43: Team DPAV: 13773.996 | Saber: 11365.220 | Sunday: 0.000 | MortenaxBlade: 2194.537 | HuoHuo: 42.241
Run   44: Team DPAV: 13794.541 | Saber: 11414.401 | Sunday: 0.000 | MortenaxBlade: 2185.011 | HuoHuo: 42.241
Run   45: Team DPAV: 13714.781 | Saber: 11833.030 | Sunday: 0.000 | MortenaxBlade: 1705.733 | HuoHuo: 42.241
Run   46: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241
Run   47: Team DPAV: 13338.948 | Saber: 11427.376 | Sunday: 0.000 | MortenaxBlade: 1719.011 | HuoHuo: 39.673
Run   48: Team DPAV: 13338.948 | Saber: 11427.376 | Sunday: 0.000 | MortenaxBlade: 1719.011 | HuoHuo: 39.673
Run   49: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241
Run   50: Team DPAV: 13773.996 | Saber: 11365.220 | Sunday: 0.000 | MortenaxBlade: 2194.537 | HuoHuo: 42.241
Run   51: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241
Run   52: Team DPAV: 14925.551 | Saber: 12494.002 | Sunday: 0.000 | MortenaxBlade: 2200.766 | HuoHuo: 39.673
Run   53: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241
Run   54: Team DPAV: 14448.478 | Saber: 12022.462 | Sunday: 0.000 | MortenaxBlade: 2192.666 | HuoHuo: 42.241
Run   55: Team DPAV: 14405.337 | Saber: 11985.399 | Sunday: 0.000 | MortenaxBlade: 2186.588 | HuoHuo: 42.241
Run   56: Team DPAV: 13714.781 | Saber: 11833.030 | Sunday: 0.000 | MortenaxBlade: 1705.733 | HuoHuo: 42.241
Run   57: Team DPAV: 14405.337 | Saber: 11985.399 | Sunday: 0.000 | MortenaxBlade: 2186.588 | HuoHuo: 42.241
Run   58: Team DPAV: 13820.165 | Saber: 11418.437 | Sunday: 0.000 | MortenaxBlade: 2187.488 | HuoHuo: 42.241
Run   59: Team DPAV: 14442.989 | Saber: 11994.932 | Sunday: 0.000 | MortenaxBlade: 2214.707 | HuoHuo: 42.241
Run   60: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241
Run   61: Team DPAV: 14346.986 | Saber: 11944.063 | Sunday: 0.000 | MortenaxBlade: 2210.363 | HuoHuo: 39.673
Run   62: Team DPAV: 13624.066 | Saber: 11742.315 | Sunday: 0.000 | MortenaxBlade: 1705.733 | HuoHuo: 42.241
Run   63: Team DPAV: 14448.478 | Saber: 12022.462 | Sunday: 0.000 | MortenaxBlade: 2192.666 | HuoHuo: 42.241
Run   64: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241
Run   65: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241
Run   66: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241
Run   67: Team DPAV: 14813.930 | Saber: 12352.686 | Sunday: 0.000 | MortenaxBlade: 2230.462 | HuoHuo: 39.673
Run   68: Team DPAV: 13338.948 | Saber: 11427.376 | Sunday: 0.000 | MortenaxBlade: 1719.011 | HuoHuo: 39.673
Run   69: Team DPAV: 14405.337 | Saber: 11985.399 | Sunday: 0.000 | MortenaxBlade: 2186.588 | HuoHuo: 42.241
Run   70: Team DPAV: 13773.996 | Saber: 11365.220 | Sunday: 0.000 | MortenaxBlade: 2194.537 | HuoHuo: 42.241
Run   71: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241
Run   72: Team DPAV: 13714.781 | Saber: 11833.030 | Sunday: 0.000 | MortenaxBlade: 1705.733 | HuoHuo: 42.241
Run   73: Team DPAV: 14442.989 | Saber: 11994.932 | Sunday: 0.000 | MortenaxBlade: 2214.707 | HuoHuo: 42.241
Run   74: Team DPAV: 14244.769 | Saber: 11849.763 | Sunday: 0.000 | MortenaxBlade: 2218.988 | HuoHuo: 42.241
